"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",7,"30.4%","0.0%","30.4%","57%","-",1,19,61,3.3,"67.4%","24.7%","29%",-6,-116,4.4,1.2,"4.3%",84,"4.4%","10.6%",1.3,0.22
"Anivia","Middle",1,"4.3%","0.0%","4.3%","100%","-",1,0,8,9,"56.3%","0.0%","100%",396,61,-2,8.5,"30.0%",318,"15.3%","21.1%",0.63,0.1
"Azir","Middle",6,"26.1%","65.2%","91.3%","67%","-",23,12,31,4.5,"67.5%","16.4%","17%",32,167,7.7,9.2,"29.4%",586,"30.2%","23.9%",0.4,0.16
"Bard","Support",6,"26.1%","4.3%","30.4%","33%","-",5,22,52,2.6,"68.7%","22.7%","17%",-77,140,-4.3,0.6,"3.2%",213,"9.2%","11.9%",1.42,0.48
"Braum","Support",9,"39.1%","0.0%","39.1%","33%","-",2,32,74,2.4,"70.4%","24.4%","11%",-134,-203,3.9,1.2,"4.7%",116,"6.1%","10.7%",1.26,0.3
"Caitlyn","ADC",9,"39.1%","0.0%","39.1%","56%","-",42,23,45,3.8,"73.7%","21.1%","22%",-208,-157,-0.6,8.5,"29.9%",678,"31.9%","24.6%",0.47,0.39
"Cassiopeia","Middle",1,"4.3%","0.0%","4.3%","100%","-",4,4,14,4.5,"85.7%","57.1%","100%",487,-60,-2,6.8,"24.0%",574,"25.1%","21.3%",0.38,0.14
"Corki","ADC",3,"13.0%","21.7%","60.9%","33%","-",10,2,11,10.5,"61.8%","4.3%","33%",257,192,2.7,8.4,"29.0%",527,"26.6%","24.2%",0.38,0.16
"Corki","Middle",6,"26.1%","21.7%","60.9%","17%","-",24,11,29,4.8,"80.3%","11.7%","0%",-57,11,10.5,9.3,"29.4%",644,"31.7%","25.0%",0.56,0.28
"Ekko","Middle",2,"8.7%","13.0%","60.9%","100%","-",8,9,15,2.6,"71.9%","27.3%","0%",-306,-47,-10.5,7.7,"25.1%",448,"18.8%","21.4%",0.59,0.19
"Ekko","Top",9,"39.1%","13.0%","60.9%","56%","-",31,16,50,5.1,"73.0%","17.0%","44%",416,360,11.8,7.2,"25.0%",399,"21.3%","21.6%",0.51,0.17
"Elise","Jungle",9,"39.1%","0.0%","39.1%","67%","-",14,21,71,4,"67.5%","21.4%","33%",-30,-250,-5.7,3.8,"13.2%",308,"17.4%","18.4%",0.87,0.48
"Ezreal","ADC",2,"8.7%","0.0%","8.7%","0%","-",4,5,2,1.2,"66.7%","15.2%","0%",15,489,3.5,8.5,"29.6%",698,"43.3%","25.7%",0.48,0.19
"Gangplank","Top",3,"13.0%","56.5%","69.6%","33%","-",0,10,12,1.2,"44.4%","21.3%","0%",-198,-169,5,7.4,"27.1%",387,"23.3%","23.2%",0.41,0.04
"Gnar","Top",1,"4.3%","0.0%","4.3%","0%","-",5,3,3,2.7,"88.9%","15.8%","0%",-112,643,17,6.5,"24.7%",494,"34.4%","24.5%",0.47,0.19
"Gragas","Jungle",5,"21.7%","34.8%","87.0%","40%","-",8,13,29,2.8,"71.2%","19.7%","60%",-512,-284,-6,4,"13.6%",300,"16.3%","18.4%",0.76,0.47
"Gragas","Top",7,"30.4%","34.8%","87.0%","57%","-",18,15,61,5.3,"69.9%","20.0%","29%",-229,170,0,7.2,"24.7%",424,"19.4%","20.1%",0.5,0.13
"Graves","Jungle",8,"34.8%","39.1%","78.3%","50%","-",43,18,63,5.9,"82.8%","18.0%","38%",-27,-97,1,4.9,"18.4%",606,"27.3%","22.2%",0.53,0.39
"Graves","Top",1,"4.3%","39.1%","78.3%","0%","-",3,4,1,1,"36.4%","19.0%","0%",587,824,27,10.4,"34.0%",682,"28.1%","27.4%",0.5,0.27
"Janna","Support",10,"43.5%","4.3%","47.8%","80%","-",5,20,123,6.4,"79.5%","20.4%","40%",93,152,-2.7,0.6,"2.8%",77,"4.0%","12.2%",1.39,0.38
"Jhin","ADC",4,"17.4%","0.0%","17.4%","0%","-",6,17,12,1.1,"58.1%","20.7%","25%",47,91,-1.3,8.1,"26.5%",484,"24.7%","22.1%",0.45,0.16
"Kalista","ADC",16,"69.6%","0.0%","69.6%","63%","-",54,44,108,3.7,"66.4%","24.6%","25%",-24,74,2.4,8.5,"29.0%",392,"19.8%","23.1%",0.46,0.31
"Karma","Middle",2,"8.7%","0.0%","39.1%","50%","-",16,3,14,10,"75.0%","10.0%","50%",203,402,14,7.6,"27.7%",657,"24.3%","24.7%",0.31,0.13
"Karma","Support",7,"30.4%","0.0%","39.1%","29%","-",3,20,52,2.8,"80.9%","18.9%","43%",23,106,-0.4,0.8,"3.0%",164,"8.6%","11.5%",1.62,0.43
"Kindred","Jungle",11,"47.8%","47.8%","95.7%","36%","-",27,40,61,2.2,"77.2%","22.3%","18%",-240,-278,-0.9,4.4,"16.1%",405,"21.3%","20.4%",0.53,0.33
"LeBlanc","Middle",3,"13.0%","0.0%","13.0%","33%","-",7,5,10,3.4,"39.5%","13.5%","33%",243,116,5.7,8.5,"27.5%",485,"22.8%","21.6%",0.44,0.15
"Lee Sin","Jungle",2,"8.7%","17.4%","26.1%","100%","-",15,3,20,11.7,"87.5%","15.0%","50%",233,127,0,3.9,"12.0%",460,"20.5%","20.6%",1.01,0.52
"Lissandra","Middle",3,"13.0%","0.0%","13.0%","0%","-",8,15,15,1.5,"74.2%","25.9%","33%",-109,-99,-10.7,7.8,"24.6%",476,"23.8%","22.5%",0.42,0.1
"Lucian","ADC",8,"34.8%","0.0%","39.1%","75%","-",44,21,55,4.7,"72.3%","23.6%","38%",250,-77,-1.8,8.6,"29.6%",577,"28.5%","24.9%",0.44,0.25
"Lucian","Top",1,"4.3%","0.0%","39.1%","0%","-",2,4,4,1.5,"75.0%","23.5%","0%",419,-128,15,8.7,"33.6%",450,"21.9%","24.9%",0.5,0.34
"Lulu","Middle",4,"17.4%","0.0%","17.4%","100%","-",12,3,33,15,"78.9%","12.0%","0%",-48,-12,-7.5,8.2,"24.1%",433,"22.3%","22.8%",0.56,0.14
"Maokai","Top",9,"39.1%","21.7%","60.9%","56%","-",17,21,73,4.3,"71.4%","18.6%","33%",-111,-328,-11.3,6.6,"23.9%",376,"20.5%","19.8%",0.48,0.14
