"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adrian","Immortals","Support",6,"50%",,5,15,61,4.4,"81.5%","6.2%","17.2%","50%",243,236,-1,0.7,"2.5%",122,"5.9%",,137,"12.0%",,1.67,0.29,0.36
"Altec","NRG Esports","ADC",3,"0%",,0,12,9,0.8,"50.0%","0.0%","23.5%","0%",-504,-917,-17,7.6,"29.9%",269,"21.0%",,189,"22.4%",,0.45,0.09,0.22
"aphromoo","Counter Logic Gaming","Support",10,"60%",,2,29,81,2.9,"67.5%","1.6%","21.8%","30%",-13,-51,-2.5,0.7,"2.9%",148,"7.5%",,131,"11.4%",,1.13,0.26,0.33
"BalIs","Cloud9","Top",4,"25%",,2,15,17,1.3,"50.0%","5.3%","20.8%","25%",41,97,8.5,7.1,"24.3%",355,"19.8%",,214,"20.6%",,0.4,0.06,0.05
"Bjergsen","TSM","Middle",12,"67%",,66,13,76,10.9,"71.4%","33.2%","11.4%","17%",33,242,6.3,8.7,"26.6%",637,"30.9%",,301,"24.1%",,0.51,0.11,0.15
"Dardoch","Team Liquid","Jungle",11,"45%",,33,26,88,4.7,"84.0%","22.9%","17.8%","64%",29,147,2.6,4.4,"16.1%",436,"21.0%",,225,"20.6%",,0.65,0.12,0.38
"Darshan","Counter Logic Gaming","Top",10,"60%",,34,24,64,4.1,"79.7%","27.6%","18.0%","20%",313,52,5.3,7,"24.2%",397,"19.8%",,241,"21.2%",,0.51,0.08,0.17
"Doublelift","TSM","ADC",12,"67%",,50,29,87,4.7,"68.8%","25.1%","25.4%","25%",-155,-182,-1.2,8.5,"27.4%",409,"20.0%",,286,"22.9%",,0.49,0.09,0.38
"Fenix","Team Liquid","Middle",11,"45%",,41,25,50,3.6,"63.2%","28.5%","17.1%","18%",56,223,9.3,8.5,"27.5%",548,"26.4%",,259,"23.6%",,0.35,0.04,0.12
"Galen","NRG Esports","Jungle",3,"0%",,6,11,9,1.4,"83.3%","33.3%","21.6%","0%",-177,-287,0,3.2,"11.0%",222,"16.9%",,158,"18.4%",,0.89,0.18,0.4
"GBM","NRG Esports","Middle",3,"0%",,3,9,8,1.2,"61.1%","16.7%","17.6%","0%",-371,-414,-17,7.9,"28.4%",338,"25.5%",,206,"24.7%",,0.37,0.06,0.11
"Hai","Cloud9","Support",4,"25%",,0,17,21,1.2,"55.3%","0.0%","23.6%","0%",58,-21,1.8,1,"3.5%",164,"8.6%",,111,"10.6%",,1.11,0.19,0.38
"Hauntzer","TSM","Top",12,"67%",,27,21,110,6.5,"68.8%","13.6%","18.4%","33%",-123,15,-7.3,7.6,"26.0%",420,"20.1%",,257,"20.9%",,0.51,0.07,0.13
