GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,GD15,FB%,FT%,F3T%,HLD%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,win_rate,Team,division,EGR,MLR,year
14,6,8,37.1,128,141,0.91,0.51,-0.1,-0.006,-433.0,0.5,0.57,0.79,0.54,0.64,0.67,0.0,0.5,0.53,0.495,0.485,3.35,0.58,1.78,42.86,Team Turquality,TCL,0.0,0.0,2016
4,1,3,35.6,28,43,0.65,0.5,-0.83,-0.067,-630.0,0.25,0.5,0.75,0.67,0.5,0.31,0.0,0.25,0.2,0.493,0.447,3.99,0.94,1.67,25.0,Team Vitality,LEC,0.0,0.0,2016
12,8,4,34.7,137,125,1.1,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,66.67,Team WE,LPL,0.0,0.0,2016
3,0,3,37.5,34,61,0.56,0.84,-0.1,-0.03,773.0,0.0,0.33,0.67,0.2,0.67,0.33,0.0,0.0,0.2,0.505,0.516,3.74,0.75,1.31,0.0,Unicorns of Love,LEC,0.0,0.0,2016
6,0,6,41.5,30,124,0.24,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unsold Stuff Gaming,LJL,0.0,0.0,2016
5,2,3,34.2,54,73,0.74,0.74,-1.46,-0.10800000000000001,-1852.0,0.2,0.4,0.4,0.63,0.8,0.53,0.0,0.0,0.0,0.478,0.413,3.43,0.5,1.09,40.0,Vega Squadron,LCL,0.0,0.0,2016
7,3,4,31.5,75,78,0.96,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,42.86,Vici Gaming,LPL,0.0,0.0,2016
6,3,3,35.7,56,52,1.08,0.5,1.42,0.102,1322.0,1.0,0.5,0.83,0.57,0.5,0.74,0.0,0.17,0.33,0.51,0.545,3.62,0.67,1.43,50.0,Vivo Keyd,CBLOL,0.0,0.0,2016
3,0,3,34.0,16,50,0.32,0.65,-2.36,-0.12,-2352.0,0.0,0.33,0.0,1.0,0.33,0.33,0.0,0.0,0.0,0.49,0.445,3.94,0.71,1.34,0.0,ahq eSports Club,PCS,0.0,0.0,2016
2,0,2,37.8,14,35,0.4,0.65,0.35,-0.006,859.0,0.5,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.521,0.532,3.48,0.65,1.58,0.0,g3nerationX,CBLOL,0.0,0.0,2016
5,1,4,45.1,51,61,0.84,0.5,0.47,-0.008,876.0,0.6,1.0,0.6,0.33,0.6,0.5,0.0,0.2,0.33,0.494,0.513,3.55,0.57,1.52,20.0,paiN Gaming,CBLOL,0.0,0.0,2016
14,3,11,38.0,146,170,0.86,0.59,-1.12,-0.083,-829.0,0.5,0.36,0.21,0.64,0.29,0.25,0.0,0.36,0.32,0.479,0.45899999999999996,3.49,0.61,1.32,21.43,ÇİLEKLER,TCL,0.0,0.0,2016
8,5,3,33.3,94,85,1.11,0.67,0.07,-0.005,-443.0,0.75,0.38,0.75,0.0,0.38,0.48,0.0,0.63,0.71,0.508,0.52,3.74,0.99,1.23,62.5,Cloud9,LCS,50.3,12.2,2017
5,2,3,36.4,73,68,1.07,0.77,-0.42,0.039,-144.0,0.6,0.4,0.4,0.0,0.4,0.47,0.33,0.2,0.25,0.503,0.505,3.73,1.24,1.4,40.0,Counter Logic Gaming,LCS,45.4,-5.4,2017
28,15,13,35.2,451,460,0.98,0.93,0.29,0.031,333.0,0.46,0.5,0.71,0.5,0.57,0.58,0.5,0.54,0.55,0.508,0.51,3.03,0.56,1.07,53.57,Crew e-Sports Club,TCL,54.5,-0.9,2017
28,10,18,34.5,342,438,0.78,0.81,-1.02,-0.078,-1024.0,0.39,0.43,0.36,0.33,0.33,0.38,0.8,0.39,0.42,0.503,0.461,2.93,0.77,1.06,35.71,Dark Passage,TCL,37.1,-1.4,2017
3,0,3,37.8,35,56,0.63,0.8,-1.52,-0.13699999999999998,-1836.0,0.33,0.33,0.0,0.0,0.33,0.25,0.0,0.0,0.0,0.493,0.474,3.92,1.23,1.27,0.0,DetonatioN FocusMe,LJL,29.4,-29.4,2017
3,0,3,40.3,25,41,0.61,0.55,-0.89,-0.095,-794.0,0.67,0.0,0.0,0.0,0.0,0.17,0.5,0.33,0.4,0.507,0.49200000000000005,3.28,0.92,1.46,0.0,Dignitas,LCS,34.6,-34.6,2017
12,7,5,34.1,152,143,1.06,0.72,0.0,0.0,0.0,0.64,0.82,0.0,0.0,0.0,0.69,0.0,0.0,0.61,0.0,0.532,3.74,1.11,1.46,58.33,EDward Gaming,LPL,0.0,0.0,2017
28,14,14,37.1,388,385,1.01,0.74,0.08,0.02,-39.0,0.5,0.25,0.46,0.7,0.46,0.4,0.15,0.46,0.41,0.505,0.514,3.41,0.92,1.26,50.0,Fenerbahçe Esports,TCL,44.8,5.2,2017
4,3,1,38.7,59,25,2.36,0.54,2.0,0.126,2469.0,0.75,1.0,0.75,0.0,0.5,0.54,0.0,0.75,0.83,0.49,0.486,4.53,1.56,1.64,75.0,Flash Wolves,PCS,78.6,-3.6,2017
14,5,9,35.6,148,138,1.07,0.57,-0.61,-0.024,-1171.0,0.43,0.5,0.36,0.2,0.36,0.45,0.5,0.43,0.56,0.488,0.452,4.15,1.25,1.31,35.71,Flash Wolves,MSI,38.4,-2.7,2017
13,5,8,35.2,136,207,0.66,0.75,-0.29,-0.046,-79.0,0.54,0.54,0.38,0.0,0.54,0.43,0.75,0.54,0.59,0.49700000000000005,0.488,3.38,0.77,1.34,38.46,FlyQuest,LCS,53.1,-14.6,2017
10,7,3,35.3,151,82,1.84,0.66,0.95,0.076,441.0,0.6,0.6,0.7,0.83,0.5,0.57,0.33,0.9,0.76,0.494,0.526,3.7,0.94,1.3,70.0,Fnatic,LEC,53.7,16.3,2017
18,8,10,38.1,205,245,0.84,0.66,-0.59,-0.053,224.0,0.44,0.5,0.28,0.5,0.5,0.4,0.33,0.22,0.29,0.504,0.49200000000000005,3.61,0.98,1.33,44.44,G2 Esports,MSI,53.1,-8.6,2017
8,6,2,38.6,121,90,1.34,0.68,0.94,0.081,703.0,0.75,0.38,0.38,0.67,0.38,0.58,1.0,0.5,0.64,0.499,0.514,3.65,1.01,1.31,75.0,G2 Esports,LEC,57.5,17.5,2017
10,3,7,33.5,131,190,0.69,0.96,-0.31,-0.048,-877.0,0.8,0.4,0.5,0.5,0.4,0.41,0.0,0.4,0.4,0.49200000000000005,0.49200000000000005,3.38,1.08,1.55,30.0,GAM Esports,MSI,39.9,-9.9,2017
28,13,15,33.8,426,408,1.04,0.88,-0.42,-0.006999999999999999,-446.0,0.64,0.43,0.32,0.4,0.46,0.43,0.8,0.54,0.53,0.489,0.478,3.05,0.82,0.92,46.43,Galakticos,TCL,47.5,-1.1,2017
28,8,20,35.6,360,418,0.86,0.78,-0.7,-0.077,-918.0,0.36,0.43,0.32,0.25,0.25,0.33,0.75,0.29,0.38,0.499,0.47100000000000003,3.03,0.66,0.98,28.57,Galatasaray Esports,TCL,38.9,-10.3,2017
3,0,3,35.6,20,59,0.34,0.74,-2.75,-0.18600000000000003,-1752.0,0.33,0.0,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.514,0.426,3.78,1.1,1.2,0.0,H2k-Gaming,LEC,32.2,-32.2,2017
28,14,14,35.2,469,435,1.08,0.92,0.11,0.013000000000000001,109.0,0.57,0.57,0.43,0.4,0.57,0.56,0.25,0.46,0.46,0.493,0.54,3.26,0.87,1.12,50.0,HWA Gaming,TCL,53.5,-3.5,2017
9,4,5,34.7,110,111,0.99,0.71,0.0,0.0,0.0,0.38,0.63,0.0,0.0,0.0,0.41,0.0,0.0,0.58,0.0,0.509,3.79,0.94,1.48,44.44,I May,LPL,0.0,0.0,2017
4,1,3,40.3,43,66,0.65,0.68,-1.37,-0.062,-1768.0,0.5,0.0,0.0,1.0,0.25,0.33,0.5,0.25,0.43,0.504,0.46299999999999997,3.78,0.92,1.18,25.0,INTZ,CBLOL,31.5,-6.5,2017
3,0,3,38.2,30,52,0.58,0.7,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.47200000000000003,3.89,0.89,1.35,0.0,Invictus Gaming,LPL,0.0,0.0,2017
7,3,4,37.2,98,96,1.02,0.74,0.0,-0.028999999999999998,-22.0,0.57,0.43,0.57,0.0,0.29,0.24,0.0,0.43,0.45,0.505,0.45799999999999996,4.27,1.19,1.19,42.86,J Team,PCS,40.3,2.6,2017
6,3,3,31.6,59,81,0.73,0.74,-0.02,-0.04,145.0,0.67,0.67,0.83,0.33,0.67,0.58,0.0,0.33,0.4,0.498,0.473,3.44,1.08,1.12,50.0,Just Toys Havoks,LLA,54.4,-4.4,2017
9,6,3,32.7,119,120,0.99,0.81,0.81,0.042,898.0,0.44,0.67,0.78,0.67,0.22,0.4,0.0,0.44,0.55,0.506,0.503,4.0,1.12,1.38,66.67,KT Rolster,LCK,59.5,7.2,2017
2,0,2,35.3,17,37,0.46,0.76,-0.49,-0.05,-1156.0,0.5,1.0,0.5,0.0,0.5,0.29,0.0,0.5,0.5,0.501,0.613,4.0,0.99,1.11,0.0,Kwangdong Freecs,LCK,42.1,-42.1,2017
6,6,0,29.7,104,38,2.74,0.8,1.48,0.13,1801.0,0.67,0.5,0.5,0.0,0.4,0.47,0.0,0.83,0.86,0.516,0.603,3.44,0.84,1.06,100.0,Lyon Gaming,LLA,57.0,43.0,2017
5,2,3,34.6,59,69,0.86,0.74,-1.22,-0.027999999999999997,-2018.0,0.0,0.2,0.4,1.0,0.4,0.58,0.0,0.6,0.5,0.49200000000000005,0.48200000000000004,3.4,0.82,1.13,40.0,M19,LCL,21.7,18.3,2017
5,2,3,35.6,71,55,1.29,0.71,-0.39,-0.04,318.0,0.6,0.2,0.2,1.0,0.6,0.56,1.0,0.4,0.33,0.5,0.44,3.39,0.93,1.56,40.0,MVP,LCK,49.5,-9.5,2017
4,1,3,38.5,44,80,0.55,0.8,-0.86,-0.069,-982.0,0.25,0.5,0.25,0.0,0.75,0.75,1.0,0.25,0.29,0.49,0.52,3.94,1.23,1.77,25.0,Machi Esports,PCS,50.9,-25.9,2017
12,4,8,39.4,146,148,0.99,0.62,-0.39,-0.054000000000000006,-510.0,0.25,0.5,0.42,0.5,0.5,0.54,0.6,0.33,0.35,0.488,0.504,3.69,0.93,1.56,33.33,Misfits Gaming,LEC,45.2,-11.9,2017
6,3,3,38.1,84,83,1.01,0.73,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.55,0.0,0.0,0.6,0.0,0.493,3.57,1.01,1.63,50.0,Newbee,LPL,0.0,0.0,2017
14,6,8,35.4,174,222,0.78,0.8,0.0,0.0,0.0,0.57,0.21,0.0,0.0,0.0,0.56,0.0,0.0,0.33,0.0,0.504,3.6,0.84,1.32,42.86,Oh My God,LPL,0.0,0.0,2017
11,6,5,35.6,129,106,1.22,0.6,0.21,0.006,0.0,0.36,0.64,0.55,1.0,0.55,0.63,0.33,0.36,0.46,0.49200000000000005,0.507,3.84,0.99,1.34,54.55,Phoenix1,LCS,48.5,6.0,2017
3,0,3,28.6,16,49,0.33,0.76,-2.37,-0.096,-3319.0,0.0,0.33,0.33,0.0,0.5,0.57,0.0,0.33,0.25,0.486,0.374,3.18,0.77,0.86,0.0,Predators Esports,LLA,32.7,-32.7,2017
4,2,2,29.8,38,38,1.0,0.64,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.64,0.0,0.0,0.25,0.0,0.46399999999999997,3.42,1.0,1.65,50.0,QG Reapers,LPL,0.0,0.0,2017
7,6,1,35.1,82,40,2.05,0.5,1.26,0.092,1184.0,0.86,0.57,0.57,1.0,0.5,0.53,0.0,0.71,0.8,0.507,0.502,3.94,1.2,1.54,85.71,RED Canids,CBLOL,61.7,24.0,2017
8,6,2,37.4,103,90,1.14,0.64,0.87,0.069,1023.0,0.75,0.63,0.75,1.0,0.5,0.58,0.5,0.75,0.67,0.511,0.539,3.59,0.99,1.56,75.0,Rampage,LJL,60.4,14.6,2017
7,3,4,37.9,92,76,1.21,0.63,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.32,0.0,0.0,0.45,0.0,0.478,3.79,0.9,1.51,42.86,Royal Never Give Up,LPL,0.0,0.0,2017
17,14,3,33.2,256,152,1.68,0.72,1.43,0.122,1545.0,0.47,0.47,0.76,0.82,0.76,0.75,1.0,0.82,0.83,0.513,0.5660000000000001,3.14,0.71,1.45,82.35,SK Telecom T1,MSI,65.0,17.3,2017
3,3,0,32.4,61,26,2.35,0.89,0.77,0.122,-92.0,1.0,0.67,0.67,0.0,1.0,0.9,0.0,1.0,1.0,0.502,0.532,3.47,0.84,1.49,100.0,SK Telecom T1,LCK,53.2,46.8,2017
3,0,3,30.0,24,55,0.44,0.88,-2.34,-0.147,-2363.0,0.0,0.0,0.0,0.0,0.67,0.44,0.0,0.33,0.33,0.479,0.483,3.43,1.0,1.39,0.0,Samsung Galaxy,LCK,24.5,-24.5,2017
5,2,3,42.2,40,84,0.48,0.58,0.0,-0.003,529.0,0.4,0.8,0.6,0.0,0.4,0.28,0.33,0.2,0.29,0.511,0.504,4.01,1.13,1.68,40.0,Splyce,LEC,54.5,-14.5,2017
28,22,6,32.8,477,353,1.35,0.9,1.32,0.081,1422.0,0.54,0.79,0.79,0.83,0.82,0.75,1.0,0.71,0.81,0.502,0.505,3.19,0.81,1.13,78.57,SuperMassive Esports,TCL,67.1,11.5,2017
11,4,7,39.6,118,149,0.79,0.61,-0.56,-0.08900000000000001,-894.0,0.45,0.45,0.45,0.0,0.64,0.53,0.71,0.27,0.28,0.496,0.47,3.9,1.07,1.3,36.36,TSM,MSI,44.4,-8.0,2017
8,6,2,33.9,131,82,1.6,0.78,0.81,0.08199999999999999,958.0,0.25,0.63,0.63,0.0,0.75,0.64,1.0,0.38,0.5,0.504,0.489,3.77,0.88,1.18,75.0,TSM,LCS,55.4,19.6,2017
28,16,12,36.3,436,460,0.95,0.88,0.38,0.016,562.0,0.54,0.61,0.61,0.33,0.52,0.58,0.4,0.46,0.47,0.501,0.522,3.08,0.79,1.11,57.14,Team AURORA,TCL,56.6,0.5,2017
14,8,6,35.2,181,165,1.1,0.7,0.52,0.047,336.0,0.5,0.64,0.64,0.5,0.29,0.45,0.0,0.64,0.64,0.5,0.507,3.63,0.87,1.27,57.14,Team WE,MSI,51.0,6.1,2017
7,6,1,38.7,127,85,1.49,0.78,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.42,0.0,0.0,0.75,0.0,0.48,3.68,0.95,1.33,85.71,Team WE,LPL,0.0,0.0,2017
8,4,4,40.5,106,122,0.87,0.7,-0.44,-0.022000000000000002,-163.0,0.63,0.5,0.5,0.33,0.75,0.53,0.33,0.5,0.54,0.514,0.47200000000000003,3.36,0.79,1.14,50.0,Unicorns of Love,LEC,48.9,1.1,2017
5,2,3,37.1,54,47,1.15,0.54,-0.47,-0.028999999999999998,-536.0,0.2,0.4,0.4,0.0,0.6,0.53,1.0,0.4,0.5,0.48700000000000004,0.45399999999999996,3.7,0.96,1.32,40.0,Unsold Stuff Gaming,LJL,45.8,-5.8,2017
9,5,4,33.7,131,138,0.95,0.88,0.08,-0.008,-27.0,0.44,0.56,0.56,0.67,0.33,0.43,0.0,0.44,0.42,0.503,0.518,3.54,0.77,1.28,55.56,Vaevictis eSports,LCL,49.3,6.3,2017
4,1,3,30.3,43,65,0.66,0.89,-1.86,-0.114,-1487.0,0.25,0.25,0.25,0.5,0.25,0.23,0.0,0.25,0.2,0.493,0.42,3.48,0.78,0.96,25.0,Vega Squadron,LCL,27.2,-2.2,2017
10,6,4,35.6,163,126,1.29,0.81,1.16,0.067,1628.0,0.9,0.7,0.6,0.0,0.8,0.62,1.0,0.6,0.69,0.504,0.525,3.59,1.12,1.43,60.0,Virtus.pro,LCL,73.9,-13.9,2017
7,3,4,39.2,83,88,0.94,0.62,-0.04,-0.037000000000000005,388.0,0.29,0.86,0.71,0.0,0.67,0.65,0.5,0.43,0.42,0.49200000000000005,0.527,4.21,1.4,1.51,42.86,Vivo Keyd,CBLOL,55.3,-12.4,2017
3,0,3,32.4,26,37,0.7,0.65,-0.57,-0.084,-574.0,0.33,0.33,0.0,0.67,0.33,0.36,0.0,0.0,0.0,0.48700000000000004,0.475,3.68,1.01,0.94,0.0,ZAGA Talent Gaming,LLA,44.5,-44.5,2017
7,4,3,37.3,77,77,1.0,0.59,-0.69,-0.004,-827.0,0.43,0.29,0.43,0.0,0.57,0.59,1.0,0.57,0.5,0.507,0.539,3.65,0.97,1.76,57.14,ahq eSports Club,PCS,42.8,14.3,2017
4,1,3,33.2,23,37,0.62,0.45,-0.58,-0.033,-983.0,0.25,0.25,0.5,0.0,0.5,0.43,0.0,0.25,0.2,0.49700000000000005,0.48700000000000004,3.96,1.14,1.12,25.0,paiN Gaming,CBLOL,38.8,-13.8,2017
8,3,5,37.0,61,79,0.77,0.47,-0.2,-0.034,-480.0,0.75,0.75,0.5,0.25,0.38,0.39,0.5,0.25,0.36,0.504,0.489,3.48,1.09,1.65,37.5,100 Thieves,LCS,43.7,-6.2,2018
7,4,3,32.5,70,68,1.03,0.61,0.43,0.008,317.0,0.71,0.67,0.5,0.75,0.5,0.65,0.0,0.4,0.6,0.49,0.532,4.09,1.31,1.56,57.14,Bilibili Gaming,LPL,54.6,-4.6,2018
8,3,5,37.0,105,161,0.65,0.9,-2.32,-0.10400000000000001,-2847.0,0.25,0.5,0.38,0.29,0.38,0.41,1.0,0.38,0.36,0.505,0.456,3.36,1.01,1.46,37.5,CNB e-Sports Club,CBLOL,23.0,14.5,2018
3,0,3,38.8,22,30,0.73,0.45,0.07,-0.043,526.0,0.33,0.67,0.67,0.0,0.33,0.42,0.5,0.33,0.2,0.507,0.48100000000000004,2.98,1.09,1.83,0.0,Cloud9,LCS,53.7,-53.7,2018
12,5,7,35.0,104,113,0.92,0.52,-0.6,-0.05,-867.0,0.25,0.33,0.25,0.42,0.33,0.4,0.5,0.5,0.47,0.489,0.456,4.29,1.27,1.39,41.67,Clutch Gaming,LCS,42.9,-1.2,2018
28,12,16,34.0,287,269,1.07,0.58,0.36,-0.027999999999999997,618.0,0.71,0.54,0.43,0.54,0.41,0.48,0.4,0.5,0.48,0.498,0.496,4.19,1.12,1.52,42.86,Dark Passage,TCL,52.8,-9.9,2018
3,0,3,39.8,8,31,0.26,0.33,-2.31,-0.184,-1421.0,0.33,0.0,0.0,0.0,0.67,0.17,0.0,0.0,0.0,0.486,0.376,4.36,1.48,1.48,0.0,DetonatioN FocusMe,LJL,28.8,-28.8,2018
8,4,4,31.6,86,81,1.06,0.66,0.13,-0.001,279.0,0.5,0.5,0.5,0.6,0.63,0.5,0.0,0.5,0.42,0.499,0.46799999999999997,3.42,1.23,1.47,50.0,EDward Gaming,LPL,53.5,-3.5,2018
5,3,2,31.8,78,65,1.2,0.9,0.17,0.028999999999999998,-231.0,0.2,0.6,0.8,0.2,0.4,0.47,1.0,0.6,0.6,0.498,0.494,3.84,1.21,1.37,60.0,EVOS Esports,VCS,49.5,10.5,2018
10,2,8,32.8,81,158,0.51,0.73,-1.74,-0.13,-1298.0,0.4,0.2,0.2,0.25,0.2,0.3,1.0,0.3,0.31,0.485,0.507,4.24,1.36,1.19,20.0,EVOS Esports,MSI,34.1,-14.1,2018
7,4,3,27.9,72,84,0.86,0.8,1.53,0.069,2118.0,0.86,0.57,0.71,0.86,0.57,0.6,0.0,0.43,0.5,0.501,0.599,3.57,0.85,1.05,57.14,Echo Fox,LCS,67.5,-10.4,2018
28,15,13,35.3,348,266,1.31,0.62,1.01,0.057,855.0,0.5,0.54,0.57,0.44,0.57,0.6,0.43,0.54,0.54,0.501,0.537,4.21,1.2,1.71,53.57,Fenerbahçe Esports,TCL,59.1,-5.5,2018
3,3,0,33.8,43,21,2.05,0.63,0.61,0.10400000000000001,215.0,0.33,0.33,0.67,1.0,0.67,0.63,1.0,1.0,1.0,0.489,0.545,5.13,1.57,1.65,100.0,Flash Wolves,PCS,60.8,39.2,2018
15,8,7,32.6,156,126,1.24,0.58,0.08,-0.006999999999999999,160.0,0.73,0.6,0.67,0.77,0.67,0.5,0.5,0.6,0.45,0.496,0.48,4.07,1.43,1.47,53.33,Flash Wolves,MSI,52.1,1.2,2018
14,5,9,37.7,157,201,0.78,0.68,0.22,0.008,633.0,0.5,0.5,0.57,0.85,0.29,0.38,0.2,0.36,0.33,0.505,0.499,3.8,1.04,1.41,35.71,Fnatic,MSI,56.6,-20.8,2018
7,6,1,32.5,97,60,1.62,0.69,0.25,0.061,376.0,0.43,0.43,0.57,0.2,0.43,0.55,0.0,0.57,0.5,0.515,0.546,4.0,1.27,1.26,85.71,Fnatic,LEC,53.0,32.7,2018
9,4,5,40.3,128,99,1.29,0.63,-0.42,-0.012,-193.0,0.44,0.44,0.33,0.5,0.11,0.23,0.4,0.33,0.47,0.509,0.462,4.42,1.32,1.59,44.44,Furious Gaming,LLA,46.1,-1.7,2018
6,3,3,34.2,67,76,0.88,0.7,-0.44,-0.03,-459.0,0.83,0.5,0.33,0.17,0.5,0.61,0.0,0.17,0.33,0.499,0.493,4.3,1.5,1.61,50.0,G-Rex,PCS,40.3,9.7,2018
7,3,4,37.1,77,69,1.12,0.56,1.11,0.044000000000000004,609.0,0.57,0.57,0.86,0.83,0.57,0.5,0.5,0.86,0.77,0.498,0.484,4.32,1.3,1.63,42.86,G2 Esports,LEC,58.4,-15.6,2018
13,8,5,34.9,214,172,1.24,0.85,0.58,0.035,561.0,0.62,0.69,0.46,0.85,0.54,0.58,0.5,0.62,0.61,0.49200000000000005,0.541,4.52,1.24,1.57,61.54,GAM Esports,VCS,55.2,6.3,2018
28,3,25,30.7,203,424,0.48,0.73,-1.94,-0.146,-2602.0,0.25,0.25,0.18,0.2,0.18,0.25,0.67,0.11,0.3,0.48700000000000004,0.434,3.57,0.94,1.18,10.71,Galakticos,TCL,27.6,-16.9,2018
7,6,1,33.0,118,76,1.55,0.84,0.8,0.062,601.0,0.71,0.43,0.71,0.57,0.71,0.89,0.0,0.71,0.75,0.505,0.536,3.93,1.08,1.47,85.71,Gambit Esports,LCL,59.0,26.7,2018
5,2,3,33.9,52,52,1.0,0.61,-0.51,0.054000000000000006,-401.0,0.4,0.2,0.2,0.8,0.4,0.41,0.67,0.6,0.44,0.508,0.509,3.97,1.36,1.07,40.0,H2k-Gaming,LEC,41.1,-1.1,2018
28,11,17,32.3,271,357,0.76,0.69,-1.21,-0.065,-983.0,0.48,0.37,0.33,0.29,0.44,0.36,0.5,0.37,0.37,0.499,0.44799999999999995,4.15,1.18,1.36,39.29,HWA Gaming,TCL,39.1,-2.1,2018
5,2,3,41.1,52,82,0.63,0.65,0.79,-0.011000000000000001,960.0,0.6,0.8,0.8,0.5,1.0,0.88,0.75,0.6,0.45,0.484,0.5710000000000001,5.41,1.56,1.52,40.0,Hafnet eSports,LLA,65.0,-25.0,2018
9,3,6,36.1,108,143,0.76,0.77,-0.57,-0.047,-572.0,0.22,0.56,0.56,0.57,0.22,0.34,0.0,0.44,0.4,0.49200000000000005,0.462,3.57,1.32,1.49,33.33,Invictus Gaming,LPL,44.4,-11.1,2018
6,3,3,29.5,78,66,1.18,0.81,0.37,0.003,533.0,0.5,0.67,0.67,0.67,0.5,0.41,0.0,0.5,0.5,0.499,0.494,4.96,1.57,1.33,50.0,Isurus,LLA,60.2,-10.2,2018
2,0,2,32.1,11,31,0.35,0.65,-3.06,-0.193,-2408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,0.408,3.82,1.33,1.58,0.0,JD Gaming,LPL,18.5,-18.5,2018
3,1,2,40.5,23,42,0.55,0.54,-1.43,-0.136,-581.0,0.67,0.33,0.0,1.0,0.67,0.31,0.5,0.0,0.2,0.494,0.456,4.61,1.65,1.88,33.33,KSV eSports,LCK,42.0,-8.7,2018
8,4,4,33.0,72,65,1.11,0.52,0.82,0.038,559.0,0.75,0.63,0.5,0.33,0.5,0.55,0.0,0.5,0.58,0.513,0.523,4.46,1.45,1.83,50.0,KT Rolster,LCK,55.3,-5.3,2018
5,3,2,33.3,58,66,0.88,0.74,0.8,0.023,1939.0,0.8,0.6,0.6,0.4,0.6,0.43,1.0,0.2,0.38,0.518,0.524,4.08,1.36,1.36,60.0,KaBuM! e-Sports,CBLOL,67.5,-7.5,2018
8,6,2,32.0,97,78,1.24,0.68,0.57,0.081,756.0,0.75,0.5,0.5,0.43,0.75,0.72,0.0,0.63,0.67,0.512,0.524,4.09,1.4,1.52,75.0,Kaos Latin Gamers,LLA,58.2,16.8,2018
18,10,8,33.5,195,188,1.04,0.63,0.46,0.045,62.0,0.33,0.56,0.44,0.25,0.5,0.54,0.5,0.56,0.69,0.5,0.508,3.87,1.25,1.7,55.56,Kingzone DragonX,MSI,51.5,4.0,2018
4,3,1,37.5,45,25,1.8,0.47,0.28,0.046,1080.0,0.5,0.5,0.5,1.0,0.5,0.46,0.0,0.5,0.43,0.502,0.539,4.65,1.39,2.11,75.0,Kingzone DragonX,LCK,58.6,16.4,2018
8,4,4,34.2,61,68,0.9,0.47,0.07,-0.015,-143.0,0.5,0.63,0.63,0.5,0.38,0.52,1.0,0.63,0.58,0.489,0.48700000000000004,4.61,1.62,1.87,50.0,Kwangdong Freecs,LCK,48.8,1.2,2018
3,0,3,30.2,20,50,0.4,0.77,-2.15,-0.16399999999999998,-1738.0,0.33,0.33,0.0,0.33,0.0,0.13,0.0,0.0,0.0,0.473,0.44299999999999995,3.48,1.2,1.67,0.0,Legatum,LLA,24.4,-24.4,2018
10,4,6,34.7,108,124,0.87,0.67,-0.87,-0.057,-735.0,0.7,0.2,0.3,0.44,0.4,0.42,0.0,0.3,0.38,0.505,0.47100000000000003,3.48,1.13,1.33,40.0,M19,LCL,43.4,-3.4,2018
7,3,4,34.8,80,77,1.04,0.65,0.66,0.027999999999999997,531.0,0.43,0.57,0.86,0.86,0.71,0.52,0.0,0.71,0.58,0.5,0.519,4.43,1.4,1.25,42.86,MAD Team,PCS,62.4,-19.5,2018
4,1,3,34.8,31,47,0.66,0.56,-0.96,-0.08199999999999999,-402.0,0.25,0.5,0.0,0.0,0.0,0.27,0.0,0.25,0.29,0.508,0.442,3.23,1.1,1.59,25.0,Machi Esports,PCS,34.7,-9.7,2018
7,6,1,39.7,81,53,1.53,0.48,0.99,0.11,753.0,0.43,0.71,0.86,0.6,0.57,0.72,1.0,0.71,0.73,0.503,0.5589999999999999,3.67,1.14,2.0,85.71,PENTAGRAM,LJL,61.7,24.0,2018
5,2,3,39.4,104,78,1.33,0.92,1.82,0.049,3119.0,0.6,0.6,0.6,0.75,0.6,0.54,0.0,0.4,0.44,0.48700000000000004,0.496,4.42,1.78,1.47,40.0,ProGaming Esports,CBLOL,82.3,-42.3,2018
5,2,3,39.7,48,49,0.98,0.49,-0.92,-0.013000000000000001,-471.0,0.2,0.2,0.2,0.4,0.2,0.24,0.67,0.6,0.27,0.502,0.47100000000000003,3.18,1.03,1.33,40.0,RED Canids,CBLOL,39.9,0.1,2018
9,5,4,36.3,97,97,1.0,0.59,-0.08,-0.001,-789.0,0.33,0.33,0.56,0.5,0.56,0.51,0.0,0.67,0.57,0.499,0.5,4.02,1.35,1.54,55.56,Rebirth eSports,LLA,40.0,15.5,2018
