GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,GD15,FB%,FT%,F3T%,HLD%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,win_rate,Team,division,EGR,MLR,year
6,6,0,40.7,123,78,1.58,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,INTZ,CBLOL,0.0,0.0,2015
11,6,5,35.2,119,118,1.01,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55,Invictus Gaming,LPL,0.0,0.0,2015
3,0,3,30.0,5,28,0.18,0.37,-2.24,-0.126,-943.0,0.0,0.33,0.33,0.0,0.0,0.1,0.0,0.0,0.0,0.465,0.447,3.09,0.51,0.77,0.0,Jin Air Green Wings,LCK,0.0,0.0,2015
10,4,6,39.3,126,152,0.83,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,KaBuM! Black,CBLOL,0.0,0.0,2015
7,6,1,31.1,133,70,1.9,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,Kaos Latin Gamers,LLA,0.0,0.0,2015
11,8,3,34.9,180,114,1.58,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.73,LGD Gaming,LPL,0.0,0.0,2015
5,2,3,28.0,75,83,0.9,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Last Kings,LLA,0.0,0.0,2015
14,5,9,34.6,211,252,0.84,0.96,-1.09,-0.078,-1348.0,0.36,0.36,0.29,0.0,0.43,0.53,0.0,0.36,0.4,0.48,0.498,2.34,0.34,0.77,35.71,NumberOne Esports,TCL,0.0,0.0,2015
3,0,3,33.5,21,50,0.42,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oh My God,LPL,0.0,0.0,2015
3,0,3,38.6,24,56,0.43,0.68,-2.07,-0.14800000000000002,-1163.0,0.67,0.0,0.33,0.0,0.0,0.14,0.0,0.0,0.2,0.478,0.424,3.71,0.59,1.05,0.0,ROX Tigers,LCK,0.0,0.0,2015
16,9,7,43.4,270,266,1.02,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,56.25,RabbitFive,LJL,0.0,0.0,2015
10,5,5,40.2,164,142,1.15,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,50.0,Rampage,LJL,0.0,0.0,2015
10,4,6,40.4,135,170,0.79,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,40.0,Rascal Jester,LJL,0.0,0.0,2015
10,4,6,37.1,130,156,0.83,0.77,0.39,0.006,691.0,0.4,0.7,0.4,0.0,0.7,0.64,0.0,0.3,0.5,0.513,0.544,2.64,0.44,1.0,40.0,SK Gaming,LEC,0.0,0.0,2015
15,10,5,35.7,238,239,1.0,0.89,0.02,0.005,-151.0,0.33,0.47,0.53,0.0,0.67,0.63,0.0,0.6,0.58,0.517,0.493,3.23,0.57,1.04,66.67,SK Telecom T1,MSI,0.0,0.0,2015
8,6,2,40.4,134,87,1.54,0.68,1.36,0.09,1076.0,0.5,0.63,0.63,0.0,0.88,0.69,0.0,0.75,0.67,0.512,0.545,3.44,0.51,1.07,75.0,SK Telecom T1,LCK,0.0,0.0,2015
10,0,10,34.7,75,181,0.41,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Salvage Javelin,LJL,0.0,0.0,2015
12,4,8,35.4,113,182,0.62,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,Snake Esports,LPL,0.0,0.0,2015
5,1,4,28.8,35,91,0.38,0.87,-2.91,-0.196,-2931.0,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.17,0.501,0.456,2.39,0.26,0.68,20.0,TSM,MSI,0.0,0.0,2015
8,6,2,35.2,119,65,1.83,0.65,1.48,0.113,1241.0,0.75,0.75,0.5,0.0,0.38,0.67,0.0,0.63,0.73,0.504,0.528,2.9,0.45,0.99,75.0,TSM,LCS,0.0,0.0,2015
3,0,3,48.5,45,76,0.59,0.82,-0.16,-0.044000000000000004,0.0,0.33,0.67,0.33,0.0,0.0,0.21,0.0,0.33,0.67,0.494,0.483,3.58,0.44,1.12,0.0,Taipei Assassins,PCS,0.0,0.0,2015
13,6,7,34.6,163,165,0.99,0.73,0.03,0.004,762.0,0.38,0.69,0.54,0.0,0.54,0.52,0.0,0.46,0.35,0.508,0.52,3.0,0.43,0.73,46.15,Team Impulse,LCS,0.0,0.0,2015
5,2,3,34.4,69,61,1.13,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Team King,LPL,0.0,0.0,2015
