"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"FC Schalke 04 Esports",12,6,6,33.5,176,150,1.17,0.81,0.3,"1.9%",48.1,1.9,135,"58%","50%","42%",,"61%","42%","52%","100%","58%","69%","50.1%","50.0%",3.24,1.28,1.61
"Fnatic",7,3,4,32.2,100,115,0.87,0.95,0.41,"-1.1%",57.2,-14.3,436,"71%","43%","29%",,"38%","71%","63%","100%","43%","45%","49.7%","51.0%",3.52,1.35,1.31
"G2 Esports",13,5,8,34.2,163,208,0.78,0.83,-0.92,"-4.8%",41.3,-2.8,-963,"31%","46%","38%",,"40%","38%","44%","100%","31%","28%","49.9%","48.2%",3.81,1.35,1.4
"MAD Lions",13,9,4,33.6,219,167,1.31,0.88,-0.16,"5.8%",41.4,27.9,-622,"54%","54%","54%",,"69%","38%","47%","33%","62%","68%","50.0%","52.6%",3.38,1.29,1.53
"Rogue",17,9,8,33.3,228,225,1.01,0.8,0.93,"0.3%",68.2,-15.3,1477,"59%","59%","71%",,"44%","71%","57%","33%","47%","45%","50.1%","50.4%",3.18,1.07,1.39
"SK Gaming",4,1,3,34.5,55,76,0.72,0.95,-1.91,"-8.3%",22.1,2.9,-2294,"0%","25%","50%",,"29%","25%","22%","0%","25%","29%","50.2%","43.5%",3.05,1.28,1.44
