"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",5,"15.2%","6.1%","21.2%","20%","80%",13,15,26,2.6,"61.9%","18.5%","0%",-169,-130,2.4,7.2,"21.6%",447,"22.1%","22.0%",0.43,0.16
"Ahri","Middle",1,"3.0%","0.0%","3.0%","0%","100%",2,4,3,1.3,"38.5%","20.0%","0%",-67,-155,0,9,"31.4%",418,"24.2%","26.1%",0.44,0.18
"Akali","Middle",1,"3.0%","0.0%","6.1%","0%","0%",1,4,3,1,"50.0%","20.0%","0%",-251,-112,-12,7.6,"25.3%",316,"18.1%","22.2%",0.3,0.03
"Akali","Top",1,"3.0%","0.0%","6.1%","100%","100%",3,3,4,2.3,"36.8%","50.0%","0%",-235,-405,-7,7.6,"19.7%",315,"18.4%","17.9%",0.51,0.1
"Alistar","Support",12,"36.4%","30.3%","66.7%","42%","25%",8,57,101,1.9,"69.0%","31.0%","17%",-39,146,1.6,0.9,"1.8%",147,"8.0%","8.4%",1.63,0.22
"Aphelios","ADC",1,"3.0%","0.0%","3.0%","0%","0%",8,4,8,4,"84.2%","17.4%","0%",1450,811,23,8.8,"30.6%",703,"29.6%","28.3%",0.44,0.26
"Ashe","ADC",5,"15.2%","3.0%","18.2%","60%","80%",29,6,29,9.7,"78.4%","10.5%","60%",543,244,19.8,9.8,"32.3%",627,"31.7%","29.6%",0.41,0.31
"Azir","Middle",9,"27.3%","9.1%","36.4%","11%","78%",17,21,29,2.2,"59.0%","15.6%","0%",34,66,-1,9.4,"29.9%",546,"32.0%","25.8%",0.43,0.18
"Blitzcrank","Support",1,"3.0%","3.0%","6.1%","0%","100%",1,4,6,1.8,"77.8%","30.8%","0%",-99,475,3,1.1,"2.7%",158,"10.9%","9.1%",2.07,0.43
"Braum","Support",3,"9.1%","0.0%","9.1%","33%","100%",0,13,35,2.7,"83.3%","25.5%","33%",79,-76,0.7,1,"2.3%",168,"8.9%","8.1%",1.65,0.22
"Caitlyn","ADC",1,"3.0%","3.0%","6.1%","0%","100%",6,6,1,1.2,"87.5%","33.3%","100%",666,-238,7,9.9,"39.7%",563,"34.2%","32.6%",0.46,0.34
"Cassiopeia","Middle",1,"3.0%","0.0%","3.0%","0%","100%",2,4,7,2.3,"50.0%","15.4%","0%",-260,41,3,7.6,"23.4%",342,"17.9%","19.9%",0.44,0.22
"Cho'Gath","Support",2,"6.1%","0.0%","9.1%","50%","0%",6,6,11,2.8,"70.8%","22.2%","50%",850,432,58,7.1,"18.2%",337,"18.3%","19.8%",0.37,0.17
"Cho'Gath","Top",1,"3.0%","0.0%","9.1%","0%","100%",0,6,1,0.2,"16.7%","28.6%","0%",-1494,-804,-23,6.9,"22.6%",280,"20.2%","17.2%",0.57,0.14
"Corki","Middle",2,"6.1%","0.0%","6.1%","100%","100%",6,3,12,6,"58.1%","25.0%","0%",-155,-203,1,10.5,"28.7%",681,"30.6%","24.3%",0.57,0.25
"Darius","Top",3,"9.1%","3.0%","12.1%","67%","100%",14,6,18,5.3,"60.4%","12.8%","33%",3,-60,-0.3,7.8,"21.6%",433,"22.4%","22.2%",0.39,0.19
"Ezreal","ADC",2,"6.1%","12.1%","18.2%","100%","50%",8,4,16,6,"63.2%","25.0%","0%",-815,-185,-15,9,"27.9%",660,"33.1%","22.5%",0.4,0.44
"Fiddlesticks","-",0,"0%","3.0%","3.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Top",4,"12.1%","15.2%","27.3%","100%","50%",12,4,31,10.8,"58.9%","10.0%","50%",396,278,8,7.8,"24.5%",540,"23.7%","22.1%",0.41,0.16
"Gnar","Top",12,"36.4%","33.3%","69.7%","50%","25%",25,44,75,2.3,"60.6%","24.9%","25%",82,5,2.8,7.6,"22.6%",423,"22.2%","21.2%",0.5,0.28
"Gragas","Support",10,"30.3%","9.1%","45.5%","70%","100%",17,32,81,3.1,"67.6%","27.1%","30%",228,206,6.6,1.8,"4.8%",224,"12.9%","10.5%",1.56,0.41
"Gragas","Top",2,"6.1%","9.1%","45.5%","50%","0%",4,9,18,2.4,"71.0%","23.1%","50%",202,239,0,6.3,"19.5%",396,"19.2%","18.7%",0.5,0.14
"Graves","Jungle",1,"3.0%","3.0%","6.1%","0%","100%",5,4,2,1.8,"77.8%","21.1%","0%",-47,-154,5,7.3,"29.3%",411,"24.0%","22.9%",0.36,0.33
"Hecarim","Jungle",15,"45.5%","42.4%","87.9%","53%","7%",35,37,113,4,"66.1%","16.6%","33%",32,27,1.7,5.6,"16.0%",289,"15.2%","16.9%",0.33,0.34
"Irelia","Top",1,"3.0%","3.0%","6.1%","0%","100%",2,1,0,2,"100.0%","14.3%","0%",392,62,23,8.9,"24.7%",212,"24.3%","27.0%",0.34,0.04
"Jayce","Top",3,"9.1%","21.2%","30.3%","33%","67%",3,9,12,1.7,"48.4%","18.8%","0%",-35,-202,5.7,8.5,"26.5%",582,"31.5%","22.3%",0.4,0.21
"Jhin","ADC",3,"9.1%","3.0%","12.1%","0%","67%",10,5,6,3.2,"72.7%","8.9%","0%",-412,-141,-4.7,8.9,"31.4%",413,"27.8%","28.1%",0.41,0.24
"Jinx","ADC",6,"18.2%","57.6%","75.8%","67%","33%",40,14,25,4.6,"69.9%","19.2%","17%",421,176,28.5,9.9,"33.2%",664,"33.8%","29.6%",0.34,0.32
"Kai'Sa","ADC",19,"57.6%","15.2%","72.7%","63%","21%",109,45,111,4.9,"71.9%","16.7%","32%",-162,16,1.7,9.4,"32.0%",534,"26.2%","27.6%",0.59,0.33
"Kalista","ADC",3,"9.1%","27.3%","36.4%","67%","100%",13,9,20,3.7,"71.7%","20.0%","33%",564,302,18.7,9.4,"30.8%",383,"21.0%","28.0%",0.94,0.53
"Karma","ADC",2,"6.1%","15.2%","45.5%","0%","50%",3,3,16,6.3,"67.9%","6.0%","0%",127,194,-3.5,6.7,"20.0%",337,"16.1%","20.5%",0.26,0.27
"Karma","Top",8,"24.2%","15.2%","45.5%","38%","25%",7,20,57,3.2,"68.1%","19.8%","25%",-241,-73,-3,6.4,"16.2%",316,"18.5%","16.9%",0.48,0.16
"Kennen","Top",1,"3.0%","3.0%","6.1%","100%","100%",4,1,5,9,"81.8%","14.3%","0%",-223,-29,-5,7.5,"19.3%",409,"25.8%","21.0%",0.42,0.29
"Lee Sin","Jungle",1,"3.0%","0.0%","3.0%","0%","100%",2,6,4,1,"100.0%","28.6%","0%",-20,-206,6,5.4,"12.9%",279,"20.1%","17.6%",0.6,0.21
"Leona","Support",6,"18.2%","0.0%","18.2%","50%","67%",9,31,59,2.2,"69.4%","32.3%","33%",74,-122,0.2,1.1,"2.7%",136,"6.8%","9.6%",1.77,0.47
"Lillia","Jungle",8,"24.2%","30.3%","54.5%","63%","75%",19,12,58,6.4,"67.5%","13.0%","25%",-207,-475,-6,6.4,"19.0%",400,"20.9%","17.6%",0.31,0.27
"Lucian","Middle",9,"27.3%","51.5%","78.8%","67%","11%",42,19,50,4.8,"63.4%","15.7%","0%",34,93,5.7,9.4,"30.0%",578,"30.0%","26.9%",0.45,0.23
"Lulu","Top",1,"3.0%","0.0%","3.0%","0%","100%",2,5,6,1.6,"72.7%","26.3%","0%",240,32,3,6,"20.4%",401,"20.8%","18.4%",0.5,0.18
"Malphite","Top",1,"3.0%","0.0%","3.0%","0%","100%",1,3,5,2,"75.0%","20.0%","0%",-563,-25,-22,5.5,"16.2%",281,"20.6%","19.1%",0.4,0.07
"Morgana","Support",1,"3.0%","0.0%","3.0%","0%","100%",0,4,7,1.8,"87.5%","22.2%","100%",198,772,1,1.2,"2.9%",227,"13.8%","9.7%",1.57,0.37
"Nami","-",0,"0%","3.0%","3.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Support",3,"9.1%","3.0%","12.1%","67%","67%",1,11,29,2.7,"63.8%","28.2%","0%",-112,-161,-0.7,1,"2.1%",132,"6.7%","8.4%",1.98,0.3
"Nidalee","Jungle",2,"6.1%","0.0%","6.1%","50%","100%",11,5,9,4,"62.5%","15.6%","50%",391,456,6.5,6.6,"18.9%",536,"27.4%","20.1%",0.28,0.5
"Nocturne","Jungle",1,"3.0%","18.2%","27.3%","0%","0%",0,3,5,1.7,"55.6%","23.1%","0%",-623,-727,-12,5.7,"17.0%",173,"12.0%","16.0%",0.74,0.34
"Nocturne","Top",2,"6.1%","18.2%","27.3%","100%","100%",3,1,27,30,"65.2%","5.9%","0%",318,594,13,7.7,"22.7%",387,"18.1%","19.6%",0.36,0.17
