"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alocs","g3nerationX","Support",2,"0%",,0,11,9,0.8,"64.3%","0.0%","31.4%","50%",52,-589,2,1,"3.7%",78,"5.0%",,96,"9.4%",,1.12,0.17,0.32
"Aoshi","CNB e-Sports Club","Top",2,"100%",,4,2,23,13.5,"77.1%","11.4%","14.3%","0%",-135,-181,-9.5,6,"22.0%",463,"20.8%",,225,"19.0%",,0.48,0.03,0.14
"Ayel","RED Canids","Top",6,"50%",,19,18,39,3.2,"77.3%","25.3%","25.7%","17%",-524,-372,-16,8.3,"29.8%",470,"27.2%",,261,"23.6%",,0.61,0.1,0.18
"Baiano","Vivo Keyd","Support",6,"50%",,0,10,42,4.2,"75.0%","0.0%","19.2%","33%",46,-254,1.5,1,"3.2%",113,"6.1%",,121,"10.9%",,1.14,0.18,0.3
"brTT","paiN Gaming","ADC",5,"20%",,15,11,20,3.2,"68.6%","29.4%","18.0%","40%",-33,185,-0.6,8.7,"29.7%",553,"32.0%",,254,"24.7%",,0.34,0.04,0.18
"Brucer","RED Canids","Middle",6,"50%",,23,12,36,4.9,"78.7%","30.7%","17.1%","17%",43,56,11.2,9.8,"29.9%",518,"30.5%",,294,"26.4%",,0.55,0.08,0.28
"Caos","RED Canids","Jungle",6,"50%",,9,14,48,4.1,"76.0%","12.0%","20.0%","17%",-218,-116,0,3.5,"10.7%",240,"14.3%",,181,"16.3%",,0.92,0.24,0.68
"Eryon","RED Canids","Support",6,"50%",,2,17,37,2.3,"52.0%","2.7%","24.3%","17%",23,182,4.3,1,"3.1%",89,"5.2%",,112,"10.0%",,0.97,0.27,0.3
"esA","Vivo Keyd","ADC",6,"50%",,16,11,23,3.5,"69.6%","28.6%","21.2%","17%",212,239,3.5,10,"33.7%",578,"31.9%",,301,"26.8%",,0.64,0.1,0.37
"EzPrince","Operation Kino e-Sports","ADC",7,"43%",,19,15,21,2.7,"50.6%","24.1%","16.3%","0%",-153,-126,1.4,8.5,"27.1%",337,"19.2%",,258,"22.9%",,0.47,0.06,0.24
"Goku","Operation Kino e-Sports","Middle",7,"43%",,18,22,35,2.4,"67.1%","22.8%","23.9%","43%",-81,-80,-6.1,7.8,"23.1%",456,"27.1%",,235,"20.9%",,0.46,0.06,0.11
"Jockster","INTZ","Support",7,"86%",,1,23,74,3.3,"73.5%","1.0%","32.4%","43%",33,252,-1.4,1,"4.0%",112,"5.7%",,134,"11.6%",,1.38,0.35,0.24
"Kami","paiN Gaming","Middle",5,"20%",,17,8,19,4.5,"70.6%","33.3%","13.1%","60%",38,-9,-4,8.5,"27.8%",494,"28.4%",,248,"24.4%",,0.56,0.05,0.15
"Lep","KaBuM! e-Sports","Top",5,"40%",,2,6,16,3,"66.7%","7.4%","13.3%","20%",-159,-116,-3.4,7.2,"25.5%",243,"15.7%",,198,"21.5%",,0.3,0.08,0.31
"Matsukaze","KaBuM! e-Sports","ADC",5,"40%",,10,2,7,8.5,"63.0%","37.0%","4.4%","0%",-109,-186,-4.2,8.7,"29.4%",422,"26.3%",,241,"25.6%",,0.27,0.05,0.19
"micaO","INTZ","ADC",7,"86%",,40,11,34,6.7,"72.5%","39.2%","15.5%","29%",74,41,-0.4,8.7,"28.5%",601,"29.7%",,297,"25.2%",,0.43,0.03,0.34
"Minerva","KaBuM! e-Sports","Jungle",5,"40%",,4,11,14,1.6,"66.7%","14.8%","24.4%","0%",-212,-62,-1.4,3.5,"11.3%",190,"12.1%",,153,"16.7%",,0.82,0.22,0.46
