"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ayel","INTZ","Top",4,"25%","50%",6,17,14,1.2,"46.5%","14.0%","25.8%","0%",-331,-518,-10.3,7.4,"24.5%",282,"18.7%",,204,"19.7%",,0.59,0.14,0.13
"brTT","RED Canids","ADC",5,"80%","20%",16,7,16,4.6,"62.7%","31.4%","26.9%","0%",52,-48,-1.2,9.6,"30.5%",439,"26.1%",,306,"25.8%",,0.35,0.06,0.14
"Dioud","RED Canids","Support",7,"86%","57%",3,7,49,7.4,"63.4%","3.7%","17.5%","29%",24,78,2.6,1.1,"4.0%",132,"7.7%",,141,"11.7%",,1.54,0.52,0.67
"Envy","INTZ","Middle",4,"25%","25%",13,13,18,2.4,"72.1%","30.2%","19.7%","0%",-128,101,-3.5,8.9,"30.8%",457,"28.6%",,259,"25.5%",,0.44,0.11,0.33
"esA","Vivo Keyd","ADC",7,"43%","14%",25,17,36,3.6,"73.5%","30.1%","19.3%","14%",-197,-237,-9,8.6,"31.5%",476,"29.9%",,270,"25.7%",,0.45,0.13,0.36
"Jockster","INTZ","Support",4,"25%","75%",2,16,27,1.8,"67.4%","4.7%","24.2%","50%",-61,183,5.3,1,"4.1%",209,"14.0%",,114,"11.3%",,1.54,0.46,0.25
"Kami","paiN Gaming","Middle",4,"25%","25%",8,5,9,3.4,"73.9%","34.8%","13.5%","25%",-138,-63,-5.8,9.3,"30.8%",389,"28.1%",,252,"25.2%",,0.46,0.1,0.07
"Loop","paiN Gaming","Support",4,"25%","25%",1,9,13,1.6,"60.9%","4.3%","24.3%","0%",-80,-118,-2,0.9,"3.4%",159,"11.3%",,108,"10.7%",,1.6,0.57,0.46
"Matsukaze","paiN Gaming","ADC",4,"25%","100%",6,6,9,2.5,"65.2%","26.1%","16.2%","0%",-65,34,0.8,8.5,"25.4%",371,"26.2%",,238,"23.6%",,0.34,0.08,0.2
"micaO","INTZ","ADC",4,"25%","100%",16,8,16,4,"74.4%","37.2%","12.1%","50%",267,277,14,8.8,"31.1%",462,"29.0%",,268,"26.8%",,0.29,0.05,0.23
"Mylon","paiN Gaming","Top",4,"25%","75%",2,6,11,2.2,"56.5%","8.7%","16.2%","0%",132,366,7.8,8.5,"25.5%",317,"22.4%",,219,"22.0%",,0.55,0.11,0.15
"Nappon","RED Canids","Jungle",7,"86%","57%",20,8,36,7,"68.3%","24.4%","20.0%","71%",105,-43,-6.9,3.9,"12.8%",272,"16.0%",,217,"18.1%",,0.9,0.35,0.38
"Revolta","Vivo Keyd","Jungle",7,"43%","71%",20,16,38,3.6,"69.9%","24.1%","18.2%","29%",146,115,6.9,4.4,"14.9%",246,"15.0%",,198,"18.6%",,1,0.41,0.4
"Robo","RED Canids","Top",7,"86%","43%",11,4,39,12.5,"61.0%","13.4%","10.0%","29%",25,-144,-3.1,8.2,"24.8%",330,"19.3%",,248,"20.9%",,0.54,0.1,0.15
"Sacy","RED Canids","ADC",2,"100%","50%",8,2,14,11,"71.0%","25.8%","14.3%","50%",154,329,5,8.8,"29.9%",493,"22.6%",,296,"24.3%",,0.47,0.15,0.25
"Sirt","paiN Gaming","Jungle",4,"25%","25%",6,11,6,1.1,"52.2%","26.1%","29.7%","25%",-52,82,3,4.8,"14.9%",170,"12.0%",,187,"18.5%",,1.01,0.28,0.24
"takeshi","Vivo Keyd","Middle",7,"43%","86%",21,14,36,4.1,"68.7%","25.3%","15.9%","0%",64,-23,1,8.5,"28.0%",407,"25.9%",,256,"24.4%",,0.35,0.07,0.14
"tockers","RED Canids","Middle",2,"100%","0%",9,3,15,8,"77.4%","29.0%","21.4%","0%",10,-311,3,9.1,"29.5%",691,"35.3%",,301,"24.8%",,0.58,0.19,0.19
"Turtle","INTZ","Jungle",4,"25%","25%",6,12,25,2.6,"72.1%","14.0%","18.2%","25%",-386,-208,-3,3.3,"9.5%",153,"9.7%",,167,"16.7%",,0.91,0.16,0.25
"Yang","Vivo Keyd","Top",7,"43%","43%",12,16,40,3.3,"62.7%","14.5%","18.2%","14%",88,230,4.6,7.2,"22.3%",307,"19.1%",,207,"19.4%",,0.58,0.13,0.15
"YoDa","RED Canids","Middle",5,"80%","60%",15,9,17,3.6,"62.7%","29.4%","34.6%","20%",118,127,4.8,9.1,"27.5%",508,"30.4%",,279,"23.5%",,0.56,0.13,0.17
"Zirigui","Vivo Keyd","Support",7,"43%","43%",5,25,54,2.4,"71.1%","6.0%","28.4%","14%",56,-115,-4.4,0.8,"3.3%",156,"10.1%",,128,"11.9%",,1.83,0.66,0.47
