"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"INTZ",4,1,3,40.3,43,66,0.65,0.68,-1.37,"-6.2%",31.5,-6.5,-1768,"50%","0%","0%",,"100%","25%","33%","50%","25%","43%","50.4%","46.3%",3.78,0.92,1.18
"paiN Gaming",4,1,3,33.2,23,37,0.62,0.45,-0.58,"-3.3%",38.8,-13.8,-983,"25%","25%","50%",,,"50%","43%",,"25%","20%","49.7%","48.7%",3.96,1.14,1.12
"RED Canids",7,6,1,35.1,82,40,2.05,0.5,1.26,"9.2%",61.7,24,1184,"86%","57%","57%",,"100%","50%","53%",,"71%","80%","50.7%","50.2%",3.94,1.2,1.54
"Vivo Keyd",7,3,4,39.2,83,88,0.94,0.62,-0.04,"-3.7%",55.3,-12.4,388,"29%","86%","71%",,"0%","67%","65%","50%","43%","42%","49.2%","52.7%",4.21,1.4,1.51
