"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",5,"45.5%","27.3%","72.7%","80%","40%",15,11,21,3.3,"67.9%","33.3%","0%",-84,153,-3.8,9.1,"30.0%",482,"29.8%","24.3%",0.47,0.19
"Ashe","ADC",5,"45.5%","54.5%","100.0%","60%","0%",11,6,15,4.3,"60.5%","15.0%","0%",77,-88,-0.4,9.4,"30.9%",414,"28.0%","25.6%",0.39,0.18
"Aurelion Sol","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",3,"27.3%","0.0%","27.3%","33%","33%",7,9,13,2.2,"80.0%","28.1%","0%",-82,-210,-4.7,9.2,"35.1%",474,"27.7%","27.0%",0.4,0.34
"Camille","-",0,"0%","27.3%","27.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",2,"18.2%","36.4%","54.5%","50%","50%",6,2,8,7,"77.8%","13.3%","0%",87,-72,4,9.4,"27.5%",428,"31.2%","25.1%",0.59,0.13
"Darius","-",0,"0%","45.5%","45.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Middle",2,"18.2%","0.0%","18.2%","50%","50%",3,2,7,5,"50.0%","10.5%","0%",-100,299,-6.5,9,"30.5%",376,"20.8%","23.9%",0.43,0.18
"Elise","Jungle",4,"36.4%","0.0%","36.4%","75%","50%",13,12,27,3.3,"70.2%","29.3%","50%",434,228,-13,3.7,"12.8%",264,"14.2%","18.3%",0.93,0.37
"Ezreal","ADC",2,"18.2%","0.0%","18.2%","0%","100%",7,5,6,2.6,"72.2%","14.3%","0%",79,201,7,9.4,"30.8%",504,"30.3%","27.7%",0.26,0.23
"Fiora","Top",1,"9.1%","18.2%","27.3%","100%","100%",2,5,3,1,"27.8%","27.8%","0%",161,88,8,9.9,"34.9%",389,"18.9%","24.0%",0.56,0.09
"Fizz","Top",1,"9.1%","9.1%","18.2%","100%","100%",5,1,2,7,"53.8%","25.0%","100%",674,525,18,9.1,"27.5%",450,"33.8%","24.9%",0.54,0.2
"Gragas","Top",4,"36.4%","0.0%","36.4%","50%","0%",7,5,20,5.4,"50.9%","11.1%","0%",-2,60,-0.3,7.5,"22.3%",370,"19.9%","19.3%",0.55,0.13
"Graves","Jungle",1,"9.1%","90.9%","100.0%","100%","100%",3,0,7,10,"83.3%","0.0%","0%",306,481,5,5.1,"19.4%",327,"21.2%","20.5%",0.9,0.65
"Illaoi","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ivern","Jungle",1,"9.1%","0.0%","9.1%","0%","100%",1,3,2,1,"75.0%","21.4%","100%",-283,212,-5,2.8,"7.8%",96,"9.1%","18.9%",0.98,0.21
"Jayce","Middle",2,"18.2%","0.0%","18.2%","50%","0%",10,5,8,3.6,"75.0%","16.7%","0%",-47,3,-1.5,8.8,"30.4%",516,"30.5%","26.5%",0.51,0.49
"Jhin","ADC",5,"45.5%","9.1%","54.5%","40%","80%",15,9,22,4.1,"66.1%","13.2%","20%",141,17,4,8,"25.4%",415,"26.0%","22.8%",0.36,0.24
"Karma","Support",6,"54.5%","9.1%","63.6%","17%","50%",1,19,33,1.8,"79.1%","26.4%","17%",68,72,-2.3,0.9,"3.5%",154,"11.2%","11.2%",1.78,0.52
"Kassadin","Middle",1,"9.1%","0.0%","9.1%","100%","100%",4,0,4,8,"61.5%","0.0%","0%",346,284,15,9.3,"25.3%",519,"29.0%","22.7%",0.6,0.15
"Katarina","Middle",1,"9.1%","18.2%","27.3%","0%","0%",2,2,1,1.5,"100.0%","15.4%","0%",-346,-284,-15,8,"29.5%",331,"23.2%","23.1%",0.39,0.03
"Kennen","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Jungle",6,"54.5%","0.0%","54.5%","67%","83%",16,7,28,6.3,"64.7%","15.6%","83%",-15,-77,0.5,4.4,"14.2%",292,"17.9%","18.2%",0.91,0.38
"Kog'Maw","ADC",2,"18.2%","0.0%","18.2%","50%","100%",9,2,4,6.5,"72.2%","11.8%","50%",-95,139,1.5,9.2,"32.9%",472,"32.5%","28.0%",0.31,0.09
"LeBlanc","Middle",2,"18.2%","0.0%","18.2%","0%","100%",2,7,1,0.4,"60.0%","30.4%","50%",90,12,3.5,7.7,"24.5%",348,"29.4%","22.9%",0.46,0.12
"Lee Sin","Jungle",7,"63.6%","0.0%","63.6%","29%","14%",15,20,36,2.6,"70.8%","20.2%","14%",-40,-118,1.3,3.7,"11.6%",168,"10.5%","17.3%",0.98,0.25
"Lucian","ADC",1,"9.1%","0.0%","9.1%","100%","100%",1,1,5,6,"46.2%","25.0%","0%",-229,351,1,8.9,"27.6%",197,"14.7%","21.9%",0.46,0.17
"Lulu","Support",4,"36.4%","63.6%","100.0%","50%","0%",1,8,26,3.4,"73.0%","22.9%","0%",-123,-53,-5.3,0.8,"2.9%",135,"8.2%","11.2%",1.61,0.51
"Malzahar","Support",3,"27.3%","72.7%","100.0%","67%","0%",4,6,17,3.5,"55.3%","17.6%","33%",97,228,-3,0.9,"3.8%",206,"14.5%","12.6%",1.58,0.57
"Maokai","Top",6,"54.5%","9.1%","63.6%","33%","67%",5,9,29,3.8,"72.3%","14.5%","17%",-31,-7,-1.2,7.3,"21.8%",280,"18.7%","19.6%",0.53,0.16
"Nami","Support",1,"9.1%","0.0%","9.1%","100%","100%",1,0,7,8,"72.7%","0.0%","0%",-55,-219,-1,0.8,"3.0%",117,"6.1%","12.2%",1.57,0.58
"Nautilus","Top",4,"36.4%","9.1%","45.5%","50%","25%",4,12,24,2.3,"65.1%","30.0%","0%",-244,-306,-8.3,7,"22.0%",276,"18.4%","18.7%",0.61,0.13
"Olaf","Jungle",1,"9.1%","9.1%","18.2%","0%","100%",0,3,1,0.3,"33.3%","21.4%","0%",-1277,-645,12,4.3,"14.7%",112,"9.8%","17.4%",1.07,0.5
"Orianna","Middle",4,"36.4%","27.3%","63.6%","0%","75%",10,9,22,3.6,"78.0%","13.6%","25%",-8,-74,2.5,9.2,"30.7%",433,"29.0%","26.3%",0.37,0.11
"Poppy","Top",1,"9.1%","0.0%","9.1%","0%","100%",0,2,2,1,"66.7%","15.4%","0%",-43,-29,-1,8.1,"26.7%",387,"27.1%","22.7%",0.57,0.15
"Renekton","Top",2,"18.2%","36.4%","54.5%","50%","100%",6,5,12,3.6,"66.7%","19.2%","50%",630,880,23.5,8.6,"27.9%",337,"20.9%","23.6%",0.65,0.25
"Rengar","Jungle",2,"18.2%","63.6%","81.8%","50%","0%",4,2,4,4,"53.3%","16.7%","0%",-57,165,14,5.3,"16.2%",196,"13.4%","18.7%",1,0.26
"Rumble","Top",1,"9.1%","63.6%","72.7%","0%","0%",0,3,3,1,"75.0%","23.1%","0%",-674,-525,-18,7.3,"24.9%",251,"21.6%","19.9%",0.6,0.06
