"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",5,"27.8%","38.9%","66.7%","60%","60%",6,20,61,3.4,"70.5%","29.0%","20%",-63,19,0.4,1.6,"5.0%",173,"7.6%","10.0%",1.49,0.38
"Anivia","Middle",2,"11.1%","0.0%","11.1%","50%","100%",8,2,10,9,"100.0%","6.7%","50%",-109,68,-6.5,9.6,"29.9%",554,"27.4%","27.0%",0.49,0.25
"Ashe","ADC",2,"11.1%","11.1%","22.2%","50%","100%",10,7,22,4.6,"74.4%","17.9%","50%",909,518,20.5,8.8,"32.2%",664,"27.4%","25.3%",0.36,0.26
"Azir","Middle",9,"50.0%","38.9%","88.9%","44%","44%",46,19,50,5.1,"72.7%","12.5%","11%",151,61,3.1,9.4,"28.5%",637,"32.1%","26.1%",0.51,0.24
"Braum","Support",13,"72.2%","11.1%","83.3%","31%","46%",3,39,115,3,"77.1%","18.4%","15%",-43,27,2.3,2,"6.5%",169,"9.6%","10.1%",1.3,0.23
"Caitlyn","ADC",7,"38.9%","44.4%","83.3%","43%","14%",17,20,43,3,"90.9%","25.6%","43%",-64,-31,-2.3,9.6,"27.9%",565,"32.1%","24.8%",0.41,0.28
"Camille","Top",5,"27.8%","61.1%","88.9%","60%","40%",20,10,30,5,"69.4%","20.0%","20%",272,195,8.4,9.3,"27.1%",495,"25.8%","25.1%",0.54,0.14
"Cassiopeia","Middle",2,"11.1%","61.1%","72.2%","100%","50%",15,3,7,7.3,"81.5%","16.7%","50%",182,24,8.5,9.1,"24.3%",516,"28.3%","25.4%",0.55,0.34
"Corki","Middle",3,"16.7%","0.0%","16.7%","33%","33%",13,3,10,7.7,"76.7%","8.1%","33%",14,-135,-1,9.6,"28.9%",685,"36.6%","25.9%",0.51,0.33
"Ezreal","ADC",7,"38.9%","44.4%","83.3%","86%","43%",31,7,50,11.6,"81.0%","12.3%","43%",369,132,2.4,9,"26.3%",855,"38.0%","25.7%",0.55,0.24
"Fiora","Top",1,"5.6%","5.6%","11.1%","0%","100%",0,2,1,0.5,"50.0%","16.7%","0%",-155,235,-7,9.3,"29.9%",214,"24.1%","25.2%",0.54,0.12
"Galio","Middle",1,"5.6%","11.1%","16.7%","0%","100%",0,4,2,0.5,"100.0%","33.3%","0%",-321,137,-17,8.5,"26.6%",276,"31.1%","23.5%",0.21,0.12
"Gangplank","Top",6,"33.3%","11.1%","44.4%","50%","67%",14,20,43,2.9,"70.4%","25.0%","33%",-131,-244,-4,8.6,"29.6%",529,"27.5%","27.2%",0.61,0.14
"Gnar","Top",3,"16.7%","16.7%","33.3%","67%","67%",8,3,5,4.3,"34.2%","13.6%","0%",205,430,7.7,9.4,"27.0%",343,"17.7%","23.0%",0.49,0.12
"Jarvan IV","Jungle",3,"16.7%","11.1%","33.3%","100%","100%",5,10,23,2.8,"82.4%","34.5%","67%",-349,-487,-14.7,4.8,"13.3%",185,"9.1%","16.6%",1.23,0.5
"Jarvan IV","Top",1,"5.6%","11.1%","33.3%","100%","0%",2,7,18,2.9,"90.9%","31.8%","0%",-403,-246,-2,8.5,"30.0%",341,"12.4%","24.3%",0.53,0.05
"Jax","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",4,"22.2%","27.8%","50.0%","100%","50%",10,11,29,3.5,"63.9%","20.4%","25%",23,132,5.8,8.5,"24.9%",597,"25.1%","22.4%",0.52,0.32
"Jhin","ADC",1,"5.6%","33.3%","38.9%","0%","100%",1,1,5,6,"66.7%","9.1%","0%",-87,26,-7,7.8,"22.6%",417,"24.0%","21.5%",0.57,0.17
