"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EVOS Esports",10,2,8,32.8,81,158,0.51,0.73,-1.74,"-13.0%",34.1,-14.1,-1298,"40%","20%","20%",,"25%","20%","30%","100%","30%","31%","48.5%","50.7%",4.24,1.36,1.19
"Flash Wolves",15,8,7,32.6,156,126,1.24,0.58,0.08,"-0.7%",52.1,1.2,160,"73%","60%","67%",,"77%","67%","50%","50%","60%","45%","49.6%","48.0%",4.07,1.43,1.47
"Fnatic",14,5,9,37.7,157,201,0.78,0.68,0.22,"0.8%",56.6,-20.8,633,"50%","50%","57%",,"85%","29%","38%","20%","36%","33%","50.5%","49.9%",3.8,1.04,1.41
"Kingzone DragonX",18,10,8,33.5,195,188,1.04,0.63,0.46,"4.5%",51.5,4,62,"33%","56%","44%",,"25%","50%","54%","50%","56%","69%","50.0%","50.8%",3.87,1.25,1.7
"Royal Never Give Up",18,14,4,34.7,245,137,1.79,0.61,0.47,"5.5%",56.5,21.3,617,"50%","56%","56%",,"33%","72%","63%","67%","72%","73%","50.2%","53.3%",3.83,1.18,1.62
"Team Liquid",11,4,7,35,105,132,0.8,0.62,-0.44,"-4.7%",40.1,-3.8,-956,"55%","45%","45%",,"44%","45%","55%","100%","27%","37%","50.9%","45.5%",3.95,1.27,1.32
