"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",6,"14.0%","23.3%","37.2%","33%","33%",3,29,35,1.3,"59.4%","31.5%","0%",-114,-173,1,1.5,"4.3%",124,"7.2%","8.2%",1.47,0.24
"Ashe","ADC",3,"7.0%","0.0%","7.0%","33%","100%",4,5,11,3,"78.9%","16.7%","33%",-581,-42,-2.3,10.4,"32.0%",518,"30.8%","26.5%",0.41,0.37
"Aurelion Sol","Middle",2,"4.7%","4.7%","9.3%","0%","100%",9,6,11,3.3,"87.0%","17.6%","50%",139,32,-3.5,8.6,"23.9%",608,"30.3%","23.5%",0.54,0.27
"Azir","Middle",2,"4.7%","2.3%","7.0%","0%","50%",0,3,2,0.7,"28.6%","10.0%","0%",-186,-198,-9.5,9.6,"27.5%",387,"28.1%","22.5%",0.69,0.18
"Braum","Support",15,"34.9%","16.3%","51.2%","47%","53%",9,38,109,3.1,"66.3%","24.2%","47%",-9,0,5.7,1.9,"5.4%",130,"7.7%","10.4%",1.49,0.24
"Caitlyn","ADC",6,"14.0%","2.3%","16.3%","67%","100%",28,12,29,4.8,"66.3%","16.0%","50%",171,24,4.3,11.7,"35.5%",708,"38.0%","29.6%",0.39,0.53
"Camille","Jungle",1,"2.3%","46.5%","69.8%","100%","100%",4,2,15,9.5,"67.9%","28.6%","0%",-306,133,4,5.7,"16.2%",399,"15.3%","17.6%",0.43,0.61
"Camille","Top",9,"20.9%","46.5%","69.8%","44%","33%",12,26,20,1.2,"43.2%","24.3%","11%",377,401,13,9.6,"28.3%",349,"19.4%","24.1%",0.61,0.16
"Cassiopeia","Middle",3,"7.0%","7.0%","14.0%","67%","33%",16,8,12,3.5,"68.3%","22.9%","0%",-181,-179,-9.3,9.1,"25.1%",466,"24.0%","23.6%",0.78,0.16
"Cho'Gath","Top",11,"25.6%","11.6%","37.2%","82%","64%",19,20,38,2.9,"46.7%","22.5%","9%",112,21,7.5,9,"24.3%",306,"18.1%","21.1%",0.6,0.13
"Corki","Middle",1,"2.3%","0.0%","2.3%","100%","100%",6,1,8,14,"87.5%","12.5%","0%",995,272,7,10.6,"28.5%",781,"36.4%","25.0%",0.48,0.26
"Ezreal","ADC",22,"51.2%","44.2%","95.3%","68%","5%",97,36,103,5.6,"71.9%","18.1%","14%",348,147,4.1,10.8,"32.1%",792,"39.6%","28.4%",0.57,0.37
"Fiora","Top",1,"2.3%","2.3%","4.7%","0%","100%",0,2,2,1,"50.0%","14.3%","0%",-280,448,4,7.7,"20.6%",409,"29.1%","20.8%",0.63,0.06
"Galio","Middle",6,"14.0%","0.0%","14.0%","50%","83%",14,9,38,5.8,"75.4%","16.4%","0%",-98,-77,-7.8,8.2,"22.1%",327,"18.7%","20.5%",0.62,0.09
"Gangplank","Top",10,"23.3%","39.5%","62.8%","60%","70%",22,27,58,3,"64.0%","26.5%","0%",318,25,-2.7,8.8,"29.7%",524,"27.7%","26.5%",0.63,0.14
"Gnar","Top",2,"4.7%","4.7%","9.3%","50%","0%",4,6,5,1.5,"47.4%","28.6%","0%",-345,-430,-15,8.7,"25.4%",337,"22.8%","21.4%",0.69,0.28
"Gragas","Jungle",2,"4.7%","0.0%","4.7%","50%","100%",4,7,15,2.7,"76.0%","25.9%","50%",-291,-491,-18.5,4.8,"12.8%",228,"11.4%","15.5%",1.47,0.19
"Graves","Jungle",11,"25.6%","48.8%","74.4%","55%","64%",26,18,40,3.7,"67.3%","18.8%","45%",133,300,10.5,6.4,"17.3%",284,"16.8%","19.9%",0.41,0.46
"Illaoi","Top",2,"4.7%","0.0%","4.7%","50%","100%",4,5,8,2.4,"44.4%","22.7%","0%",312,541,16,9.6,"30.2%",411,"23.5%","24.6%",0.91,0.19
"Irelia","Middle",4,"9.3%","16.3%","25.6%","75%","25%",22,10,18,4,"72.7%","23.3%","0%",140,84,-3.5,8.9,"23.6%",402,"22.4%","23.5%",0.61,0.22
"Janna","Support",8,"18.6%","7.0%","25.6%","75%","88%",6,10,61,6.7,"76.1%","14.9%","13%",-123,-123,-8.6,0.6,"2.3%",154,"8.1%","10.9%",1.38,0.34
"Jax","Top",1,"2.3%","2.3%","4.7%","100%","100%",2,1,2,4,"28.6%","16.7%","0%",-163,-32,-5,10.3,"29.2%",312,"17.5%","23.4%",0.74,0.46
"Jayce","Top",1,"2.3%","4.7%","7.0%","100%","0%",5,3,4,3,"60.0%","25.0%","0%",982,903,21,9.5,"32.6%",603,"27.6%","25.1%",1.52,0.41
"Jhin","ADC",7,"16.3%","4.7%","20.9%","14%","86%",16,16,29,2.8,"78.9%","14.4%","14%",-303,-198,-5.3,10.4,"31.9%",584,"31.2%","26.4%",0.4,0.37
"Kai'Sa","ADC",12,"27.9%","60.5%","88.4%","58%","25%",77,21,46,5.9,"79.9%","18.4%","25%",80,47,2.8,11.1,"34.5%",613,"36.5%","29.9%",0.43,0.52
"Kalista","ADC",1,"2.3%","0.0%","2.3%","100%","100%",4,1,5,9,"60.0%","25.0%","100%",386,259,16,9.9,"27.7%",428,"20.7%","24.4%",0.45,0.34
"Karma","Middle",8,"18.6%","48.8%","76.7%","50%","63%",7,9,51,6.4,"71.6%","11.3%","13%",-175,74,-0.5,8.3,"20.8%",390,"20.1%","20.1%",0.58,0.18
"Karma","Support",4,"9.3%","48.8%","76.7%","75%","0%",0,6,40,6.7,"81.6%","24.0%","25%",133,247,-5.8,0.5,"2.0%",157,"9.0%","10.2%",1.36,0.3
"Kennen","Top",1,"2.3%","0.0%","2.3%","0%","100%",4,2,1,2.5,"55.6%","7.7%","0%",544,679,11,9.2,"29.1%",289,"21.7%","27.2%",0.61,0.04
"Kha'Zix","Jungle",3,"7.0%","37.2%","44.2%","33%","67%",3,10,12,1.5,"65.2%","22.2%","33%",-245,88,-3,5.1,"14.2%",305,"17.6%","17.1%",0.98,0.34
"Kindred","Jungle",1,"2.3%","2.3%","4.7%","100%","100%",1,0,6,7,"46.7%","0.0%","100%",204,-81,5,6.1,"17.5%",335,"16.2%","17.8%",0.37,0.71
"Kog'Maw","ADC",10,"23.3%","11.6%","34.9%","40%","60%",40,19,24,3.4,"72.7%","16.7%","20%",-140,-207,-4.2,10.7,"33.8%",617,"40.4%","29.4%",0.39,0.5
"Lee Sin","Jungle",3,"7.0%","2.3%","9.3%","33%","100%",3,9,24,3,"67.5%","24.3%","33%",-288,-184,-6.7,4.6,"12.9%",175,"12.7%","16.1%",1.34,0.26
"Lulu","Support",2,"4.7%","2.3%","7.0%","0%","100%",1,6,6,1.2,"77.8%","21.4%","0%",-3,73,-14.5,0.5,"1.8%",50,"3.7%","11.7%",1.75,0.27
"Malzahar","Middle",7,"16.3%","9.3%","25.6%","71%","29%",10,12,48,4.8,"68.2%","19.7%","29%",-169,-47,-3.3,8.9,"24.3%",330,"21.4%","22.0%",0.44,0.22
"Maokai","Top",1,"2.3%","0.0%","2.3%","0%","100%",0,1,2,2,"33.3%","33.3%","0%",-28,59,-3,8.5,"23.9%",377,"28.3%","21.4%",0.35,0.19
"Morgana","Support",10,"23.3%","51.2%","74.4%","50%","80%",5,13,72,5.9,"67.5%","18.3%","20%",47,-12,-7.1,0.5,"2.0%",209,"11.9%","10.3%",1.44,0.35
"Nocturne","Jungle",1,"2.3%","0.0%","2.3%","0%","100%",2,3,3,1.7,"71.4%","20.0%","0%",-265,350,3,5.8,"13.9%",177,"13.0%","18.6%",0.24,0.51
"Olaf","Jungle",14,"32.6%","16.3%","48.8%","50%","64%",23,31,73,3.1,"73.3%","20.1%","21%",-158,-260,-4.6,5.3,"13.4%",213,"12.5%","16.5%",1.38,0.46
"Ornn","Top",24,"55.8%","37.2%","93.0%","46%","29%",31,33,133,5,"63.1%","12.5%","29%",-177,-103,-0.3,7.6,"21.4%",319,"19.3%","19.7%",0.52,0.11
"Rakan","Support",13,"30.2%","62.8%","93.0%","38%","8%",13,40,89,2.6,"81.0%","24.7%","15%",52,-62,-7.2,0.6,"2.0%",147,"8.4%","10.7%",1.43,0.43
"Ryze","Middle",11,"25.6%","27.9%","53.5%","36%","18%",22,33,38,1.8,"63.8%","22.8%","18%",-155,-148,0.1,9.3,"26.2%",354,"21.7%","23.6%",0.62,0.18
"Sejuani","Jungle",2,"4.7%","7.0%","14.0%","50%","100%",0,3,10,3.3,"71.4%","14.3%","0%",-525,-994,-9.5,5.5,"14.7%",71,"5.2%","16.1%",0.43,0.64
"Sejuani","Support",1,"2.3%","7.0%","14.0%","0%","100%",1,6,4,0.8,"71.4%","21.4%","0%",343,158,6,1.8,"4.8%",185,"12.1%","10.0%",1.3,0.32
"Shen","Top",5,"11.6%","20.9%","32.6%","80%","80%",10,7,28,5.4,"55.1%","22.6%","20%",-119,-43,-10.6,8.9,"25.0%",220,"15.2%","20.5%",0.52,0.12
"Singed","Top",1,"2.3%","11.6%","14.0%","0%","100%",3,7,8,1.6,"68.8%","33.3%","0%",-155,-30,3,10.4,"29.4%",479,"18.0%","24.4%",0.46,0.11
"Sion","Middle",3,"7.0%","27.9%","58.1%","33%","33%",4,8,15,2.4,"76.0%","22.9%","33%",-603,-114,-2.3,8,"21.1%",280,"17.2%","19.6%",0.59,0.1
"Sion","Top",10,"23.3%","27.9%","58.1%","30%","40%",9,31,43,1.7,"51.0%","23.0%","0%",-293,-288,-12.3,7.6,"20.8%",319,"20.5%","18.6%",0.55,0.16
"Sivir","ADC",4,"9.3%","2.3%","11.6%","50%","100%",10,1,14,24,"68.6%","2.1%","25%",-362,-260,-10,11.5,"35.4%",468,"26.5%","27.7%",0.36,0.57
"Skarner","Jungle",16,"37.2%","20.9%","58.1%","56%","25%",20,33,127,4.5,"68.1%","19.0%","56%",218,368,4.8,5.1,"12.6%",147,"7.7%","16.6%",1.38,0.32
"Soraka","Support",3,"7.0%","9.3%","16.3%","67%","100%",2,6,21,3.8,"82.1%","25.0%","33%",-120,-27,-3.3,0.4,"1.6%",145,"8.6%","8.6%",0.99,0.3
"Swain","Middle",2,"4.7%","23.3%","30.2%","0%","100%",2,5,10,2.4,"85.7%","18.5%","50%",317,228,9,8.1,"21.9%",320,"23.2%","20.6%",0.37,0.25
"Swain","Top",1,"2.3%","23.3%","30.2%","0%","0%",0,5,2,0.4,"40.0%","29.4%","0%",296,887,24,8.9,"27.2%",673,"31.8%","23.2%",0.46,0.15
"Tahm Kench","Support",20,"46.5%","20.9%","67.4%","60%","45%",13,61,132,2.4,"62.0%","25.8%","50%",35,94,9.4,1.8,"5.6%",116,"6.8%","10.2%",1.44,0.2
"Taliyah","Middle",14,"32.6%","30.2%","62.8%","64%","50%",57,35,83,4,"73.7%","21.2%","36%",162,-45,0.8,8.7,"24.1%",605,"31.6%","22.7%",0.63,0.2
