"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",7,4,3,36.8,107,93,1.15,0.77,,,,,,,,,,,,"68%",,,"75%",,,,,
"Invictus Gaming",2,0,2,30.3,9,21,0.43,0.5,,,,,,,,,,,,"17%",,,"50%",,,,,
"LGD Gaming",3,1,2,30,31,46,0.67,0.85,,,,,,,,,,,,"43%",,,"25%",,,,,
"Qiao Gu Reapers",3,0,3,34.1,28,53,0.53,0.79,,,,,,,,,,,,"42%",,,"33%",,,,,
"Royal Never Give Up",9,6,3,37.4,148,101,1.47,0.74,,,,,,,,,,,,"66%",,,"56%",,,,,
"Snake Esports",5,2,3,33.1,33,52,0.63,0.51,,,,,,,,,,,,"35%",,,"20%",,,,,
"Team WE",12,8,4,34.7,137,125,1.1,0.63,,,,,,,,,,,,"47%",,,"55%",,,,,
"Vici Gaming",7,3,4,31.5,75,78,0.96,0.69,,,,,,,,,,,,"38%",,,"50%",,,,,
