"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Xayah","ADC",31,"27.7%","23.2%","50.9%","48%","50%",113,69,121,3.4,"71.8%","18.1%","39%",-155,-54,-2.1,10,"32.1%",525,"30.1%","26.8%",0.32,0.24
"Xerath","Middle",5,"4.5%","3.6%","8.0%","80%","100%",19,7,31,7.1,"78.1%","17.1%","20%",176,115,0.4,9.5,"26.6%",781,"37.2%","23.8%",0.5,0.11
"Xin Zhao","Jungle",2,"1.8%","0.0%","1.8%","100%","100%",4,2,15,9.5,"73.1%","15.4%","50%",148,-103,6.5,5.7,"13.6%",256,"11.5%","16.9%",1.54,0.4
"Yasuo","Top",1,"0.9%","0.0%","0.9%","100%","100%",7,3,6,4.3,"61.9%","27.3%","0%",-144,231,10,8.4,"25.8%",413,"19.4%","24.8%",0.36,0.16
"Zac","Jungle",19,"17.0%","19.6%","36.6%","21%","72%",25,53,102,2.4,"73.8%","21.5%","32%",-58,-141,-5.7,4.7,"11.8%",159,"9.3%","16.1%",0.97,0.44
"Ziggs","ADC",1,"0.9%","0.0%","3.6%","100%","100%",1,1,11,12,"60.0%","11.1%","0%",-359,-332,-21,8.9,"25.1%",627,"25.0%","20.5%",0.28,0.19
"Ziggs","Middle",2,"1.8%","0.0%","3.6%","100%","100%",8,2,14,11,"81.5%","12.5%","0%",176,232,10.5,10.1,"27.2%",859,"36.5%","24.9%",0.55,0.13
"Ziggs","Support",1,"0.9%","0.0%","3.6%","0%","100%",0,6,2,0.3,"50.0%","46.2%","0%",-1107,-761,4,0.8,"4.7%",181,"20.9%","8.9%",1.08,0.29
"Zilean","Support",2,"1.8%","0.0%","1.8%","0%","100%",0,6,10,1.7,"66.7%","19.4%","0%",-255,-49,-10,0.8,"4.0%",159,"11.2%","7.1%",1.04,0.24
"Zoe","Middle",12,"10.7%","52.7%","63.4%","67%","27%",39,19,59,5.2,"69.5%","16.5%","8%",35,156,5.1,9,"24.3%",751,"37.2%","23.1%",0.49,0.14
