"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Rogu","Team AURORA","Support",12,"33%","58%",4,28,65,2.5,"75.8%","4.4%","18.7%","8%",-291,-287,-3.7,1.8,"5.6%",123,"7.7%",,117,"10.6%",,1.07,0.36,0.24
"Ruvelius","Dark Passage","ADC",28,"43%","43%",93,57,127,3.9,"76.7%","32.4%","21.2%","39%",52,-23,-4.5,9.5,"29.8%",500,"28.4%",,283,"25.2%",,0.25,0.07,0.21
"SnowFlower","SuperMassive Esports","Support",27,"93%","59%",24,56,287,5.6,"73.7%","5.7%","24.9%","19%",172,153,0.4,1.6,"4.8%",207,"9.4%",,162,"11.9%",,1.22,0.41,0.4
"SnowFlower","SuperMassive Esports","Top",1,"100%","100%",6,2,4,5,"55.6%","33.3%","11.8%","100%",889,856,32,8.1,"24.6%",552,"28.9%",,297,"26.3%",,0.5,0.09,0.19
"Stomaged","SuperMassive Esports","ADC",1,"100%","100%",1,4,5,1.5,"33.3%","5.6%","23.5%","0%",-571,-109,-12,6.1,"18.6%",203,"10.7%",,189,"16.7%",,0.41,0.09,0.06
"Stomaged","SuperMassive Esports","Jungle",27,"93%","56%",42,58,259,5.2,"71.3%","10.0%","25.8%","41%",83,-149,2,5.1,"13.0%",216,"9.8%",,218,"16.2%",,1.49,0.38,0.37
"styllEE","Galakticos","Jungle",3,"0%","33%",2,11,8,0.9,"100.0%","20.0%","25.0%","0%",-438,-393,-3.3,4.4,"11.8%",220,"13.7%",,133,"15.4%",,1.21,0.38,0.23
"Swing","Galakticos","Middle",6,"0%","50%",9,26,19,1.1,"73.7%","23.7%","23.6%","17%",-286,-132,-5.7,8.4,"25.4%",371,"28.0%",,210,"24.1%",,0.56,0.13,0.29
"Thaldrin","Fenerbahçe Esports","Top",28,"54%","50%",60,53,148,3.9,"59.8%","17.2%","19.9%","14%",152,40,4,8.4,"23.5%",394,"20.4%",,263,"21.9%",,0.58,0.13,0.18
"Trix","HWA Gaming","Jungle",28,"39%","48%",30,74,152,2.5,"67.2%","11.1%","20.7%","36%",-174,-204,-7.6,4.3,"11.2%",146,"8.2%",,157,"15.0%",,1.39,0.39,0.43
"Try","Dark Passage","Middle",9,"33%","22%",22,19,50,3.8,"70.6%","21.6%","17.3%","22%",-154,-105,-2.7,9.1,"26.4%",534,"29.9%",,258,"24.2%",,0.54,0.18,0.3
"Vexu","Galakticos","Support",22,"9%","50%",8,69,95,1.5,"68.2%","5.3%","20.8%","18%",-157,-67,1,1.7,"5.8%",124,"8.5%",,106,"10.3%",,1.12,0.42,0.31
"Viking","Galakticos","Jungle",9,"22%","44%",7,27,42,1.8,"72.1%","10.3%","23.5%","11%",-226,-96,-5.8,4.6,"12.0%",160,"9.2%",,172,"15.8%",,1.46,0.25,0.39
"Wisdom","Team AURORA","Jungle",28,"39%","68%",32,82,162,2.4,"70.8%","11.7%","22.8%","50%",5,18,4.9,5.3,"13.5%",184,"10.1%",,184,"17.0%",,1.13,0.27,0.46
"Xico","HWA Gaming","Middle",6,"50%","33%",15,19,23,2,"57.6%","22.7%","24.7%","33%",68,-157,-1.2,10,"30.5%",496,"27.3%",,289,"25.6%",,0.66,0.28,0.21
"Xico","YouthCrew Esports","Middle",13,"54%","42%",33,38,60,2.4,"67.9%","24.1%","22.6%","15%",-36,9,-0.5,9.4,"27.6%",640,"32.9%",,274,"24.5%",,0.54,0.23,0.33
"Zeitnot","SuperMassive Esports","ADC",27,"93%","44%",152,34,164,9.3,"74.9%","36.0%","15.1%","19%",480,140,9.4,10.6,"33.0%",731,"32.9%",,372,"27.6%",,0.4,0.12,0.35
"Zeitnot","SuperMassive Esports","Middle",1,"100%","0%",3,5,8,2.2,"61.1%","16.7%","29.4%","0%",-527,-573,-18,9.3,"35.7%",449,"23.5%",,278,"24.6%",,0.41,0.16,0.28
"Zergsting","Fenerbahçe Esports","Support",28,"54%","50%",21,75,212,3.1,"67.0%","6.0%","28.2%","29%",24,-4,1.1,1.6,"4.7%",141,"8.0%",,128,"10.4%",,1.41,0.44,0.36
"Zzus","YouthCrew Esports","Support",28,"46%","48%",18,91,193,2.3,"78.4%","6.7%","27.7%","21%",-13,37,-3.2,1.5,"4.6%",154,"8.4%",,121,"10.6%",,1.25,0.41,0.4
