"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"8.3%","33.3%","41.7%","50%","50%",9,5,13,4.4,"57.9%","20.0%","50%",-5,-533,-7,8.7,"28.8%",492,"24.1%","24.0%",0.51,0.18
"Ashe","ADC",14,"58.3%","20.8%","79.2%","64%","7%",46,29,83,4.4,"61.7%","18.6%","29%",1,31,-0.1,8.8,"28.2%",399,"20.4%","23.7%",0.42,0.29
"Aurelion Sol","Middle",1,"4.2%","16.7%","20.8%","100%","100%",12,1,8,20,"90.9%","100.0%","100%",562,240,-6,9.3,"33.7%",832,"45.1%","29.3%",0.67,0.2
"Azir","Middle",1,"4.2%","0.0%","4.2%","0%","100%",1,2,5,3,"54.5%","16.7%","0%",-222,18,-7,8.9,"30.4%",624,"33.1%","24.0%",0.34,0.26
"Braum","Support",1,"4.2%","0.0%","4.2%","0%","100%",1,5,3,0.8,"36.4%","29.4%","0%",-56,-95,15,1.4,"4.1%",128,"6.5%","10.9%",1.23,0.42
"Caitlyn","ADC",5,"20.8%","16.7%","37.5%","60%","60%",18,8,17,4.4,"52.2%","13.8%","40%",176,216,-0.6,8.8,"30.3%",559,"28.3%","24.9%",0.4,0.36
"Camille","Top",4,"16.7%","58.3%","75.0%","50%","25%",18,14,19,2.6,"62.7%","26.4%","25%",-16,-72,-2.3,8.3,"29.1%",523,"25.8%","24.1%",0.56,0.18
"Cassiopeia","Middle",2,"8.3%","0.0%","8.3%","0%","0%",2,6,4,1,"54.5%","17.6%","0%",-32,1,5,9.5,"31.0%",370,"21.4%","25.2%",0.43,0.08
"Dr. Mundo","Top",1,"4.2%","4.2%","8.3%","100%","100%",7,0,8,15,"65.2%","0.0%","0%",133,510,9,7.7,"23.0%",517,"29.6%","21.5%",0.63,0.18
"Ekko","Middle",5,"20.8%","0.0%","20.8%","20%","80%",18,17,10,1.6,"50.9%","19.3%","40%",-310,-184,-7.4,8.6,"29.7%",469,"26.8%","24.8%",0.44,0.14
