"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Archie","GAM Esports","Support",15,"67%","47%",16,45,152,3.7,"62.0%","5.9%","23.6%","33%",-47,-37,-2.1,0.9,"3.6%",170,"8.8%",,144,"11.6%",,1.27,0.27,0.46
"Betty","Flash Wolves","ADC",3,"100%","67%",10,1,26,36,"55.4%","15.4%","9.1%","67%",274,258,0,9.2,"28.3%",319,"15.5%",,307,"21.7%",,0.39,0.12,0.25
"Biofrost","TSM","Support",5,"60%","40%",3,13,41,3.4,"57.9%","3.9%","16.0%","20%",175,146,2.2,0.9,"3.3%",244,"11.9%",,137,"11.5%",,1.34,0.25,0.45
"Bjergsen","TSM","Middle",5,"60%","20%",21,16,23,2.8,"57.9%","27.6%","19.8%","0%",223,147,12.2,8.4,"26.8%",501,"24.8%",,275,"23.2%",,0.36,0.1,0.14
"Blasting","Virtus.pro","ADC",6,"33%","50%",28,10,38,6.6,"71.7%","30.4%","10.2%","33%",138,-72,-3.2,8.1,"26.0%",647,"27.7%",,272,"23.7%",,0.35,0.09,0.36
"brTT","RED Canids","ADC",6,"67%","50%",28,13,30,4.5,"59.2%","28.6%","13.4%","17%",316,139,6.8,9.4,"31.8%",574,"28.5%",,316,"25.9%",,0.36,0.09,0.12
"Chippys","Dire Wolves","Top",6,"33%","17%",22,16,17,2.4,"59.1%","33.3%","20.5%","17%",140,271,6.7,7.8,"24.6%",433,"22.7%",,241,"22.1%",,0.49,0.07,0.08
"Dara","Rampage","Support",6,"17%","50%",6,11,42,4.4,"64.9%","8.1%","14.1%","0%",58,137,-1.2,0.7,"3.2%",223,"10.6%",,124,"11.6%",,1.38,0.38,0.27
"Destiny","Dire Wolves","Support",6,"33%","50%",4,12,43,3.9,"71.2%","6.1%","15.4%","17%",-242,-292,-0.3,0.6,"2.5%",198,"11.0%",,121,"11.3%",,1.24,0.28,0.37
"Dioud","RED Canids","Support",6,"67%","50%",2,19,56,3.1,"59.2%","2.0%","19.6%","17%",171,-13,0.2,0.8,"2.9%",139,"7.4%",,144,"11.6%",,1.44,0.47,0.47
"Doxy","Virtus.pro","Top",6,"33%","67%",18,17,39,3.4,"62.0%","19.6%","17.3%","17%",28,121,4,8,"25.1%",471,"21.1%",,248,"21.3%",,0.59,0.16,0.13
"Dumbledoge","SuperMassive Esports","Support",13,"46%","54%",8,46,83,2,"66.4%","5.8%","21.4%","8%",-92,-122,1.1,0.9,"4.3%",245,"13.3%",,130,"12.2%",,1.16,0.24,0.44
"Emp","Isurus","Middle",6,"17%","50%",19,24,24,1.8,"65.2%","28.8%","20.2%","17%",-292,14,-1,8.1,"27.6%",420,"21.9%",,237,"23.5%",,0.59,0.2,0.15
"Evi","Rampage","Top",6,"17%","67%",12,20,28,2,"54.1%","16.2%","25.6%","33%",-65,-171,-9.7,6.2,"20.2%",364,"20.3%",,197,"19.2%",,0.52,0.1,0.09
"fabFabulous","SuperMassive Esports","Top",13,"46%","69%",30,44,60,2,"65.7%","21.9%","20.5%","15%",31,-56,1.5,7.1,"22.6%",472,"24.2%",,218,"20.8%",,0.49,0.11,0.14
"Genthix","Lyon Gaming","Support",6,"67%","33%",1,11,55,5.1,"71.8%","1.3%","19.3%","50%",-41,139,0.3,0.9,"3.3%",143,"9.6%",,135,"11.7%",,1.39,0.32,0.42
"Hauntzer","TSM","Top",5,"60%","60%",23,19,25,2.5,"63.2%","30.3%","23.5%","0%",347,290,8.4,8.8,"32.1%",624,"31.4%",,290,"24.4%",,0.52,0.07,0.13
"Jirall","Lyon Gaming","Top",6,"67%","50%",7,8,33,5,"51.3%","9.0%","14.0%","0%",-464,-331,-13.5,7.9,"26.4%",215,"14.0%",,235,"20.8%",,0.56,0.14,0.19
"k1ng","Dire Wolves","ADC",6,"33%","67%",14,13,26,3.1,"60.6%","21.2%","16.7%","0%",-324,-122,-10.2,8.6,"28.1%",472,"26.0%",,247,"23.5%",,0.35,0.12,0.28
"Karsa","Flash Wolves","Jungle",3,"100%","100%",15,4,32,11.8,"72.3%","23.1%","36.4%","67%",320,261,15.7,5.3,"14.9%",334,"16.3%",,273,"19.3%",,1.02,0.32,0.38
"Kindless","Isurus","ADC",6,"17%","33%",15,27,25,1.5,"60.6%","22.7%","22.7%","0%",-66,-243,1.5,8,"26.9%",434,"22.9%",,232,"22.7%",,0.38,0.08,0.19
"Kreox","Virtus.pro","Jungle",6,"33%","33%",17,20,34,2.6,"55.4%","18.5%","20.4%","33%",-189,-140,0.7,5.4,"17.8%",358,"15.5%",,226,"19.4%",,0.89,0.27,0.43
"Levi","GAM Esports","Jungle",15,"67%","47%",73,28,117,6.8,"70.1%","26.9%","14.7%","40%",426,353,2.1,5.4,"20.2%",418,"20.5%",,259,"21.2%",,0.92,0.26,0.31
"Maple","Flash Wolves","Middle",3,"100%","33%",24,1,17,41,"63.1%","36.9%","9.1%","67%",55,-427,-4.7,9.3,"27.4%",553,"26.7%",,355,"25.1%",,0.7,0.26,0.26
"MMD","Flash Wolves","Top",3,"100%","33%",9,4,25,8.5,"52.3%","13.8%","36.4%","0%",185,413,7.7,8.7,"27.1%",481,"24.3%",,300,"21.3%",,0.53,0.12,0.12
"Nappon","RED Canids","Jungle",6,"67%","50%",17,12,54,5.9,"72.4%","17.3%","12.4%","33%",-20,-297,-15.8,3.1,"9.4%",264,"12.6%",,209,"17.3%",,0.92,0.35,0.29
"Naru","SuperMassive Esports","Middle",13,"46%","54%",35,37,43,2.1,"56.9%","25.5%","17.2%","23%",-179,120,1.1,8.4,"30.1%",441,"22.3%",,248,"24.1%",,0.55,0.21,0.21
