"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",9,"25.0%","16.7%","41.7%","67%","56%",20,22,67,4,"66.4%","20.4%","11%",-105,117,-0.8,8.7,"28.4%",487,"25.5%","22.9%",0.5,0.19
"Ashe","ADC",19,"52.8%","38.9%","91.7%","37%","11%",40,57,96,2.4,"54.6%","19.2%","26%",-280,-155,-4.6,8.2,"27.2%",364,"20.9%","22.5%",0.4,0.2
"Azir","Middle",1,"2.8%","0.0%","2.8%","0%","100%",0,3,5,1.7,"71.4%","21.4%","100%",-264,-359,-3,8,"26.8%",519,"33.5%","21.5%",0.3,0.04
"Blitzcrank","Support",1,"2.8%","0.0%","2.8%","0%","100%",3,5,7,2,"62.5%","31.3%","100%",498,-12,4,1.4,"4.9%",174,"10.0%","13.2%",1.55,0.38
"Brand","Support",3,"8.3%","5.6%","13.9%","0%","100%",7,10,11,1.8,"60.0%","16.7%","0%",-135,-62,-4,0.8,"3.4%",444,"21.1%","13.0%",1.62,0.35
"Braum","Support",4,"11.1%","0.0%","11.1%","75%","75%",5,9,46,5.7,"68.0%","15.5%","50%",155,194,12,1.4,"4.9%",170,"7.9%","13.2%",1.42,0.36
"Caitlyn","ADC",11,"30.6%","38.9%","69.4%","45%","36%",33,33,39,2.2,"59.0%","22.8%","0%",-29,19,7.3,9.2,"32.4%",544,"27.6%","25.8%",0.34,0.22
"Camille","Support",1,"2.8%","2.8%","8.3%","0%","100%",2,7,11,1.9,"48.1%","17.5%","0%",-33,23,11,1.6,"6.3%",265,"8.7%","13.6%",1.07,0.41
"Camille","Top",1,"2.8%","2.8%","8.3%","100%","100%",3,3,1,1.3,"25.0%","18.8%","0%",-320,-94,-10,8.5,"30.5%",252,"15.7%","23.2%",0.58,0.24
"Cassiopeia","Middle",2,"5.6%","22.2%","27.8%","50%","50%",8,11,12,1.8,"45.5%","26.8%","0%",367,208,1.5,7.8,"25.8%",599,"23.5%","21.6%",0.51,0.19
"Darius","Top",1,"2.8%","2.8%","5.6%","100%","100%",9,5,7,3.2,"66.7%","22.7%","100%",227,385,31,7.7,"28.1%",453,"18.3%","24.0%",0.51,0.23
"Ekko","Middle",5,"13.9%","27.8%","41.7%","60%","100%",17,14,12,2.1,"55.8%","20.3%","60%",44,117,1.4,8.3,"28.8%",343,"20.5%","23.9%",0.58,0.19
"Elise","Jungle",9,"25.0%","22.2%","47.2%","56%","89%",42,34,56,2.9,"70.5%","23.9%","22%",55,-440,-8.6,4,"14.3%",370,"17.6%","19.1%",0.83,0.36
"Ezreal","ADC",10,"27.8%","5.6%","33.3%","50%","70%",42,15,57,6.6,"68.3%","10.9%","20%",215,59,-0.9,8.2,"26.9%",617,"29.5%","23.6%",0.37,0.26
"Fiora","Top",1,"2.8%","0.0%","2.8%","0%","100%",5,10,3,0.8,"72.7%","34.5%","100%",-416,-1058,-12,8.5,"31.1%",728,"39.8%","24.9%",0.55,0.15
"Fizz","Middle",4,"11.1%","41.7%","69.4%","25%","50%",19,9,14,3.7,"68.8%","14.8%","50%",161,133,-6.3,8.1,"27.6%",374,"21.1%","24.3%",0.52,0.29
"Fizz","Top",6,"16.7%","41.7%","69.4%","50%","17%",39,23,17,2.4,"54.9%","25.0%","33%",134,311,4,7.6,"25.9%",508,"25.5%","23.4%",0.47,0.13
"Galio","Top",7,"19.4%","50.0%","69.4%","86%","29%",10,14,49,4.2,"59.0%","20.3%","29%",-281,-43,-2,7.2,"22.5%",381,"19.7%","19.5%",0.52,0.15
"Gragas","Jungle",1,"2.8%","13.9%","63.9%","0%","100%",1,2,4,2.5,"83.3%","13.3%","0%",-316,-298,11,4.6,"15.8%",302,"19.4%","19.8%",0.97,0.26
"Gragas","Support",1,"2.8%","13.9%","63.9%","0%","100%",2,3,5,2.3,"46.7%","17.6%","100%",86,147,9,1.5,"5.2%",111,"5.8%","11.9%",1.75,0.43
"Gragas","Top",16,"44.4%","13.9%","63.9%","63%","13%",36,33,99,4.1,"53.4%","18.3%","13%",141,212,1.9,7.5,"21.3%",411,"21.0%","19.9%",0.55,0.11
"Graves","Jungle",17,"47.2%","44.4%","91.7%","47%","24%",63,55,93,2.8,"63.9%","21.1%","29%",48,173,2.2,5.5,"20.1%",398,"20.2%","21.1%",0.87,0.35
"Ivern","Jungle",10,"27.8%","44.4%","72.2%","60%","30%",9,26,87,3.7,"80.7%","20.8%","20%",8,-9,-9.6,2.8,"8.2%",153,"8.4%","17.1%",0.74,0.28
"Jarvan IV","Top",2,"5.6%","2.8%","8.3%","50%","50%",4,3,7,3.7,"73.3%","21.4%","0%",-276,-577,-12,8.5,"29.1%",335,"21.7%","23.1%",0.51,0.15
