"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alphari","Misfits Gaming","Top",12,"33%","33%",30,34,61,2.7,"62.3%","20.5%","23.0%","17%",-282,-69,-8.4,8.4,"26.8%",403,"20.6%",,245,"22.4%",,0.5,0.12,0.1
"Broxah","Fnatic","Jungle",10,"70%","50%",30,11,78,9.8,"71.5%","19.9%","13.4%","30%",145,191,0.4,4.9,"14.8%",291,"16.1%",,233,"18.9%",,0.89,0.18,0.31
"caPs","Fnatic","Middle",10,"70%","70%",36,23,46,3.6,"54.3%","23.8%","28.0%","10%",-20,2,-1.6,8.9,"28.0%",462,"25.4%",,284,"23.1%",,0.47,0.12,0.16
"Chei","H2k-Gaming","Support",3,"0%","33%",1,16,8,0.6,"45.0%","5.0%","27.1%","0%",-417,-222,-6,0.8,"2.6%",200,"11.9%",,96,"10.5%",,1.48,0.48,0.33
"Chres","Splyce","Middle",5,"40%","40%",10,12,10,1.7,"50.0%","25.0%","14.3%","40%",-21,159,7.8,8.9,"26.9%",486,"26.6%",,246,"22.8%",,0.49,0.1,0.14
"Exile","Unicorns of Love","Middle",8,"50%","13%",31,30,35,2.2,"62.3%","29.2%","24.6%","25%",-192,-282,-3,7.5,"22.9%",576,"27.0%",,239,"21.3%",,0.45,0.13,0.14
"Expect","G2 Esports","Top",8,"75%","63%",36,18,42,4.3,"64.5%","29.8%","20.0%","13%",228,27,-1.5,8.4,"26.4%",637,"26.1%",,301,"23.7%",,0.49,0.1,0.1
"FEBIVEN","H2k-Gaming","Middle",3,"0%","33%",8,10,6,1.4,"70.0%","40.0%","16.9%","33%",160,337,10.3,9,"30.2%",450,"26.9%",,240,"26.1%",,0.44,0.14,0.12
"Hans sama","Misfits Gaming","ADC",12,"33%","50%",42,23,53,4.1,"65.1%","28.8%","15.5%","17%",-59,-62,0.8,8.8,"29.2%",494,"25.3%",,265,"24.4%",,0.39,0.13,0.37
"Hylissang","Unicorns of Love","Support",8,"50%","63%",7,31,52,1.9,"55.7%","6.6%","25.4%","13%",31,-34,4.6,1.3,"4.3%",188,"8.7%",,139,"12.3%",,1.21,0.31,0.28
"IgNar","Misfits Gaming","Support",12,"33%","50%",7,32,101,3.4,"74.0%","4.8%","21.6%","17%",-1,156,-2.6,1,"3.7%",176,"9.0%",,131,"12.0%",,1.56,0.43,0.48
"Jankos","H2k-Gaming","Jungle",3,"0%","33%",8,8,7,1.9,"75.0%","40.0%","13.6%","33%",-430,-190,-1.3,4.6,"13.7%",285,"17.2%",,178,"19.3%",,1.07,0.27,0.4
"Jesiz","Fnatic","Support",10,"70%","20%",10,16,101,6.9,"73.5%","6.6%","19.5%","30%",123,77,0.8,0.9,"3.4%",185,"9.7%",,148,"12.0%",,1.49,0.47,0.35
"KaKAO","Misfits Gaming","Jungle",12,"33%","67%",27,32,61,2.8,"60.3%","18.5%","21.6%","8%",-133,-180,4.5,5,"15.6%",332,"16.7%",,203,"19.1%",,0.83,0.18,0.41
"Kobbe","Splyce","ADC",5,"40%","60%",9,12,20,2.4,"72.5%","22.5%","14.3%","20%",-89,-112,-2.6,8.1,"23.8%",448,"25.2%",,234,"21.8%",,0.35,0.06,0.31
"Kold","Splyce","Jungle",5,"40%","20%",11,12,14,2.1,"62.5%","27.5%","14.3%","40%",29,60,-6.8,5,"15.2%",350,"19.1%",,209,"19.3%",,0.8,0.23,0.43
"Mikyx","Splyce","Support",5,"40%","40%",1,23,30,1.3,"77.5%","2.5%","27.4%","20%",-13,-320,1.2,1.3,"4.4%",195,"11.0%",,128,"11.9%",,1.87,0.62,0.66
"Mithy","G2 Esports","Support",8,"75%","88%",1,19,85,4.5,"71.1%","0.8%","21.1%","38%",-19,-13,-0.3,0.7,"2.1%",149,"6.3%",,126,"10.0%",,1.49,0.48,0.39
"Nuclear","H2k-Gaming","ADC",3,"0%","0%",2,11,7,0.8,"45.0%","10.0%","18.6%","0%",-571,-133,-7.3,8.8,"28.9%",429,"25.9%",,222,"23.7%",,0.4,0.15,0.2
"Odoamne","H2k-Gaming","Top",3,"0%","67%",1,14,5,0.4,"30.0%","5.0%","23.7%","0%",-138,265,0.3,7.5,"24.7%",299,"18.0%",,186,"20.4%",,0.39,0.07,0.16
"Perkz","G2 Esports","Middle",8,"75%","75%",33,14,44,5.5,"63.6%","27.3%","15.6%","38%",132,52,3.1,8.9,"26.4%",724,"30.5%",,293,"23.0%",,0.46,0.12,0.12
"PowerOfEvil","Misfits Gaming","Middle",12,"33%","50%",40,27,60,3.7,"68.5%","27.4%","18.2%","17%",26,1,-4.6,7.9,"24.6%",569,"28.2%",,242,"22.1%",,0.41,0.07,0.2
"Rekkles","Fnatic","ADC",10,"70%","70%",57,12,55,9.3,"74.2%","37.7%","14.6%","30%",199,114,1.1,9.7,"32.9%",525,"28.3%",,329,"26.8%",,0.38,0.09,0.32
"Samux","Unicorns of Love","ADC",8,"50%","88%",31,15,37,4.5,"64.2%","29.2%","12.3%","13%",-80,121,-1.1,8.8,"27.8%",461,"21.8%",,274,"24.4%",,0.28,0.03,0.24
"sOAZ","Fnatic","Top",10,"70%","60%",18,20,77,4.8,"62.9%","11.9%","24.4%","40%",2,-33,0.2,7.3,"20.9%",373,"20.4%",,237,"19.2%",,0.46,0.07,0.15
"Trick","G2 Esports","Jungle",8,"75%","50%",20,22,55,3.4,"62.0%","16.5%","24.4%","50%",-65,-180,-6.8,5.3,"16.3%",326,"13.3%",,240,"19.2%",,0.76,0.17,0.36
"Vizicsacsi","Unicorns of Love","Top",8,"50%","25%",20,34,46,1.9,"62.3%","18.9%","27.9%","25%",153,142,8.9,8.4,"26.5%",561,"26.3%",,246,"21.9%",,0.55,0.13,0.18
"Wunder","Splyce","Top",5,"40%","80%",9,25,17,1,"65.0%","22.5%","29.8%","0%",147,-197,7.8,9.3,"29.8%",329,"18.1%",,261,"24.2%",,0.51,0.11,0.14
"Xerxe","Unicorns of Love","Jungle",8,"50%","50%",17,12,59,6.3,"71.7%","16.0%","9.8%","38%",226,244,4.3,5.7,"18.4%",354,"16.3%",,225,"20.1%",,0.88,0.18,0.3
"Zven","G2 Esports","ADC",8,"75%","0%",31,17,43,4.4,"61.2%","25.6%","18.9%","38%",190,-51,3,9.1,"28.8%",565,"23.7%",,300,"24.2%",,0.44,0.13,0.34
