"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"4.3%","8.7%","13.0%","0%","100%",1,3,3,1.3,"57.1%","13.0%","100%",270,561,6,8.4,"24.4%",462,"22.0%","21.5%",0.51,0.14
"Annie","Support",1,"4.3%","0.0%","4.3%","0%","0%",2,4,5,1.8,"77.8%","25.0%","100%",199,585,0,0.7,"2.9%",200,"11.5%","11.6%",1.34,0.33
"Ashe","ADC",8,"34.8%","26.1%","60.9%","50%","13%",24,23,40,2.8,"61.0%","19.2%","25%",-124,-115,-0.5,8.3,"26.7%",510,"21.5%","22.4%",0.38,0.28
"Aurelion Sol","Middle",3,"13.0%","21.7%","34.8%","67%","100%",15,5,16,6.2,"56.4%","21.7%","0%",-125,-126,-7.7,8.7,"28.3%",485,"24.3%","22.9%",0.51,0.15
"Bard","-",0,"0%","4.3%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",6,"26.1%","8.7%","34.8%","33%","67%",1,18,41,2.3,"70.0%","22.0%","0%",-97,-39,4.7,1.4,"4.3%",159,"8.4%","11.6%",1.61,0.39
"Caitlyn","ADC",6,"26.1%","47.8%","73.9%","17%","67%",18,13,22,3.1,"69.0%","13.3%","0%",-152,-35,1.5,9.2,"31.9%",557,"28.8%","26.0%",0.32,0.26
"Camille","Support",3,"13.0%","39.1%","82.6%","67%","67%",5,7,38,6.1,"68.3%","24.1%","0%",471,318,8,1.4,"4.8%",239,"12.3%","13.5%",1.45,0.44
"Camille","Top",7,"30.4%","39.1%","82.6%","57%","29%",24,23,27,2.2,"58.0%","25.8%","14%",-106,-241,-3.4,8.1,"25.7%",493,"23.0%","21.8%",0.51,0.12
"Cassiopeia","Middle",3,"13.0%","0.0%","13.0%","33%","100%",6,7,19,3.6,"64.1%","15.2%","0%",163,-6,6.3,8.3,"25.7%",563,"24.2%","21.6%",0.38,0.13
"Corki","Middle",1,"4.3%","0.0%","4.3%","0%","100%",5,3,4,3,"69.2%","15.0%","0%",-479,-753,-14,7.8,"24.2%",892,"35.0%","23.4%",0.32,0.32
"Ekko","Middle",1,"4.3%","4.3%","8.7%","100%","100%",8,0,1,9,"75.0%","0.0%","100%",420,-143,2,11.2,"27.6%",779,"43.4%","26.9%",0.61,0.16
"Elise","Jungle",11,"47.8%","34.8%","82.6%","55%","27%",29,26,48,3,"58.8%","18.1%","36%",-93,14,-1.7,5.1,"15.3%",304,"15.5%","18.9%",0.89,0.39
"Ezreal","ADC",5,"21.7%","0.0%","21.7%","60%","20%",10,8,17,3.4,"64.3%","15.4%","40%",177,3,4,9.5,"28.3%",465,"28.1%","25.2%",0.43,0.35
"Fiddlesticks","Support",3,"13.0%","0.0%","13.0%","33%","67%",2,12,20,1.8,"73.3%","25.0%","67%",-7,-277,0.7,1,"3.7%",209,"11.4%","11.3%",1.82,0.67
"Fizz","Top",1,"4.3%","39.1%","43.5%","0%","100%",2,3,0,0.7,"28.6%","23.1%","0%",-669,-337,-18,8.7,"29.0%",330,"17.9%","22.1%",0.43,0.07
"Gangplank","Top",3,"13.0%","4.3%","17.4%","67%","100%",14,6,23,6.2,"72.5%","15.0%","33%",216,-72,-5,8.4,"26.7%",851,"30.2%","25.8%",0.45,0.06
"Gnar","Top",1,"4.3%","0.0%","4.3%","100%","100%",1,3,4,1.7,"45.5%","37.5%","0%",157,114,12,8.8,"22.5%",512,"25.8%","19.7%",0.48,0.14
"Gragas","Jungle",3,"13.0%","4.3%","60.9%","67%","67%",7,4,31,9.5,"82.6%","8.2%","0%",228,356,12,5.7,"18.3%",431,"19.4%","19.8%",0.85,0.31
"Gragas","Top",10,"43.5%","4.3%","60.9%","50%","60%",19,22,55,3.4,"63.8%","19.8%","30%",139,125,-0.9,7.9,"24.2%",363,"19.6%","21.0%",0.46,0.14
"Graves","Jungle",11,"47.8%","26.1%","73.9%","36%","64%",26,29,45,2.4,"69.6%","17.6%","45%",107,34,-4.3,5.6,"18.8%",379,"19.3%","20.9%",0.87,0.46
"Ivern","Jungle",4,"17.4%","8.7%","26.1%","75%","0%",3,5,56,11.8,"98.3%","11.9%","50%",-124,14,-21.3,3.4,"11.3%",178,"8.9%","18.1%",0.63,0.22
"Jhin","ADC",1,"4.3%","0.0%","4.3%","100%","100%",4,0,8,12,"57.1%","0.0%","100%",342,451,0,8.2,"24.4%",396,"14.7%","22.1%",0.31,0.15
"Kalista","ADC",1,"4.3%","21.7%","26.1%","100%","100%",11,0,6,17,"77.3%","0.0%","0%",464,372,3,9.5,"28.1%",542,"23.3%","26.6%",0.49,0.65
"Karma","Support",5,"21.7%","30.4%","52.2%","80%","40%",2,11,51,4.8,"81.5%","22.0%","40%",-122,-104,-3.8,0.7,"2.7%",163,"8.5%","11.2%",1.63,0.31
"Kayle","Middle",2,"8.7%","0.0%","8.7%","0%","50%",3,8,6,1.1,"40.9%","22.2%","0%",-77,107,-6.5,8.4,"27.7%",363,"20.1%","21.4%",0.45,0.1
"Kennen","ADC",7,"30.4%","26.1%","69.6%","57%","14%",33,10,37,7,"72.2%","13.2%","29%",-33,-112,-3.4,9.1,"31.7%",486,"26.5%","25.2%",0.38,0.28
"Kennen","Top",3,"13.0%","26.1%","69.6%","67%","100%",9,12,12,1.8,"60.0%","37.5%","0%",410,88,8,9.7,"30.3%",470,"22.3%","24.9%",0.51,0.11
"Kha'Zix","Jungle",4,"17.4%","0.0%","17.4%","50%","100%",13,4,16,7.3,"59.2%","10.0%","0%",159,-86,-3.3,4.8,"14.9%",311,"19.6%","19.0%",0.93,0.34
"Kled","Top",1,"4.3%","0.0%","4.3%","100%","100%",4,3,6,3.3,"76.9%","30.0%","0%",-248,90,-3,8.8,"31.4%",361,"20.3%","23.6%",0.53,0.17
"LeBlanc","Middle",11,"47.8%","47.8%","95.7%","64%","36%",48,26,51,3.8,"61.5%","21.0%","36%",257,288,7.1,7.8,"23.9%",621,"28.8%","22.1%",0.45,0.21
"Lee Sin","Jungle",2,"8.7%","52.2%","60.9%","0%","50%",5,5,10,3,"62.5%","19.2%","0%",-83,-224,7,5.4,"15.6%",228,"14.0%","18.4%",1.07,0.13
"Lucian","ADC",6,"26.1%","8.7%","34.8%","50%","83%",22,11,22,4,"64.7%","12.4%","0%",-161,29,-1.3,8.5,"27.3%",455,"23.2%","24.5%",0.33,0.28
"Lulu","Middle",3,"13.0%","26.1%","60.9%","33%","33%",4,6,19,3.8,"71.9%","16.7%","0%",-42,18,-7.3,6.8,"19.7%",413,"22.2%","19.3%",0.49,0.1
"Lulu","Support",5,"21.7%","26.1%","60.9%","80%","80%",0,9,54,6,"67.5%","23.1%","20%",121,255,-5.4,0.7,"2.6%",114,"5.3%","11.2%",1.52,0.54
"Malzahar","Support",3,"13.0%","87.0%","100.0%","67%","0%",4,14,20,1.7,"60.0%","32.6%","0%",27,-86,-1.3,0.8,"3.0%",290,"13.6%","12.8%",1.3,0.48
"Nami","Support",1,"4.3%","0.0%","4.3%","0%","100%",2,4,6,2,"100.0%","36.4%","0%",-165,-68,0,0.5,"2.4%",136,"8.4%","12.3%",1.47,0.34
"Nautilus","Support",1,"4.3%","4.3%","13.0%","0%","100%",1,5,2,0.6,"60.0%","27.8%","0%",452,44,10,1.3,"3.7%",65,"3.3%","11.5%",1.47,0.4
"Nautilus","Top",1,"4.3%","4.3%","13.0%","0%","100%",0,7,0,0,"0.0%","35.0%","0%",-583,-609,-13,6.2,"19.6%",235,"13.5%","18.1%",0.3,0.08
"Orianna","Middle",3,"13.0%","60.9%","73.9%","33%","0%",5,5,10,3,"62.5%","12.2%","0%",60,151,3.3,8.2,"24.6%",533,"30.3%","22.3%",0.4,0.1
"Poppy","Top",1,"4.3%","0.0%","4.3%","0%","100%",2,4,3,1.3,"50.0%","21.1%","0%",158,156,9,8.1,"24.3%",591,"27.2%","23.3%",0.43,0.13
"Renekton","Top",3,"13.0%","8.7%","21.7%","33%","100%",8,12,14,1.8,"62.9%","19.4%","33%",463,561,19.3,9.8,"31.6%",400,"22.3%","25.4%",0.53,0.29
"Rengar","Jungle",10,"43.5%","17.4%","60.9%","50%","50%",27,22,54,3.7,"54.0%","19.6%","20%",-107,-111,8.2,5.1,"14.7%",306,"14.5%","18.5%",0.81,0.36
"Rumble","Jungle",1,"4.3%","13.0%","43.5%","100%","100%",3,2,14,8.5,"77.3%","28.6%","100%",264,249,32,5.9,"17.3%",651,"18.4%","18.8%",0.79,0.26
"Rumble","Top",6,"26.1%","13.0%","43.5%","33%","0%",14,27,24,1.4,"56.7%","31.8%","33%",-39,-110,3.8,8.2,"26.7%",629,"29.6%","21.8%",0.59,0.13
"Ryze","Middle",3,"13.0%","17.4%","30.4%","100%","100%",14,7,19,4.7,"63.5%","38.9%","67%",66,-37,-2,9.3,"29.3%",610,"24.9%","23.7%",0.45,0.2
"Shen","Top",9,"39.1%","60.9%","100.0%","56%","11%",17,23,80,4.2,"67.8%","24.0%","11%",-277,-4,-4.9,7.6,"22.6%",294,"16.9%","19.9%",0.47,0.14
"Swain","Middle",1,"4.3%","0.0%","4.3%","100%","100%",4,1,6,10,"52.6%","10.0%","0%",-410,-560,-18,7.1,"27.0%",642,"26.3%","22.5%",0.46,0.13
"Syndra","Middle",7,"30.4%","52.2%","82.6%","43%","14%",21,19,19,2.1,"58.8%","17.8%","29%",31,88,7.1,9.7,"30.8%",491,"28.9%","25.5%",0.45,0.12
"Tahm Kench","Support",5,"21.7%","8.7%","30.4%","40%","80%",2,16,32,2.1,"54.0%","21.3%","20%",68,52,4,1.6,"5.0%",140,"6.8%","11.8%",1.24,0.25
"Talon","Middle",2,"8.7%","0.0%","8.7%","50%","0%",7,11,11,1.6,"69.2%","30.6%","0%",-533,-525,-17,6.9,"21.9%",557,"23.6%","20.7%",0.46,0.1
"Thresh","Support",8,"34.8%","26.1%","60.9%","63%","25%",3,18,82,4.7,"75.9%","19.6%","25%",-2,-37,0.1,0.8,"2.3%",126,"5.6%","10.4%",1.54,0.36
"Tristana","ADC",2,"8.7%","0.0%","8.7%","0%","100%",8,1,4,12,"63.2%","3.7%","0%",-158,257,-4,10.3,"32.7%",387,"27.4%","28.2%",0.39,0.39
"Twisted Fate","-",0,"0%","8.7%","8.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",3,"13.0%","21.7%","34.8%","67%","100%",18,8,18,4.5,"75.0%","32.0%","33%",149,-21,-4,8.9,"30.0%",576,"29.4%","25.6%",0.37,0.36
"Varus","ADC",6,"26.1%","60.9%","87.0%","50%","50%",18,16,36,3.4,"58.7%","20.3%","33%",188,64,2.2,8.6,"28.6%",524,"23.4%","22.9%",0.41,0.36
"Vayne","ADC",1,"4.3%","0.0%","4.3%","100%","100%",6,0,5,11,"91.7%","0.0%","0%",149,78,11,9.6,"26.8%",448,"24.2%","25.9%",0.34,0.44
"Viktor","Middle",2,"8.7%","0.0%","8.7%","0%","100%",2,5,6,1.6,"61.5%","18.5%","0%",-544,-127,-7.5,8.8,"28.7%",503,"31.9%","23.3%",0.51,0.19
"Vladimir","Middle",3,"13.0%","0.0%","13.0%","67%","33%",15,10,11,2.6,"63.4%","28.6%","33%",-299,-601,-6.7,8.2,"24.8%",642,"30.8%","22.6%",0.39,0.12
"Zyra","Support",5,"21.7%","47.8%","69.6%","20%","20%",3,19,26,1.5,"59.2%","23.2%","20%",-338,-182,-7,0.9,"4.1%",315,"16.7%","12.3%",1.42,0.46
