"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"CNB e-Sports Club",5,2,3,40.7,86,100,0.86,0.91,,,,,,,,,,,,"38%",,,,,,,,
"Dexterity Team",5,1,4,36.2,66,110,0.6,0.97,,,,,,,,,,,,"39%",,,,,,,,
"INTZ",6,6,0,40.7,123,78,1.58,0.82,,,,,,,,,,,,"50%",,,,,,,,
"KaBuM! Black",10,4,6,39.3,126,152,0.83,0.71,,,,,,,,,,,,"41%",,,,,,,,
"paiN Gaming",10,5,5,41.1,155,129,1.2,0.69,,,,,,,,,,,,"64%",,,,,,,,
"Vivo Keyd",6,3,3,33.9,97,86,1.13,0.9,,,,,,,,,,,,"64%",,,,,,,,
