"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",25,"44.6%","33.9%","78.6%","64%","-",128,70,170,4.3,"61.6%","18.1%","24%",16,28,-0.6,7.3,"27.0%",540,"26.7%","23.3%",0.33,0.17
"Annie","Support",19,"33.9%","8.9%","42.9%","58%","-",33,80,187,2.8,"62.3%","25.2%","21%",-34,-253,-0.8,0.6,"2.9%",243,"12.3%","11.7%",1.07,0.26
"Azir","-",0,"0%","5.4%","5.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",2,"3.6%","0.0%","3.6%","0%","-",2,6,5,1.2,"87.5%","16.7%","0%",38,188,7.5,1,"3.6%",168,"14.3%","8.6%",0.85,0.12
"Braum","Support",3,"5.4%","0.0%","5.4%","100%","-",4,6,34,6.3,"63.3%","50.0%","0%",100,288,1.7,1.3,"5.6%",186,"9.1%","12.4%",1.02,0.25
"Caitlyn","ADC",2,"3.6%","0.0%","3.6%","0%","-",3,7,3,0.9,"46.2%","13.7%","0%",-298,-191,-15.5,7.4,"36.8%",303,"24.8%","28.3%",0.2,0.14
"Cassiopeia","Middle",2,"3.6%","17.9%","26.8%","0%","-",7,6,7,2.3,"63.6%","15.8%","0%",-213,73,0.5,7.5,"27.7%",328,"21.7%","23.7%",0.29,0.28
"Cassiopeia","Top",3,"5.4%","17.9%","26.8%","100%","-",18,10,24,4.2,"59.2%","23.3%","0%",379,388,11.7,6.6,"27.9%",453,"20.7%","21.6%",0.27,0.07
"Corki","ADC",12,"21.4%","1.8%","23.2%","42%","-",69,25,77,5.8,"69.5%","12.0%","33%",-3,-158,0.1,8.6,"36.2%",661,"32.4%","27.1%",0.15,0.13
"Darius","Jungle",1,"1.8%","0.0%","1.8%","0%","-",0,3,1,0.3,"16.7%","16.7%","0%",-310,-392,3,4,"19.7%",100,"8.8%","18.7%",0.25,0.22
"Dr. Mundo","Top",1,"1.8%","0.0%","1.8%","0%","-",5,5,2,1.4,"70.0%","21.7%","0%",-37,-59,-2,6.8,"24.7%",619,"32.1%","24.9%",0.41,0.05
