"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Arrow","KT Rolster","ADC",3,"0%",,7,10,11,1.8,"75.0%","29.2%","19.2%","0%",-60,-149,-8.3,8.9,"26.8%",545,"25.5%",,255,"23.9%",,0.56,0.12,0.32
"Bang","SK Telecom T1","ADC",11,"82%",,47,14,70,8.4,"73.1%","29.4%","16.1%","9%",52,197,6.1,10.1,"32.3%",756,"33.3%",,332,"25.7%",,0.58,0.07,0.22
"Blank","SK Telecom T1","Jungle",11,"82%",,40,20,78,5.9,"73.8%","25.0%","23.0%","45%",56,20,-3.8,4.5,"13.8%",376,"16.4%",,251,"19.6%",,0.96,0.18,0.64
"Chei","Jin Air Green Wings","Support",6,"50%",,3,10,44,4.7,"81.0%","5.2%","15.6%","0%",-2,226,0.3,1.2,"4.1%",109,"5.7%",,127,"11.2%",,1.67,0.46,0.41
"Duke","SK Telecom T1","Top",11,"82%",,29,16,89,7.4,"73.8%","18.1%","18.4%","9%",116,138,4.5,8.3,"25.5%",422,"18.2%",,273,"21.4%",,0.48,0.07,0.08
"Faker","SK Telecom T1","Middle",11,"82%",,38,19,66,5.5,"65.0%","23.8%","21.8%","27%",26,134,1.8,8.3,"24.0%",594,"25.9%",,278,"21.8%",,0.58,0.1,0.2
"Fly","KT Rolster","Middle",3,"0%",,5,9,10,1.7,"62.5%","20.8%","17.3%","0%",90,-102,6,8.1,"24.6%",604,"28.4%",,226,"21.4%",,0.51,0.11,0.18
"GorillA","ROX Tigers","Support",4,"25%",,1,10,26,2.7,"62.8%","2.3%","17.9%","50%",87,159,1.3,1.2,"4.2%",114,"5.5%",,124,"10.9%",,1.58,0.33,0.33
"Hachani","KT Rolster","Support",3,"0%",,0,11,18,1.6,"75.0%","0.0%","21.2%","0%",-23,-95,-0.3,1.4,"4.8%",175,"8.1%",,121,"11.3%",,1.25,0.33,0.34
"ikssu","Kwangdong Freecs","Top",2,"0%",,2,8,6,1,"66.7%","16.7%","21.1%","100%",284,654,11,6.2,"19.9%",374,"17.5%",,190,"18.7%",,0.48,0.07,0.1
"Kuro","ROX Tigers","Middle",4,"25%",,8,10,16,2.4,"55.8%","18.6%","17.9%","50%",-198,-172,-7.8,8.6,"29.2%",480,"22.3%",,249,"22.6%",,0.61,0.14,0.25
"Kuzan","Jin Air Green Wings","Middle",6,"50%",,12,16,32,2.8,"75.9%","20.7%","25.0%","33%",-20,-112,-1.7,8.1,"25.1%",496,"23.6%",,240,"21.6%",,0.56,0.07,0.2
"Lira","Kwangdong Freecs","Jungle",2,"0%",,4,8,7,1.4,"91.7%","33.3%","21.1%","100%",660,885,1.5,4.7,"14.9%",400,"18.8%",,218,"21.2%",,0.27,0.14,0.39
"Mickey","Kwangdong Freecs","Middle",2,"0%",,2,5,5,1.4,"58.3%","16.7%","13.2%","50%",178,98,1.5,8.3,"25.5%",465,"21.2%",,236,"23.0%",,0.52,0.13,0.19
"Peanut","ROX Tigers","Jungle",4,"25%",,8,14,22,2.1,"69.8%","18.6%","25.0%","25%",25,103,2.8,4.7,"16.4%",368,"18.7%",,228,"21.1%",,0.61,0.15,0.63
"Pilot","Jin Air Green Wings","ADC",6,"50%",,20,10,23,4.3,"74.1%","34.5%","15.6%","0%",1,-229,0,9.3,"30.4%",522,"25.3%",,287,"25.8%",,0.44,0.03,0.19
"PraY","ROX Tigers","ADC",4,"25%",,10,9,15,2.8,"58.1%","23.3%","16.1%","75%",-35,-70,-6.3,8.9,"29.6%",631,"30.8%",,262,"24.0%",,0.45,0.03,0.24
"Sangyoon","Kwangdong Freecs","ADC",2,"0%",,4,7,4,1.1,"66.7%","33.3%","18.4%","50%",-129,-37,-8.5,10.1,"36.6%",830,"38.5%",,281,"27.5%",,0.35,0.06,0.14
"Score","KT Rolster","Jungle",3,"0%",,6,10,9,1.5,"62.5%","25.0%","19.2%","0%",-60,-81,6.7,5.5,"17.4%",407,"18.8%",,238,"22.4%",,0.65,0.1,0.71
"Smeb","ROX Tigers","Top",4,"25%",,16,13,16,2.5,"74.4%","37.2%","23.2%","25%",2,-58,1.5,7.1,"20.6%",462,"22.6%",,241,"21.3%",,0.48,0.04,0.22
"SnowFlower","Kwangdong Freecs","Support",2,"0%",,0,10,7,0.7,"58.3%","0.0%","26.3%","50%",107,-204,0.5,0.9,"3.2%",88,"3.9%",,98,"9.7%",,1.25,0.16,0.23
"Ssumday","KT Rolster","Top",3,"0%",,6,12,7,1.1,"54.2%","25.0%","23.1%","0%",-431,-472,-16,7.7,"26.4%",412,"19.2%",,227,"21.0%",,0.45,0.06,0.17
"TrAce","Jin Air Green Wings","Top",6,"50%",,14,13,35,3.8,"84.5%","24.1%","20.3%","33%",-93,-196,-5,6.8,"21.4%",403,"22.9%",,222,"20.3%",,0.52,0.11,0.14
"Winged","Jin Air Green Wings","Jungle",6,"50%",,9,15,28,2.5,"63.8%","15.5%","23.4%","33%",-309,-359,1.3,5.5,"19.0%",432,"22.5%",,236,"21.1%",,0.56,0.19,0.73
"Wolf","SK Telecom T1","Support",11,"82%",,6,18,108,6.3,"71.3%","3.8%","20.7%","9%",-44,-118,-0.6,1.3,"4.3%",143,"6.2%",,146,"11.5%",,1.25,0.26,0.33
