"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",10,"76.9%","15.4%","92.3%","50%","-",2,20,80,4.1,"75.2%","19.2%","20%",-16,16,-1.6,1,"3.4%",106,"5.2%","10.4%",1.45,0.25
"Azir","Middle",3,"23.1%","61.5%","84.6%","67%","-",7,5,18,5,"83.3%","16.1%","0%",4,-77,4.3,8.2,"25.7%",838,"36.4%","22.1%",0.59,0.31
"Braum","Support",4,"30.8%","0.0%","30.8%","25%","-",1,14,27,2,"73.7%","21.5%","0%",13,-36,1.5,1.2,"4.2%",176,"7.3%","10.9%",1.27,0.27
"Cassiopeia","Middle",2,"15.4%","0.0%","15.4%","100%","-",5,1,10,15,"65.2%","12.5%","0%",206,400,14.5,8.2,"23.0%",448,"25.2%","20.5%",0.59,0.16
"Corki","ADC",2,"15.4%","7.7%","61.5%","0%","-",0,8,4,0.5,"30.8%","25.0%","50%",-121,-66,-7,8.8,"27.4%",547,"30.1%","22.4%",0.42,0.23
"Corki","Middle",5,"38.5%","7.7%","61.5%","20%","-",8,12,11,1.6,"51.4%","15.0%","20%",-104,-242,-4,8.7,"28.3%",571,"25.4%","23.0%",0.54,0.2
"Ekko","Middle",1,"7.7%","69.2%","92.3%","100%","-",7,2,6,6.5,"61.9%","22.2%","0%",-255,14,-12,8,"23.7%",666,"26.4%","21.7%",0.55,0.15
"Ekko","Top",2,"15.4%","69.2%","92.3%","50%","-",5,8,9,1.8,"60.9%","24.2%","100%",294,662,15,6.9,"21.5%",455,"17.9%","20.1%",0.46,0.16
"Elise","Jungle",4,"30.8%","0.0%","30.8%","75%","-",10,15,29,2.6,"72.2%","26.8%","50%",72,-126,-4,3.9,"12.1%",348,"15.0%","18.9%",0.73,0.55
"Ezreal","ADC",4,"30.8%","0.0%","30.8%","75%","-",16,6,24,6.7,"80.0%","12.2%","25%",-67,16,1.8,8.8,"29.9%",798,"36.2%","24.9%",0.49,0.18
"Fiora","-",0,"0%","30.8%","30.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Top",1,"7.7%","0.0%","7.7%","0%","-",5,2,4,4.5,"81.8%","10.5%","0%",-380,-353,-17,8.2,"27.1%",421,"19.4%","22.5%",0.47,0.27
"Gangplank","Top",1,"7.7%","23.1%","30.8%","0%","-",0,2,0,0,"-","25.0%","0%",-486,-100,-9,7.8,"25.9%",420,"43.2%","23.6%",0.52,0.09
"Gragas","Top",1,"7.7%","0.0%","7.7%","0%","-",1,3,3,1.3,"100.0%","23.1%","100%",-24,217,-2,5.9,"18.3%",363,"18.7%","17.8%",0.48,0.11
"Graves","Jungle",10,"76.9%","15.4%","92.3%","20%","-",23,24,33,2.3,"69.1%","18.6%","40%",-209,-214,-1.1,5.4,"18.5%",413,"20.9%","21.5%",0.74,0.64
"Kalista","ADC",2,"15.4%","0.0%","15.4%","0%","-",3,1,0,3,"75.0%","5.0%","0%",90,-533,-9,9.4,"29.6%",359,"22.5%","26.2%",0.46,0.32
"Karma","-",0,"0%","30.8%","30.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kindred","Jungle",8,"61.5%","7.7%","69.2%","88%","-",29,17,68,5.7,"72.4%","30.4%","38%",79,101,-1,4.4,"13.9%",393,"17.1%","19.6%",0.82,0.68
"Lissandra","Middle",5,"38.5%","23.1%","61.5%","20%","-",9,16,27,2.3,"56.3%","23.2%","80%",-5,68,-1.6,8.5,"25.7%",433,"20.7%","21.0%",0.61,0.21
