"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","Middle",9,"45.0%","15.0%","60.0%","56%","67%",38,14,40,5.6,"66.7%","17.7%","22%",187,-28,-0.1,9.7,"30.1%",542,"29.6%","25.5%",0.67,0.26
"Taric","Support",3,"15.0%","5.0%","20.0%","0%","33%",1,9,7,0.9,"40.0%","21.4%","0%",-58,-229,5,1.5,"4.7%",35,"2.5%","8.5%",1.39,0.35
"Thresh","Support",3,"15.0%","35.0%","50.0%","0%","33%",2,10,27,2.9,"76.3%","22.2%","33%",38,-97,2,0.8,"2.1%",76,"4.6%","8.5%",1.43,0.24
"Tristana","ADC",2,"10.0%","5.0%","15.0%","100%","100%",12,1,11,23,"79.3%","14.3%","0%",289,147,14,10.9,"34.0%",602,"32.4%","29.6%",0.36,0.42
"Trundle","Jungle",6,"30.0%","40.0%","75.0%","83%","67%",9,12,48,4.8,"73.1%","23.1%","67%",129,71,6,4.5,"11.4%",202,"10.5%","16.0%",0.64,0.44
"Trundle","Top",1,"5.0%","40.0%","75.0%","0%","0%",1,3,4,1.7,"83.3%","23.1%","100%",-644,-630,-43,7.6,"24.7%",193,"17.2%","24.0%",0.64,0.12
"Twitch","ADC",3,"15.0%","0.0%","15.0%","67%","100%",16,5,17,6.6,"80.5%","15.6%","33%",-226,-213,0,9.2,"27.6%",617,"30.4%","26.2%",0.38,0.3
"Varus","ADC",3,"15.0%","5.0%","20.0%","67%","100%",12,7,12,3.4,"49.0%","16.3%","0%",-82,-11,-0.7,9.1,"26.4%",376,"19.9%","23.6%",0.41,0.5
"Vladimir","Top",2,"10.0%","5.0%","15.0%","100%","50%",6,2,10,8,"45.7%","15.4%","50%",177,27,10.5,10.1,"31.4%",583,"25.6%","23.7%",0.6,0.11
"Xayah","ADC",5,"25.0%","35.0%","60.0%","60%","20%",25,7,19,6.3,"77.2%","18.4%","40%",-60,-131,4,10.2,"34.1%",716,"36.8%","28.8%",0.37,0.32
"Zac","Jungle",1,"5.0%","30.0%","35.0%","0%","100%",3,2,13,8,"64.0%","11.8%","100%",-395,-920,-16,2.9,"7.9%",133,"6.0%","11.0%",1.37,0.2
"Zoe","Middle",6,"30.0%","5.0%","35.0%","17%","17%",21,13,16,2.8,"68.5%","15.7%","33%",-133,-85,-2.7,8.9,"28.0%",532,"30.5%","26.6%",0.56,0.22
