"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Furious Gaming",9,4,5,40.3,128,99,1.29,0.63,-0.42,"-1.2%",46.1,-1.7,-193,"44%","44%","33%",,"50%","11%","23%","40%","33%","47%","50.9%","46.2%",4.42,1.32,1.59
"Hafnet eSports",5,2,3,41.1,52,82,0.63,0.65,0.79,"-1.1%",65,-25,960,"60%","80%","80%",,"50%","100%","88%","75%","60%","45%","48.4%","57.1%",5.41,1.56,1.52
"Isurus",6,3,3,29.5,78,66,1.18,0.81,0.37,"0.3%",60.2,-10.2,533,"50%","67%","67%",,"67%","50%","41%",,"50%","50%","49.9%","49.4%",4.96,1.57,1.33
"Kaos Latin Gamers",8,6,2,32,97,78,1.24,0.68,0.57,"8.1%",58.2,16.8,756,"75%","50%","50%",,"43%","75%","72%",,"63%","67%","51.2%","52.4%",4.09,1.4,1.52
"Legatum",3,0,3,30.2,20,50,0.4,0.77,-2.15,"-16.4%",24.4,-24.4,-1738,"33%","33%","0%",,"33%","0%","13%",,"0%","0%","47.3%","44.3%",3.48,1.2,1.67
"Rebirth eSports",9,5,4,36.3,97,97,1,0.59,-0.08,"-0.1%",40,15.5,-789,"33%","33%","56%",,"50%","56%","51%","0%","67%","57%","49.9%","50.0%",4.02,1.35,1.54
