"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",12,"42%","50%",47,35,72,3.4,"57.8%","22.8%","17.8%","8%",351,504,10.9,8,"24.1%",570,"24.5%",,283,"23.8%",,0.36,0.14,0.21
"Angel","Suning","Middle",10,"70%","60%",31,13,86,9,"71.8%","19.0%","14.0%","40%",-78,-54,-4.5,7.2,"16.9%",413,"19.9%",,234,"19.9%",,0.4,0.15,0.18
"beishang","Team WE","Jungle",3,"0%","0%",2,9,5,0.8,"100.0%","28.6%","22.0%","33%",-19,-446,-9.3,5.7,"13.6%",160,"12.3%",,156,"17.6%",,0.23,0.25,0.63
"Bin","Suning","Top",10,"70%","70%",37,15,43,5.3,"49.1%","22.7%","16.1%","10%",-19,-139,-2.3,8,"25.6%",427,"20.6%",,265,"22.2%",,0.52,0.25,0.14
"Breathe","Team WE","Top",3,"0%","0%",0,8,4,0.5,"57.1%","0.0%","19.5%","33%",79,48,5,8.7,"23.8%",175,"13.5%",,201,"23.0%",,0.42,0.2,0.21
"Crisp","FunPlus Phoenix","Support",20,"65%","45%",13,56,157,3,"63.7%","4.9%","20.7%","25%",-41,-52,4.5,1.7,"4.0%",119,"6.5%",,112,"9.3%",,1.51,0.5,0.28
"Cryin","Royal Never Give Up","Middle",17,"53%","47%",56,49,119,3.6,"63.4%","20.3%","19.6%","6%",50,78,-0.2,8.2,"24.1%",486,"25.5%",,256,"22.1%",,0.41,0.15,0.19
"Cube","Rare Atom","Top",9,"44%","33%",16,22,38,2.5,"56.8%","16.8%","20.4%","33%",-301,-105,-2.2,7.9,"22.9%",448,"24.8%",,233,"21.2%",,0.47,0.14,0.15
"Doinb","FunPlus Phoenix","Middle",20,"65%","50%",53,42,140,4.6,"72.3%","19.9%","15.5%","5%",-97,-115,-2.2,9.1,"27.3%",473,"25.2%",,282,"23.7%",,0.49,0.13,0.18
"Elk","Team WE","ADC",3,"0%","100%",3,7,2,0.7,"71.4%","42.9%","17.1%","0%",-582,-124,-11.7,9.5,"34.4%",384,"30.9%",,235,"26.4%",,0.48,0.15,0.17
"Flandre","EDward Gaming","Top",13,"54%","46%",16,31,79,3.1,"53.4%","9.0%","18.1%","8%",-434,-266,-5,8.1,"26.5%",445,"23.8%",,231,"21.3%",,0.3,0.18,0.24
"FoFo","Rare Atom","Middle",9,"44%","44%",23,16,36,3.7,"62.1%","24.2%","14.8%","22%",74,-95,-1.4,8.5,"24.4%",493,"27.0%",,253,"22.9%",,0.41,0.14,0.22
"GALA","Royal Never Give Up","ADC",17,"53%","29%",97,41,81,4.3,"64.5%","35.1%","16.4%","41%",190,-52,5,9.3,"32.1%",514,"26.3%",,320,"26.8%",,0.36,0.11,0.35
"Hang","Rare Atom","Support",9,"44%","56%",5,21,59,3,"67.4%","5.3%","19.4%","11%",-51,-34,1.4,1,"1.9%",143,"7.8%",,92,"8.3%",,1.7,0.48,0.27
"huanfeng","Suning","ADC",10,"70%","40%",50,15,59,7.3,"66.9%","30.7%","16.1%","30%",10,76,7.3,9.9,"35.0%",691,"33.4%",,334,"28.2%",,0.53,0.15,0.37
"iBoy","Rare Atom","ADC",9,"44%","33%",29,14,27,4,"58.9%","30.5%","13.0%","11%",-101,-21,0.6,10.2,"33.8%",496,"26.5%",,316,"28.6%",,0.3,0.11,0.5
"icon","LNG Esports","Middle",3,"0%","33%",2,14,7,0.6,"60.0%","13.3%","20.9%","0%",-474,-360,-5.3,6.4,"19.2%",284,"18.1%",,150,"18.9%",,0.33,0.18,0.15
"Iwandy","LNG Esports","Support",3,"0%","100%",1,16,10,0.7,"73.3%","6.7%","23.9%","0%",-148,22,-2,1.1,"4.8%",196,"12.6%",,76,"9.3%",,1.78,0.49,0.27
"JackeyLove","Top Esports","ADC",12,"42%","58%",56,45,93,3.3,"72.3%","27.2%","22.8%","17%",110,61,-2.5,8.4,"28.0%",711,"30.6%",,306,"25.5%",,0.49,0.17,0.54
"Jiejie","EDward Gaming","Jungle",13,"54%","38%",25,39,102,3.3,"71.3%","14.0%","22.8%","31%",-235,-177,-3.6,5.4,"14.7%",229,"13.3%",,182,"16.8%",,0.42,0.37,0.42
"Kanavi","JD Gaming","Jungle",4,"25%","75%",18,13,19,2.8,"71.2%","34.6%","20.6%","75%",197,252,4,6.7,"20.7%",396,"20.5%",,241,"21.0%",,0.28,0.23,0.39
