"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"apaMEN","Unsold Stuff Gaming","Top",4,"25%","25%",8,10,22,3,"68.2%","18.2%","20.0%","0%",-383,-350,-7.8,9.5,"28.8%",518,"26.6%",,285,"25.5%",,0.59,0.2,0.12
"Ceros","DetonatioN FocusMe","Middle",3,"0%","33%",1,7,3,0.6,"50.0%","12.5%","22.6%","0%",-122,-163,-3,9.1,"25.4%",724,"39.0%",,204,"23.4%",,0.92,0.46,0.22
"Enty","Unsold Stuff Gaming","Support",4,"25%","50%",3,7,26,4.1,"65.9%","6.8%","14.0%","75%",263,91,9,1.9,"5.7%",189,"9.7%",,111,"10.1%",,1.99,0.58,0.25
"Evi","DetonatioN FocusMe","Top",3,"0%","100%",3,11,4,0.6,"87.5%","37.5%","35.5%","33%",71,-109,4,8.8,"23.9%",463,"24.5%",,222,"24.5%",,0.54,0.1,0.1
"Gaeng","PENTAGRAM","Support",7,"86%","43%",5,12,59,5.3,"79.0%","6.2%","22.6%","0%",-181,-16,-6.6,1.5,"4.4%",167,"8.7%",,136,"10.7%",,1.34,0.41,0.33
"Gango","Unsold Stuff Gaming","ADC",4,"25%","100%",11,8,19,3.8,"68.2%","25.0%","16.0%","75%",21,-97,-5.8,10.1,"29.6%",477,"24.5%",,278,"25.1%",,0.45,0.2,0.28
"Gariaru","Unsold Stuff Gaming","Middle",4,"25%","25%",11,11,22,3,"75.0%","25.0%","22.0%","0%",-447,-377,-12,8.7,"23.5%",511,"26.9%",,245,"22.2%",,0.66,0.22,0.27
"Once","PENTAGRAM","Jungle",7,"86%","71%",9,15,47,3.7,"69.1%","11.1%","28.3%","43%",-148,140,3.9,5.5,"13.1%",255,"12.9%",,202,"15.8%",,0.7,0.25,0.65
"Paz","PENTAGRAM","Top",7,"86%","43%",22,6,37,9.8,"72.8%","27.2%","11.3%","29%",189,246,2.7,10.2,"28.9%",474,"24.1%",,331,"26.0%",,0.56,0.11,0.17
"Ramune","PENTAGRAM","Middle",7,"86%","71%",20,12,37,4.8,"70.4%","24.7%","22.6%","43%",307,285,8.1,9.1,"22.7%",590,"28.9%",,273,"21.6%",,0.61,0.2,0.31
"Steal","DetonatioN FocusMe","Jungle",3,"0%","67%",2,4,5,1.8,"87.5%","25.0%","12.9%","33%",-208,-406,-5.7,4,"8.1%",166,"8.8%",,111,"12.9%",,1.14,0.39,0.58
"Tussle","Unsold Stuff Gaming","Jungle",4,"25%","0%",11,14,22,2.4,"75.0%","25.0%","28.0%","75%",415,59,-2.5,5.1,"12.5%",237,"12.2%",,188,"17.1%",,1.03,0.48,0.48
"viviD","DetonatioN FocusMe","Support",3,"0%","67%",0,6,6,1,"75.0%","0.0%","19.4%","0%",71,-83,3.3,2.3,"7.5%",115,"6.1%",,86,"9.7%",,1.47,0.46,0.36
"Yutapon","DetonatioN FocusMe","ADC",3,"0%","33%",2,3,4,2,"75.0%","25.0%","9.7%","0%",-378,-213,-19,11.3,"35.2%",418,"21.7%",,266,"29.4%",,0.29,0.07,0.21
"Yutorimoyashi","PENTAGRAM","ADC",7,"86%","29%",25,8,36,7.6,"75.3%","30.9%","15.1%","0%",150,147,11.4,11,"30.9%",502,"25.3%",,331,"26.0%",,0.45,0.16,0.55
