"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",7,"77.8%","0.0%","77.8%","57%","-",25,17,55,4.7,"80.0%","23.9%","0%",-153,76,5,8.6,"24.0%",451,"32.1%","22.2%",0.42,0.06
"Alistar","Support",7,"77.8%","22.2%","100.0%","71%","-",4,13,75,6.1,"73.1%","23.2%","14%",26,-348,4,1.3,"6.1%",103,"6.4%","10.9%",1.28,0.36
"Azir","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",3,"33.3%","0.0%","33.3%","33%","-",2,10,13,1.5,"68.2%","24.4%","0%",-28,371,0,1.3,"6.5%",164,"7.8%","12.3%",1.4,0.31
"Corki","Middle",4,"44.4%","44.4%","88.9%","0%","-",3,20,5,0.4,"57.1%","23.5%","25%",-74,125,9,8.5,"31.9%",385,"32.1%","24.2%",0.35,0.12
"Ekko","Top",4,"44.4%","0.0%","44.4%","25%","-",9,13,15,1.8,"57.1%","22.0%","0%",239,264,5.5,6.8,"31.2%",257,"15.9%","22.0%",0.33,0.21
"Ezreal","ADC",2,"22.2%","0.0%","22.2%","0%","-",2,6,4,1,"75.0%","15.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Middle",1,"11.1%","0.0%","11.1%","100%","-",2,1,10,12,"85.7%","100.0%","0%",-287,-289,-30,7.8,"26.1%",668,"31.8%","23.7%",0.21,0.07
"Gnar","Top",2,"22.2%","0.0%","22.2%","0%","-",2,8,2,0.5,"50.0%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Jungle",5,"55.6%","0.0%","55.6%","40%","-",1,9,42,4.8,"81.1%","14.5%","20%",304,-408,-9,6.4,"13.8%",165,"14.9%","19.9%",0.96,0.21
"Graves","Jungle",4,"44.4%","22.2%","66.7%","50%","-",8,8,20,3.5,"62.2%","14.3%","25%",-817,-761,-11,6.4,"15.1%",346,"24.8%","19.7%",0.3,0.4
"Kalista","ADC",3,"33.3%","0.0%","33.3%","0%","-",0,9,3,0.3,"30.0%","15.3%","0%",-627,-42,-20,8,"27.0%",283,"20.2%","24.5%",0.48,0.15
"Karma","Middle",1,"11.1%","22.2%","33.3%","100%","-",5,0,12,17,"63.0%","0.0%","0%",435,39,12,7.1,"14.9%",719,"30.8%","22.3%",0.5,0.23
"Kindred","Jungle",1,"11.1%","0.0%","11.1%","100%","-",9,1,5,14,"51.9%","20.0%","0%",852,448,6,4.7,"20.3%",540,"23.1%","23.0%",0.5,0.19
"LeBlanc","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","-",0,"0%","66.7%","66.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",4,"44.4%","0.0%","44.4%","25%","-",13,10,9,2.2,"66.7%","14.7%","25%",209,147,13,8.4,"26.7%",438,"25.6%","25.2%",0.44,0.16
"Maokai","Top",3,"33.3%","0.0%","33.3%","100%","-",8,3,38,15.3,"78.0%","30.0%","33%",-411,-1062,-21,5.9,"17.0%",226,"12.2%","14.9%",0.51,0.12
"Morgana","Support",5,"55.6%","0.0%","55.6%","40%","-",4,12,54,4.8,"92.1%","16.0%","20%",-221,520,-9,0.8,"2.3%",234,"16.8%","12.4%",1.35,0.27
"Nidalee","Jungle",8,"88.9%","11.1%","100.0%","50%","-",25,24,44,2.9,"75.8%","25.3%","13%",239,741,12.5,7.7,"17.0%",491,"24.9%","21.9%",0.54,0.47
"Poppy","Top",7,"77.8%","22.2%","100.0%","71%","-",17,12,35,4.3,"52.5%","18.5%","14%",-22,178,3.3,6.7,"23.8%",206,"12.6%","19.9%",0.44,0.1
"Ryze","Middle",2,"22.2%","33.3%","55.6%","0%","-",6,12,2,0.7,"100.0%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",9,"100.0%","0.0%","100.0%","89%","-",54,5,86,28,"84.8%","9.8%","11%",70,-84,-2,8.4,"27.0%",479,"25.9%","23.2%",0.38,0.12
"Trundle","Support",3,"33.3%","22.2%","77.8%","33%","-",0,9,18,2,"78.3%","19.6%","33%",170,152,-3,1.9,"6.9%",82,"4.4%","12.1%",1.35,0.57
"Trundle","Top",2,"22.2%","22.2%","77.8%","0%","-",0,8,2,0.3,"25.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",2,"22.2%","77.8%","100.0%","100%","-",10,8,18,3.5,"73.7%","57.1%","-","-","-","-","-","-","-","-","-","-","-"
"Varus","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Middle",1,"11.1%","0.0%","11.1%","100%","-",7,0,7,14,"93.3%","0.0%","100%",153,-76,-5,8.8,"26.5%",455,"24.6%","24.6%",0.51,0.21
