"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aotaka","Rampage","Top",9,"67%",,22,17,51,4.3,"56.2%","16.9%","19.8%","11%",-312,-145,-6.7,4.6,"26.1%",186,"14.6%",,137,"20.5%",,0.39,0.11,0.1
"apaMEN","Unsold Stuff Gaming","Top",6,"0%",,2,26,14,0.6,"53.3%","6.7%","21.0%",,,,,,,,,,,,,,,
"Catch","DetonatioN FocusMe","Jungle",3,"100%",,14,1,25,39,"69.6%","25.0%","12.5%","33%",443,643,10.3,5.4,"18.1%",507,"24.3%",,311,"22.2%",,0.53,0.13,0.38
"Ceros","DetonatioN FocusMe","Middle",3,"100%",,14,1,29,43,"76.8%","25.0%","12.5%","33%",100,-109,-7.7,8,"22.5%",614,"29.1%",,329,"23.5%",,0.41,0.14,0.17
"Clockday","Unsold Stuff Gaming","Middle",6,"0%",,14,32,12,0.8,"86.7%","46.7%","25.8%",,,,,,,,,,,,,,,
"Enty","Unsold Stuff Gaming","Support",6,"0%",,2,24,18,0.8,"66.7%","6.7%","19.4%",,,,,,,,,,,,,,,
"Haretti","Unsold Stuff Gaming","ADC",6,"0%",,6,16,10,1,"53.3%","20.0%","12.9%",,,,,,,,,,,,,,,
"isurugi","Unsold Stuff Gaming","Jungle",6,"0%",,6,26,16,0.8,"73.3%","20.0%","21.0%",,,,,,,,,,,,,,,
"Meron","Rampage","ADC",9,"67%",,49,13,60,8.4,"83.8%","37.7%","15.1%","11%",-123,214,0.7,6.1,"25.0%",290,"22.0%",,163,"24.7%",,0.46,0.06,0.12
"Paz","Rampage","Jungle",9,"67%",,23,15,70,6.2,"71.5%","17.7%","17.4%","22%",-443,-643,-10.3,3.3,"14.7%",286,"21.5%",,131,"19.7%",,0.52,0.12,0.33
"Roki","Rampage","Middle",9,"67%",,30,25,68,3.9,"75.4%","23.1%","29.1%","11%",-100,109,7.7,6.4,"29.3%",407,"32.1%",,155,"23.5%",,0.37,0.1,0.1
"tei","Rampage","Support",9,"67%",,6,16,105,6.9,"85.4%","4.6%","18.6%","22%",-121,-1,-2,0.9,"5.0%",132,"9.8%",,75,"11.5%",,1.33,0.23,0.39
"viviD","DetonatioN FocusMe","Support",3,"100%",,2,4,37,9.8,"69.6%","3.6%","50.0%","33%",121,1,2,1.5,"6.4%",131,"6.2%",,164,"11.7%",,1.32,0.25,0.36
"Yutapon","DetonatioN FocusMe","Top",3,"100%",,12,1,27,39,"69.6%","21.4%","12.5%","33%",312,145,6.7,5.9,"24.2%",267,"12.7%",,263,"19.0%",,0.45,0.17,0.18
"Zerost","DetonatioN FocusMe","ADC",3,"100%",,14,1,32,46,"82.1%","25.0%","12.5%","33%",123,-214,-0.7,8.7,"28.8%",576,"27.7%",,329,"23.5%",,0.37,0.09,0.15
