"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Karthus","ADC",3,"8.1%","64.9%","73.0%","67%","0%",7,10,12,1.9,"59.4%","30.3%","0%",-326,140,-1.3,9,"24.2%",613,"35.7%","23.0%",0.27,0.25
"Kayle","Top",2,"5.4%","5.4%","10.8%","50%","0%",6,4,5,2.8,"91.7%","19.0%","50%",-561,-87,-13,8.4,"32.9%",542,"32.4%","26.4%",0.5,0.23
"Kennen","Top",6,"16.2%","13.5%","29.7%","33%","50%",24,21,29,2.5,"54.6%","21.2%","0%",178,70,-0.2,7.6,"24.0%",566,"27.1%","23.8%",0.51,0.14
"Kha'Zix","Jungle",2,"5.4%","2.7%","8.1%","50%","100%",2,5,6,1.6,"72.7%","20.8%","0%",-811,-569,-12,5.4,"15.2%",240,"20.4%","17.7%",0.69,0.25
"Kindred","Jungle",10,"27.0%","27.0%","54.1%","30%","30%",18,43,64,1.9,"68.9%","24.9%","40%",-15,34,1.8,5.5,"16.4%",296,"14.8%","17.7%",0.53,0.45
"LeBlanc","Middle",4,"10.8%","62.2%","73.0%","25%","25%",15,9,20,3.9,"60.3%","11.5%","0%",-83,20,-4.5,8.3,"25.3%",432,"23.5%","22.2%",0.35,0.22
"Lee Sin","Jungle",7,"18.9%","13.5%","32.4%","29%","71%",13,18,52,3.6,"73.9%","15.9%","43%",-374,-231,-2.7,4.4,"11.7%",215,"11.7%","16.0%",0.66,0.25
"Lissandra","Middle",1,"2.7%","2.7%","5.4%","100%","0%",5,3,11,5.3,"64.0%","18.8%","0%",-988,-762,-11,8.1,"25.1%",366,"18.5%","21.4%",0.38,0.12
"Lucian","ADC",7,"18.9%","21.6%","40.5%","43%","14%",18,13,41,4.5,"58.4%","13.7%","43%",-91,-211,-2,9.1,"27.7%",393,"22.5%","23.5%",0.42,0.33
"Miss Fortune","ADC",1,"2.7%","0.0%","2.7%","100%","100%",6,3,4,3.3,"62.5%","42.9%","100%",-552,-961,-9,9.7,"29.6%",533,"26.5%","26.6%",0.34,0.43
"Morgana","ADC",1,"2.7%","32.4%","40.5%","0%","0%",2,5,4,1.2,"60.0%","27.8%","0%",-1151,-442,-29,7.9,"24.5%",453,"26.3%","21.5%",0.34,0.25
"Morgana","Middle",1,"2.7%","32.4%","40.5%","0%","100%",1,1,3,4,"57.1%","5.9%","0%",-586,-724,-13,7.5,"22.6%",483,"26.5%","18.6%",0.68,0
"Morgana","Support",1,"2.7%","32.4%","40.5%","100%","100%",0,4,23,5.8,"92.0%","25.0%","0%",384,550,-2,1,"4.0%",248,"12.5%","12.0%",1.65,0.65
"Nautilus","Middle",5,"13.5%","16.2%","40.5%","60%","80%",3,13,39,3.2,"64.6%","22.0%","0%",83,251,9.6,7.1,"17.4%",289,"16.5%","17.8%",0.44,0.1
"Nautilus","Support",4,"10.8%","16.2%","40.5%","75%","50%",5,17,49,3.2,"71.1%","35.4%","75%",180,104,-0.3,1.9,"6.4%",170,"8.6%","10.7%",1.62,0.33
"Neeko","ADC",2,"5.4%","16.2%","21.6%","50%","0%",7,5,5,2.4,"63.2%","22.7%","0%",-424,-268,-6,8,"25.9%",510,"33.4%","24.5%",0.32,0.23
"Nocturne","Jungle",2,"5.4%","18.9%","24.3%","50%","50%",6,8,13,2.4,"65.5%","27.6%","50%",-328,67,2.5,5.2,"15.3%",342,"19.5%","18.2%",0.33,0.25
"Olaf","Jungle",1,"2.7%","2.7%","5.4%","100%","100%",3,1,7,10,"45.5%","16.7%","0%",-182,-568,6,6,"16.1%",232,"11.4%","17.6%",1.25,0.81
"Orianna","Middle",5,"13.5%","0.0%","13.5%","60%","60%",16,7,27,6.1,"58.1%","11.3%","0%",327,511,13.4,9.6,"28.1%",459,"27.4%","25.5%",0.47,0.26
"Poppy","Top",1,"2.7%","5.4%","8.1%","0%","100%",0,5,3,0.6,"37.5%","20.8%","0%",-178,251,-8,6.8,"25.8%",331,"21.4%","20.7%",0.55,0.1
"Pyke","Support",2,"5.4%","0.0%","5.4%","50%","50%",6,4,7,3.3,"68.4%","17.4%","50%",23,-186,-1.5,2.1,"7.1%",169,"9.1%","12.4%",1.41,0.48
"Rakan","Support",1,"2.7%","2.7%","5.4%","0%","0%",1,6,8,1.5,"64.3%","24.0%","100%",-305,-711,-16,0.8,"4.0%",189,"8.9%","8.9%",1.94,0.68
"Rek'Sai","Jungle",17,"45.9%","27.0%","73.0%","41%","18%",44,52,78,2.3,"62.9%","22.4%","29%",175,136,5,5.3,"15.0%",272,"16.2%","18.6%",0.61,0.41
"Renekton","Middle",1,"2.7%","0.0%","8.1%","0%","100%",2,7,5,1,"70.0%","23.3%","0%",-181,536,13,7.4,"18.3%",503,"23.3%","21.0%",0.31,0.07
"Renekton","Top",2,"5.4%","0.0%","8.1%","50%","100%",9,8,8,2.1,"47.2%","28.6%","0%",-45,364,-3.5,8,"22.5%",454,"20.1%","22.2%",0.47,0.31
"Rumble","Top",1,"2.7%","2.7%","5.4%","0%","100%",2,2,6,4,"53.3%","7.7%","0%",23,-127,-15,8,"28.8%",449,"26.6%","23.2%",0.5,0
"Ryze","Middle",9,"24.3%","45.9%","86.5%","33%","33%",23,22,24,2.1,"50.0%","17.5%","11%",-215,-100,-1.4,9.4,"29.0%",373,"22.1%","24.5%",0.53,0.18
"Ryze","Top",6,"16.2%","45.9%","86.5%","17%","83%",10,24,9,0.8,"35.2%","20.2%","0%",-322,-88,4,8.8,"28.4%",387,"23.2%","23.4%",0.44,0.08
"Sejuani","Jungle",6,"16.2%","10.8%","27.0%","50%","100%",8,21,41,2.3,"68.1%","26.9%","50%",-379,-164,-9,4.8,"13.3%",207,"11.9%","15.7%",0.45,0.33
"Shen","Support",4,"10.8%","2.7%","13.5%","25%","75%",5,16,27,2,"74.4%","23.5%","25%",4,-264,0.5,2.3,"7.1%",116,"6.6%","11.5%",1.44,0.41
"Sivir","ADC",3,"8.1%","2.7%","10.8%","67%","67%",11,8,19,3.8,"57.7%","19.0%","67%",-134,-129,4.3,10.2,"33.4%",442,"23.1%","26.7%",0.35,0.26
"Skarner","Jungle",1,"2.7%","8.1%","10.8%","100%","100%",3,3,5,2.7,"61.5%","50.0%","0%",-332,94,5,6.5,"21.2%",228,"12.9%","18.7%",0.3,0.36
"Sona","ADC",3,"8.1%","2.7%","13.5%","67%","67%",1,6,19,3.3,"80.0%","22.2%","33%",-632,-475,-67,4,"13.5%",369,"21.2%","19.0%",0.78,0.17
"Sona","Support",1,"2.7%","2.7%","13.5%","0%","100%",0,4,3,0.8,"27.3%","22.2%","0%",285,-131,-8,0.3,"1.1%",270,"16.4%","8.1%",1.47,0.24
"Sylas","Middle",7,"18.9%","43.2%","73.0%","86%","0%",24,12,49,6.1,"64.0%","20.7%","14%",-78,102,-3.1,8,"22.1%",463,"23.0%","20.6%",0.46,0.18
"Sylas","Top",4,"10.8%","43.2%","73.0%","50%","50%",19,16,24,2.7,"62.3%","27.1%","50%",371,-46,3.3,8.2,"25.1%",484,"27.0%","22.9%",0.51,0.08
"Syndra","Middle",4,"10.8%","16.2%","27.0%","25%","100%",14,11,16,2.7,"63.8%","14.9%","50%",-53,-338,-4,9.2,"28.4%",576,"28.6%","25.8%",0.41,0.13
"Tahm Kench","Support",12,"32.4%","10.8%","43.2%","58%","58%",9,35,80,2.5,"54.6%","23.8%","17%",43,-11,1.7,2.2,"7.8%",111,"6.2%","11.2%",1.51,0.21
"Taliyah","Jungle",3,"8.1%","2.7%","13.5%","100%","67%",14,6,33,7.8,"72.3%","19.4%","33%",-139,189,-1.3,5.8,"17.9%",517,"22.5%","19.6%",0.32,0.23
"Taliyah","Middle",1,"2.7%","2.7%","13.5%","0%","0%",7,6,8,2.5,"75.0%","22.2%","0%",-557,-517,-8,6.6,"19.1%",893,"37.3%","23.6%",0.21,0.04
"Taric","Support",4,"10.8%","51.4%","62.2%","75%","0%",1,6,28,4.8,"67.4%","15.8%","25%",463,219,47.3,3.7,"9.2%",101,"5.8%","13.4%",1.12,0.22
"Thresh","Support",4,"10.8%","5.4%","16.2%","25%","100%",3,11,26,2.6,"70.7%","15.5%","50%",-24,13,-27.8,0.4,"1.8%",136,"8.5%","10.9%",1.55,0.28
"Tristana","ADC",5,"13.5%","0.0%","13.5%","60%","100%",21,12,15,3,"56.3%","18.8%","20%",-216,-313,6.4,9.1,"30.2%",431,"24.5%","26.6%",0.34,0.32
"Varus","ADC",14,"37.8%","27.0%","64.9%","43%","36%",51,47,60,2.4,"58.1%","23.0%","21%",173,89,10.4,8.9,"27.9%",444,"25.3%","24.9%",0.41,0.34
"Vayne","ADC",1,"2.7%","0.0%","5.4%","0%","100%",3,3,0,1,"37.5%","14.3%","0%",698,1037,32,10,"34.2%",456,"31.8%","30.6%",0.45,0.21
