"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bombers",6,2,4,30.8,99,121,0.82,1.19,-0.76,"-4.7%",43,-9.7,-713,"50%","67%","17%",,"33%","67%","50%",,"50%","50%","48.0%","46.2%",3.48,1.35,1.21
"DetonatioN FocusMe",6,4,2,30.3,61,47,1.3,0.59,-0.61,"-3.5%",42,24.6,-1060,"50%","17%","50%",,"17%","67%","63%",,"67%","63%","50.1%","44.5%",3.95,1.34,1.26
"Fenerbahçe Esports",7,4,3,32,134,133,1.01,1.19,0.65,"1.8%",53.8,3.4,478,"57%","57%","57%",,"86%","14%","63%",,"43%","50%","50.7%","49.8%",2.98,1.12,1.09
"Flash Wolves",4,3,1,32.8,64,29,2.21,0.71,2.49,"12.9%",73.3,1.7,2687,"50%","50%","75%",,"25%","75%","63%","0%","75%","60%","51.0%","52.4%",3.6,1.28,1.27
"INTZ",6,1,5,31.7,43,80,0.54,0.65,-0.5,"-8.7%",43,-26.4,-265,"17%","33%","33%",,"33%","0%","16%","100%","17%","11%","49.5%","51.4%",3.21,1.3,1.34
"Isurus",6,2,4,29.7,86,107,0.8,1.08,-1.18,"-4.7%",34.2,-0.8,-1947,"33%","0%","50%",,"17%","50%","29%",,"17%","20%","50.7%","44.6%",2.56,0.98,1.06
"MEGA",6,2,4,34.6,63,59,1.07,0.59,0.24,"0.9%",50.7,-17.3,282,"67%","67%","33%",,"67%","50%","44%","0%","33%","50%","49.6%","49.3%",3.21,1.26,1.64
"Phong Vũ Buffalo",15,8,7,31.3,261,220,1.19,1.02,0.58,"0.9%",55.4,-2.1,792,"53%","60%","53%",,"47%","53%","40%","0%","47%","56%","49.9%","54.9%",3.64,1.44,1.31
"Team Liquid",3,3,0,28.9,54,37,1.46,1.05,0.86,"11.3%",60.9,39.1,1008,"67%","67%","100%",,"0%","67%","80%",,"100%","100%","51.9%","51.5%",3.2,1.17,1.5
"Vega Squadron",15,8,7,32.4,169,203,0.83,0.77,-0.64,"0.8%",49.2,4.1,-452,"53%","60%","53%",,"87%","60%","64%","100%","53%","55%","50.0%","49.9%",3.21,1.07,1.34
