"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"CJ Entus",8,5,3,37.2,89,84,1.06,0.58,0.02,"1.2%",,,-286,"63%","63%","50%",,,"50%","54%",,"50%","50%","51.0%","50.4%",3.01,0.53,1.07
"Jin Air Green Wings",3,0,3,30,5,28,0.18,0.37,-2.24,"-12.6%",,,-943,"0%","33%","33%",,,"0%","10%",,"0%","0%","46.5%","44.7%",3.09,0.51,0.77
"ROX Tigers",3,0,3,38.6,24,56,0.43,0.68,-2.07,"-14.8%",,,-1163,"67%","0%","33%",,,"0%","14%",,"0%","20%","47.8%","42.4%",3.71,0.59,1.05
"SK Telecom T1",8,6,2,40.4,134,87,1.54,0.68,1.36,"9.0%",,,1076,"50%","63%","63%",,,"88%","69%",,"75%","67%","51.2%","54.5%",3.44,0.51,1.07
