"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Skarner","Jungle",13,"59.1%","13.6%","72.7%","54%","46%",16,29,67,2.9,"71.6%","21.2%","31%",-130,-29,3.8,5.4,"14.4%",141,"7.7%","17.6%",1.46,0.31
"Swain","Middle",4,"18.2%","72.7%","100.0%","50%","0%",18,6,28,7.7,"86.8%","13.0%","25%",-468,-367,-12.8,8.2,"23.7%",480,"26.5%","23.3%",0.51,0.14
"Swain","Top",2,"9.1%","72.7%","100.0%","100%","0%",1,3,11,4,"70.6%","20.0%","50%",184,40,4,7.7,"20.5%",564,"27.3%","19.1%",0.64,0.18
"Syndra","Middle",3,"13.6%","4.5%","18.2%","33%","100%",4,2,8,6,"66.7%","7.7%","33%",34,100,5,10.8,"31.8%",486,"29.8%","26.6%",0.49,0.17
"Tahm Kench","Support",12,"54.5%","40.9%","95.5%","42%","33%",8,24,46,2.3,"59.3%","22.0%","8%",-2,-118,8.6,1.9,"6.0%",130,"7.8%","9.7%",1.26,0.29
"Taliyah","Middle",3,"13.6%","40.9%","54.5%","67%","67%",7,4,16,5.8,"88.5%","17.4%","67%",457,361,3.3,10.1,"27.8%",664,"33.3%","25.1%",0.44,0.22
"Taric","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",5,"22.7%","31.8%","54.5%","60%","80%",4,13,46,3.8,"72.5%","28.3%","20%",162,166,-6.8,0.8,"3.0%",113,"5.8%","10.3%",1.28,0.44
"Tristana","ADC",2,"9.1%","0.0%","9.1%","50%","50%",6,2,8,7,"77.8%","15.4%","50%",-208,-367,-13,9.4,"33.0%",425,"28.2%","26.1%",0.42,0.32
"Trundle","Jungle",7,"31.8%","31.8%","63.6%","71%","29%",15,17,51,3.9,"75.0%","32.1%","0%",-479,-362,-2.3,4.6,"13.3%",201,"9.7%","16.8%",0.58,0.46
"Varus","ADC",5,"22.7%","18.2%","40.9%","40%","40%",13,11,13,2.4,"65.0%","22.0%","40%",120,75,9.4,9.9,"28.1%",493,"27.3%","25.4%",0.38,0.34
"Xayah","ADC",1,"4.5%","50.0%","54.5%","100%","0%",1,0,3,4,"40.0%","0.0%","0%",-118,-155,-4,9.6,"27.9%",435,"27.8%","22.2%",0.5,0.25
"Zac","Jungle",2,"9.1%","9.1%","18.2%","50%","50%",2,4,9,2.8,"61.1%","30.8%","0%",-504,-74,-12,5.5,"12.8%",145,"10.5%","17.1%",1.16,0.44
"Zoe","Middle",1,"4.5%","0.0%","4.5%","0%","100%",1,4,1,0.5,"100.0%","30.8%","0%",-632,-775,-6,7.3,"17.8%",319,"23.0%","21.1%",0.36,0
