"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"CNB e-Sports Club",3,0,3,31.3,14,47,0.3,0.65,-3.21,"-19.1%",18.2,-18.2,-3989,"33%","33%","0%",,"33%","0%","8%",,"0%","0%","48.7%","44.0%",3.16,1.4,1.51
"Flamengo Esports",8,5,3,35.7,99,89,1.11,0.66,1.83,"10.4%",75.6,-13.1,2998,"75%","75%","88%",,"88%","75%","81%","20%","63%","69%","50.7%","53.9%",3.77,1.25,1.5
"INTZ",10,6,4,36.3,138,91,1.52,0.63,-0.43,"-1.9%",39.1,20.9,-708,"60%","50%","40%",,"30%","40%","31%","80%","60%","56%","49.1%","48.7%",3.48,1.33,1.33
"Redemption eSports Porto Alegre",5,2,3,34.3,39,63,0.62,0.6,-0.38,"-1.2%",50.1,-10.1,-987,"0%","20%","40%",,"40%","60%","64%",,"40%","29%","51.5%","50.0%",3.44,1.39,1.32
