"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rumble","-",0,"0%","15.4%","15.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",2,"15.4%","30.8%","46.2%","50%","100%",16,4,13,7.3,"85.3%","17.4%","0%",-146,-284,-2,9.4,"27.8%",734,"34.0%","28.5%",0.47,0.15
"Sion","Top",1,"7.7%","0.0%","7.7%","0%","0%",0,1,2,2,"33.3%","9.1%","0%",-669,-195,-8,8,"24.6%",217,"20.2%","19.7%",0.46,0.12
"Sivir","ADC",2,"15.4%","0.0%","15.4%","50%","100%",7,2,8,7.5,"71.4%","11.8%","50%",4,60,2.5,10.3,"34.7%",583,"32.7%","28.7%",0.39,0.41
"Skarner","Jungle",1,"7.7%","7.7%","15.4%","100%","100%",3,3,9,4,"80.0%","37.5%","100%",192,363,-3,5.2,"16.8%",211,"11.2%","19.3%",0.66,0.31
"Sona","-",0,"0%","53.8%","53.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sylas","Middle",5,"38.5%","46.2%","84.6%","60%","0%",12,16,25,2.3,"61.7%","23.9%","80%",34,81,-4.4,7.6,"21.4%",388,"19.8%","20.2%",0.47,0.22
"Syndra","Middle",4,"30.8%","7.7%","38.5%","50%","75%",6,8,15,2.6,"61.8%","16.7%","0%",-116,-145,-0.3,8.5,"22.5%",422,"25.5%","22.5%",0.56,0.12
"Tahm Kench","Support",5,"38.5%","7.7%","46.2%","40%","80%",3,12,38,3.4,"59.4%","21.4%","40%",132,83,1,2.1,"7.4%",106,"5.4%","11.1%",1.67,0.22
"Taliyah","Jungle",2,"15.4%","46.2%","61.5%","100%","50%",11,1,14,25,"80.6%","5.0%","100%",887,790,14,7.2,"21.0%",381,"19.3%","22.1%",0.89,0.52
"Thresh","Support",2,"15.4%","7.7%","23.1%","50%","100%",4,4,14,4.5,"78.3%","20.0%","50%",2,361,-5.5,0.5,"2.0%",155,"10.2%","11.4%",1.82,0.33
"Tristana","ADC",3,"23.1%","0.0%","23.1%","33%","100%",4,7,5,1.3,"36.0%","13.5%","0%",-265,91,-2.7,8.5,"26.6%",314,"16.1%","22.6%",0.39,0.22
"Trundle","Jungle",1,"7.7%","0.0%","7.7%","0%","100%",0,2,9,4.5,"56.3%","16.7%","0%",-297,-369,-10,4.4,"10.5%",136,"6.2%","13.4%",0.31,0.54
"Urgot","Jungle",3,"23.1%","0.0%","23.1%","0%","0%",3,11,4,0.6,"50.0%","23.4%","0%",-676,-648,-13,5.3,"14.3%",248,"16.7%","17.8%",0.53,0.8
"Varus","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","Middle",1,"7.7%","0.0%","7.7%","0%","100%",3,5,4,1.4,"77.8%","23.8%","0%",-409,-84,2,7.6,"22.8%",549,"31.0%","23.0%",0.64,0.31
"Vladimir","Top",3,"23.1%","23.1%","46.2%","33%","67%",11,6,10,3.5,"56.8%","20.7%","0%",-616,-454,-14.7,8.1,"25.0%",512,"27.8%","22.9%",0.4,0.08
"Xayah","ADC",2,"15.4%","0.0%","15.4%","0%","50%",0,4,5,1.3,"71.4%","25.0%","50%",-690,-629,-16.5,9.7,"32.0%",323,"26.5%","23.4%",0.42,0.25
"Xin Zhao","Jungle",3,"23.1%","0.0%","23.1%","0%","67%",4,12,6,0.8,"52.6%","32.4%","0%",-15,317,7,5.4,"15.3%",236,"15.7%","19.0%",0.71,0.26
"Yasuo","Middle",1,"7.7%","30.8%","38.5%","100%","100%",2,1,2,4,"57.1%","50.0%","0%",405,-7,15,9.7,"26.0%",370,"28.3%","26.2%",0.61,0.13
"Yorick","Top",3,"23.1%","7.7%","30.8%","67%","33%",8,4,4,3,"57.1%","16.0%","33%",-89,-92,-0.3,9.4,"29.4%",499,"32.3%","28.5%",0.45,0.07
"Zoe","Middle",2,"15.4%","15.4%","30.8%","0%","100%",3,5,4,1.4,"58.3%","14.7%","0%",400,198,1,8.2,"21.7%",551,"35.6%","23.4%",0.49,0.16
