"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Acorn","LGD Gaming","Top",9,"67%",,25,23,79,4.5,"72.7%","17.5%","23.5%",,,,,,,,,,,,,,,
"Akira","Vici Gaming","Top",4,"25%",,11,13,30,3.2,"75.9%","20.4%","23.2%",,,,,,,,,,,,,,,
"Aluka","Team WE","Top",5,"40%",,9,19,33,2.2,"73.7%","15.8%","21.8%",,,,,,,,,,,,,,,
"Assassin","Team King","Middle",5,"40%",,14,11,31,4.1,"65.2%","20.3%","18.0%",,,,,,,,,,,,,,,
"Beast","Snake Esports","Jungle",12,"33%",,13,35,78,2.6,"80.5%","11.5%","19.2%",,,,,,,,,,,,,,,
"Clearlove","EDward Gaming","Jungle",13,"69%",,36,20,108,7.2,"77.0%","19.3%","14.5%",,,,,,,,,,,,,,,
"Cloud","Oh My God","Support",3,"0%",,1,10,15,1.6,"76.2%","4.8%","20.0%",,,,,,,,,,65,"8.0%",,,,
"Conan","Team WE","Support",5,"40%",,4,16,41,2.8,"78.9%","7.0%","18.4%",,,,,,,,,,,,,,,
"Cool","Oh My God","Middle",3,"0%",,4,13,11,1.2,"71.4%","19.0%","26.0%",,,,,,,,,,182,"22.2%",,,,
"DanDy","Vici Gaming","Jungle",4,"25%",,7,12,39,3.8,"85.2%","13.0%","21.4%",,,,,,,,,,,,,,,
"Deft","EDward Gaming","ADC",13,"69%",,69,22,79,6.7,"79.1%","36.9%","15.9%",,,,,,,,,,,,,,,
"Ella","Snake Esports","Support",12,"33%",,4,33,83,2.6,"77.0%","3.5%","18.1%",,,,,,,,,,,,,,,
"Flame","LGD Gaming","Top",2,"100%",,4,3,15,6.3,"51.4%","10.8%","18.8%",,,,,,,,,,197,"18.6%",,,,
"Flandre","Snake Esports","Top",12,"33%",,20,42,67,2.1,"77.0%","17.7%","23.1%",,,,,,,,,,,,,,,
"GodV","LGD Gaming","Middle",11,"73%",,60,20,72,6.6,"73.3%","33.3%","17.5%",,,,,,,,,,269,"26.9%",,,,
"Gogoing","Oh My God","Top",3,"0%",,3,8,9,1.5,"57.1%","14.3%","16.0%",,,,,,,,,,203,"24.7%",,,,
"Hetong","Vici Gaming","Middle",4,"25%",,15,10,29,4.4,"81.5%","27.8%","17.9%",,,,,,,,,,,,,,,
"imp","LGD Gaming","ADC",11,"73%",,63,22,68,6,"72.8%","35.0%","19.3%",,,,,,,,,,235,"23.4%",,,,
"KaKAO","Invictus Gaming","Jungle",11,"55%",,19,22,79,4.5,"82.4%","16.0%","18.6%",,,,,,,,,,,,,,,
"Kid","Invictus Gaming","ADC",11,"55%",,42,20,43,4.3,"71.4%","35.3%","16.9%",,,,,,,,,,,,,,,
"Kitties","Invictus Gaming","Support",11,"55%",,2,21,84,4.1,"72.3%","1.7%","17.8%",,,,,,,,,,,,,,,
"Korol","EDward Gaming","Top",13,"69%",,31,28,104,4.8,"72.2%","16.6%","20.3%",,,,,,,,,,,,,,,
"kRYST4L","Snake Esports","ADC",12,"33%",,30,40,55,2.1,"75.2%","26.5%","22.0%",,,,,,,,,,,,,,,
"Ley","Team King","Support",5,"40%",,5,11,42,4.3,"68.1%","7.2%","18.0%",,,,,,,,,,,,,,,
"LoveLing","Oh My God","Jungle",3,"0%",,5,10,9,1.4,"66.7%","23.8%","20.0%",,,,,,,,,,128,"15.6%",,,,
"Mata","Vici Gaming","Support",4,"25%",,4,12,41,3.8,"83.3%","7.4%","21.4%",,,,,,,,,,,,,,,
"Meiko","EDward Gaming","Support",13,"69%",,10,32,126,4.3,"72.7%","5.3%","23.2%",,,,,,,,,,,,,,,
"Mlxg","Team King","Jungle",5,"40%",,11,13,39,3.8,"72.5%","15.9%","21.3%",,,,,,,,,,,,,,,
"Mystic","Team WE","ADC",5,"40%",,16,19,32,2.5,"84.2%","28.1%","21.8%",,,,,,,,,,,,,,,
"PawN","EDward Gaming","Middle",9,"78%",,30,23,57,3.8,"70.2%","24.2%","26.1%",,,,,,,,,,,,,,,
"Pyl","LGD Gaming","Support",11,"73%",,9,25,109,4.7,"65.6%","5.0%","21.9%",,,,,,,,,,126,"12.6%",,,,
"Rookie","Invictus Gaming","Middle",11,"55%",,34,27,47,3,"68.1%","28.6%","22.9%",,,,,,,,,,,,,,,
"Skye","Team King","Top",5,"40%",,10,15,35,3,"65.2%","14.5%","24.6%",,,,,,,,,,,,,,,
"Spirit","Team WE","Jungle",5,"40%",,13,15,34,3.1,"82.5%","22.8%","17.2%",,,,,,,,,,,,,,,
"tbq","LGD Gaming","Jungle",11,"73%",,19,21,112,6.2,"72.8%","10.6%","18.4%",,,,,,,,,,186,"18.6%",,,,
"U","EDward Gaming","Middle",4,"50%",,11,13,29,3.1,"63.5%","17.5%","26.0%",,,,,,,,,,,,,,,
"Uzi","Oh My God","ADC",3,"0%",,8,9,8,1.8,"76.2%","38.1%","18.0%",,,,,,,,,,242,"29.5%",,,,
"Vasilii","Vici Gaming","ADC",4,"25%",,17,9,28,5,"83.3%","31.5%","16.1%",,,,,,,,,,,,,,,
"Viod","Snake Esports","Middle",12,"33%",,46,32,45,2.8,"80.5%","40.7%","17.6%",,,,,,,,,,,,,,,
"Wuxx","Team King","ADC",5,"40%",,29,11,22,4.6,"73.9%","42.0%","18.0%",,,,,,,,,,,,,,,
"xiye","Team WE","Middle",5,"40%",,15,18,23,2.1,"66.7%","26.3%","20.7%",,,,,,,,,,,,,,,
"Zz1tai","Invictus Gaming","Top",11,"55%",,22,28,61,3,"69.7%","18.5%","23.7%",,,,,,,,,,,,,,,
