"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Anivia","Middle",1,"3.1%","0.0%","3.1%","100%","-",5,0,7,12,"54.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",1,"3.1%","34.4%","37.5%","100%","-",1,1,11,12,"70.6%","10.0%","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",13,"40.6%","25.0%","65.6%","31%","-",38,43,51,2.1,"74.2%","20.8%","-","-","-","-","-","-","-","-","22.2%","-","-"
"Bard","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",1,"3.1%","0.0%","3.1%","100%","-",0,2,17,8.5,"89.5%","40.0%","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",4,"12.5%","21.9%","34.4%","50%","-",16,12,18,2.8,"82.9%","26.1%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",2,"6.3%","0.0%","6.3%","100%","-",12,4,17,7.3,"76.3%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Middle",1,"3.1%","0.0%","3.1%","100%","-",2,0,4,6,"46.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",3,"9.4%","0.0%","9.4%","33%","-",3,11,13,1.5,"69.6%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",2,"6.3%","0.0%","6.3%","50%","-",5,3,2,2.3,"50.0%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",1,"3.1%","0.0%","3.1%","0%","-",0,2,0,0,"0.0%","15.4%","-","-","-","-","-","-","-","-","-","-","-"
"Gnar","Top",17,"53.1%","6.3%","59.4%","53%","-",27,44,125,3.5,"73.1%","22.1%","-","-","-","-","-","-","-","-","18.6%","-","-"
"Gragas","Jungle",16,"50.0%","25.0%","78.1%","50%","-",26,37,138,4.4,"77.7%","15.9%","-","-","-","-","-","-","-","-","18.6%","-","-"
"Gragas","Support",1,"3.1%","25.0%","78.1%","100%","-",1,3,8,3,"40.9%","37.5%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",2,"6.3%","0.0%","6.3%","50%","-",10,5,16,5.2,"65.0%","15.2%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Top",12,"37.5%","18.8%","56.3%","58%","-",38,29,70,3.7,"68.4%","21.3%","-","-","-","-","-","-","-","-","24.7%","-","-"
"Irelia","Top",3,"9.4%","0.0%","9.4%","33%","-",8,9,9,1.9,"73.9%","23.7%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",21,"65.6%","15.6%","81.3%","48%","-",9,40,184,4.8,"82.8%","15.7%","-","-","-","-","-","-","-","-","12.6%","-","-"
"Jayce","Middle",1,"3.1%","3.1%","6.3%","100%","-",4,3,10,4.7,"82.4%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",12,"37.5%","0.0%","37.5%","67%","-",74,25,66,5.6,"84.8%","18.7%","-","-","-","-","-","-","-","-","29.5%","-","-"
"Kalista","ADC",13,"40.6%","31.3%","71.9%","54%","-",50,28,60,3.9,"70.1%","17.9%","-","-","-","-","-","-","-","-","23.4%","-","-"
"Karthus","Middle",2,"6.3%","3.1%","9.4%","50%","-",7,6,15,3.7,"81.5%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",12,"37.5%","25.0%","62.5%","67%","-",64,22,85,6.8,"72.3%","15.5%","-","-","-","-","-","-","-","-","26.9%","-","-"
"Kayle","Top",1,"3.1%","0.0%","3.1%","0%","-",0,3,0,0,"0.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Support",4,"12.5%","0.0%","12.5%","50%","-",3,6,19,3.7,"53.7%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",4,"12.5%","0.0%","12.5%","25%","-",13,17,28,2.4,"82.0%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Middle",1,"3.1%","40.6%","43.8%","100%","-",2,2,3,2.5,"50.0%","50.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Middle",2,"6.3%","6.3%","12.5%","50%","-",4,9,19,2.6,"67.6%","32.1%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",5,"15.6%","0.0%","15.6%","40%","-",14,14,24,2.7,"82.6%","24.1%","-","-","-","-","-","-","-","-","-","-","-"
