"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Maokai","Top",13,"36.1%","11.1%","52.8%","54%","-",29,35,109,3.9,"66.0%","19.6%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Morgana","Middle",2,"5.6%","27.8%","77.8%","0%","-",2,8,4,0.8,"46.2%","19.5%","-","-","-","-","-","-","-","-","23.9%","-","-"
"Morgana","Support",16,"44.4%","27.8%","77.8%","44%","-",16,65,160,2.7,"69.6%","22.3%","-","-","-","-","-","-","-","-","10.8%","-","-"
"Nami","Support",6,"16.7%","0.0%","16.7%","67%","-",3,18,78,4.5,"68.6%","20.5%","-","-","-","-","-","-","-","-","10.6%","-","-"
"Nautilus","Jungle",2,"5.6%","0.0%","5.6%","50%","-",4,6,26,5,"90.9%","26.1%","-","-","-","-","-","-","-","-","17.1%","-","-"
"Nidalee","Jungle",5,"13.9%","38.9%","61.1%","40%","-",23,22,33,2.5,"65.9%","22.9%","-","-","-","-","-","-","-","-","21.0%","-","-"
"Nidalee","Middle",3,"8.3%","38.9%","61.1%","67%","-",13,3,20,11,"58.9%","7.1%","-","-","-","-","-","-","-","-","22.1%","-","-"
"Nunu & Willump","Jungle",1,"2.8%","0.0%","2.8%","100%","-",3,0,8,11,"78.6%","0.0%","-","-","-","-","-","-","-","-","15.0%","-","-"
"Orianna","Middle",1,"2.8%","2.8%","5.6%","0%","-",4,3,10,4.7,"100.0%","13.0%","-","-","-","-","-","-","-","-","25.9%","-","-"
"Rek'Sai","Jungle",11,"30.6%","52.8%","83.3%","45%","-",44,39,98,3.6,"72.1%","20.4%","-","-","-","-","-","-","-","-","18.6%","-","-"
"Renekton","Top",1,"2.8%","0.0%","2.8%","100%","-",2,0,7,9,"60.0%","0.0%","-","-","-","-","-","-","-","-","21.6%","-","-"
"Rengar","Jungle",2,"5.6%","8.3%","13.9%","0%","-",4,7,6,1.4,"58.8%","17.5%","-","-","-","-","-","-","-","-","19.3%","-","-"
"Riven","Top",2,"5.6%","5.6%","11.1%","50%","-",7,7,7,2,"56.0%","25.0%","-","-","-","-","-","-","-","-","26.9%","-","-"
"Rumble","Top",9,"25.0%","27.8%","52.8%","22%","-",19,34,47,1.9,"58.9%","20.6%","-","-","-","-","-","-","-","-","21.5%","-","-"
"Sejuani","Jungle",3,"8.3%","0.0%","8.3%","33%","-",1,11,34,3.2,"67.3%","21.6%","-","-","-","-","-","-","-","-","14.6%","-","-"
"Sion","Top",6,"16.7%","13.9%","30.6%","50%","-",13,21,47,2.9,"59.4%","16.8%","-","-","-","-","-","-","-","-","20.2%","-","-"
"Sivir","ADC",11,"30.6%","5.6%","36.1%","27%","-",55,30,54,3.6,"79.6%","14.9%","-","-","-","-","-","-","-","-","28.6%","-","-"
"Thresh","Support",15,"41.7%","25.0%","66.7%","60%","-",19,46,172,4.2,"77.3%","20.5%","-","-","-","-","-","-","-","-","10.6%","-","-"
"Tristana","ADC",8,"22.2%","5.6%","27.8%","63%","-",49,21,33,3.9,"61.7%","18.3%","-","-","-","-","-","-","-","-","24.9%","-","-"
"Udyr","Jungle",1,"2.8%","0.0%","2.8%","100%","-",1,5,8,1.8,"45.0%","27.8%","-","-","-","-","-","-","-","-","14.7%","-","-"
"Vayne","ADC",2,"5.6%","0.0%","5.6%","50%","-",10,6,11,3.5,"55.3%","14.3%","-","-","-","-","-","-","-","-","24.5%","-","-"
"Veigar","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",4,"11.1%","2.8%","13.9%","50%","-",8,15,29,2.5,"64.9%","27.3%","-","-","-","-","-","-","-","-","15.9%","-","-"
"Viktor","Middle",4,"11.1%","2.8%","13.9%","0%","-",12,21,21,1.6,"50.8%","19.6%","-","-","-","-","-","-","-","-","23.4%","-","-"
"Vladimir","Middle",1,"2.8%","5.6%","13.9%","100%","-",6,1,6,12,"63.2%","33.3%","-","-","-","-","-","-","-","-","23.0%","-","-"
"Vladimir","Top",2,"5.6%","5.6%","13.9%","100%","-",9,3,27,12,"75.0%","12.0%","-","-","-","-","-","-","-","-","24.9%","-","-"
"Xerath","Middle",8,"22.2%","22.2%","44.4%","38%","-",25,23,39,2.8,"65.3%","19.5%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Zac","Jungle",1,"2.8%","0.0%","2.8%","100%","-",0,2,15,7.5,"88.2%","50.0%","-","-","-","-","-","-","-","-","17.6%","-","-"
"Zed","Middle",3,"8.3%","13.9%","22.2%","33%","-",12,9,21,3.7,"71.7%","19.1%","-","-","-","-","-","-","-","-","24.5%","-","-"
