"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"7th heaven",13,7,6,42.7,239,235,1.02,0.85,,,,,,,,,,,,"56%",,,"40%",,,,,
"DetonatioN FocusMe",13,11,2,36.4,226,121,1.87,0.73,,,,,,,,,,,,"78%",,,"70%",,,,,
"RabbitFive",16,9,7,43.4,270,266,1.02,0.77,,,,,,,,,,,,"41%",,,"59%",,,,,
"Rampage",10,5,5,40.2,164,142,1.15,0.76,,,,,,,,,,,,"51%",,,"50%",,,,,
"Rascal Jester",10,4,6,40.4,135,170,0.79,0.75,,,,,,,,,,,,"49%",,,"55%",,,,,
"Salvage Javelin",10,0,10,34.7,75,181,0.41,0.74,,,,,,,,,,,,"23%",,,"13%",,,,,
