"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"8.3%","4.2%","12.5%","0%","100%",4,4,2,1.5,"60.0%","13.8%","0%",-238,-299,2,7.7,"24.6%",452,"26.3%","24.0%",0.39,0.13
"Akali","Middle",1,"4.2%","0.0%","4.2%","100%","100%",3,1,6,9,"64.3%","33.3%","0%",488,216,6,10.2,"28.3%",303,"19.0%","25.6%",0.28,0.32
"Alistar","Support",3,"12.5%","0.0%","12.5%","67%","67%",3,10,33,3.6,"83.7%","30.3%","100%",280,-10,-3,1.3,"4.2%",170,"9.1%","9.9%",1.47,0.36
"Aphelios","ADC",6,"25.0%","0.0%","25.0%","33%","83%",12,17,26,2.2,"82.6%","23.6%","17%",304,75,15.2,9.6,"35.4%",495,"30.9%","29.2%",0.31,0.53
"Azir","Middle",4,"16.7%","12.5%","29.2%","50%","25%",4,12,23,2.3,"73.0%","26.1%","0%",-88,-12,5.3,8.5,"27.0%",517,"32.0%","23.7%",0.46,0.22
"Braum","Support",3,"12.5%","4.2%","16.7%","100%","33%",0,5,29,5.8,"70.7%","26.3%","33%",-93,-509,-1.7,1.1,"3.1%",157,"7.5%","9.3%",1.27,0.28
"Camille","Top",2,"8.3%","33.3%","41.7%","50%","100%",5,4,6,2.8,"47.8%","22.2%","0%",-473,-51,-9.5,6.4,"21.5%",191,"12.0%","18.7%",0.28,0.16
"Cho'Gath","Top",2,"8.3%","0.0%","8.3%","50%","100%",4,5,10,2.8,"66.7%","22.7%","0%",-434,-435,-9.5,7.2,"26.4%",316,"20.0%","21.4%",0.36,0.15
"Ezreal","ADC",6,"25.0%","12.5%","37.5%","67%","50%",40,6,21,10.2,"79.2%","11.1%","67%",265,241,3,9.2,"31.8%",704,"40.1%","31.4%",0.33,0.28
"Galio","Middle",3,"12.5%","54.2%","66.7%","67%","67%",5,4,34,9.8,"84.8%","14.8%","0%",-271,-146,-6.7,7.3,"19.9%",399,"19.6%","18.9%",0.6,0.09
"Gnar","Top",13,"54.2%","45.8%","100.0%","85%","0%",43,18,86,7.2,"64.8%","17.1%","23%",434,430,12.2,7.8,"23.9%",489,"24.8%","23.3%",0.38,0.2
"Gragas","Support",3,"12.5%","12.5%","41.7%","67%","67%",2,8,23,3.1,"83.3%","34.8%","33%",391,67,2.7,1.3,"3.0%",169,"10.7%","9.9%",1.47,0.4
"Gragas","Top",4,"16.7%","12.5%","41.7%","75%","50%",5,9,33,4.2,"57.6%","27.3%","50%",110,221,-2.5,6.3,"19.1%",324,"16.2%","16.9%",0.35,0.13
"Graves","Jungle",5,"20.8%","0.0%","20.8%","20%","100%",17,15,26,2.9,"78.2%","19.5%","40%",-11,-36,3.8,7.6,"27.2%",411,"21.4%","25.1%",0.4,0.47
"Hecarim","Jungle",12,"50.0%","50.0%","100.0%","67%","0%",17,18,90,5.9,"75.9%","20.5%","42%",-365,-442,-9.2,5.9,"18.8%",221,"13.8%","17.7%",0.43,0.39
"Jayce","Top",2,"8.3%","4.2%","12.5%","50%","100%",2,5,9,2.2,"78.6%","26.3%","0%",-769,-546,-16,6.9,"18.8%",479,"31.9%","20.5%",0.31,0.08
"Jinx","ADC",11,"45.8%","0.0%","45.8%","36%","0%",26,31,37,2,"69.2%","21.4%","9%",-216,-61,0.3,8.6,"30.5%",425,"24.5%","25.5%",0.39,0.4
"Kai'Sa","ADC",8,"33.3%","8.3%","41.7%","75%","88%",40,9,49,9.9,"76.1%","13.2%","50%",272,305,15.9,9.4,"31.1%",472,"27.4%","26.9%",0.61,0.36
"Kalista","ADC",1,"4.2%","0.0%","4.2%","0%","100%",3,3,7,3.3,"100.0%","20.0%","0%",78,-131,6,9.2,"33.8%",488,"28.2%","28.5%",0.93,0.61
"Karma","Top",1,"4.2%","12.5%","16.7%","0%","100%",0,5,13,2.6,"76.5%","25.0%","0%",-595,-1070,-10,5,"14.3%",172,"7.7%","13.8%",0.48,0.17
"Karthus","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
