"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"5 Ronin",17,6,11,33.1,194,226,0.86,0.75,0.09,"-0.8%",49.6,-14.3,301,"59%","53%","41%",,"55%","18%","42%","67%","29%","35%","49.9%","49.7%",3.57,1.25,1.41
"Beşiktaş Esports",18,9,9,32.1,234,228,1.03,0.8,0.6,"-0.3%",60.5,-7.6,1220,"67%","56%","61%",,"61%","65%","56%","100%","39%","45%","50.2%","52.7%",3.15,1.24,1.5
"Dark Passage",18,9,9,31.4,250,212,1.18,0.82,0.31,"1.0%",53.5,-3.5,463,"50%","44%","44%",,"47%","28%","48%",,"50%","50%","49.6%","48.5%",2.93,1.09,1.17
"Fenerbahçe Esports",20,9,11,31,232,290,0.8,0.84,-1.54,"-4.2%",36.9,8.1,-1549,"45%","30%","35%",,"50%","60%","53%","0%","50%","50%","50.0%","48.5%",2.91,1.2,1.29
"Galakticos",19,6,13,30.9,215,293,0.73,0.86,-0.93,"-5.8%",35.1,-3.5,-963,"53%","32%","26%",,"46%","53%","44%","0%","32%","26%","50.2%","45.9%",2.9,1.39,1.1
"Galatasaray Esports",18,11,7,33.5,266,191,1.39,0.76,0.99,"7.0%",61.1,0,1110,"44%","61%","72%",,"54%","44%","48%","0%","67%","64%","49.8%","54.0%",3.06,1.28,1.38
"İstanbul Wildcats",18,14,4,32.3,305,191,1.6,0.85,1.42,"9.2%",67.8,9.9,1502,"56%","83%","83%",,"72%","44%","58%","60%","61%","73%","50.4%","55.0%",2.78,1.17,1.39
"NASR eSports Turkey",18,12,6,30.4,262,214,1.22,0.87,0.63,"5.5%",64.3,2.3,1029,"44%","78%","72%",,"53%","78%","61%","100%","56%","52%","50.6%","50.9%",3.02,1.17,1.21
"SuperMassive Esports",18,15,3,33.3,302,191,1.58,0.82,0.89,"5.9%",58.7,23.6,598,"50%","50%","50%",,"38%","82%","67%","100%","72%","81%","50.6%","52.9%",2.77,1.16,1.33
"Team AURORA",18,0,18,27.9,122,348,0.35,0.94,-2.67,"-16.9%",15.7,-15.7,-3367,"33%","11%","11%",,"25%","28%","21%","100%","11%","10%","48.8%","42.2%",3.05,1.13,1.14
