"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DWG KIA",6,2,4,29.9,56,98,0.57,0.86,-0.95,"-5.0%",33.8,-0.5,-588,"17%","50%","17%",,"67%","17%","45%","100%","33%","43%","50.5%","50.0%",3.66,1.6,2
"Griffin",3,0,3,32.9,18,46,0.39,0.65,-0.6,"-8.1%",54.7,-54.7,222,"33%","67%","67%",,"100%","67%","42%","100%","33%","33%","48.9%","42.3%",4.46,1.25,1.72
"Kingzone DragonX",6,3,3,34.3,103,69,1.49,0.84,0.51,"6.6%",58.6,-8.6,474,"67%","33%","67%",,"50%","67%","58%","0%","67%","50%","49.4%","50.2%",4.26,1.66,2.04
"Liiv SANDBOX",3,1,2,32,32,39,0.82,0.74,0.57,"-6.3%",65.6,-32.3,572,"100%","67%","67%",,"33%","67%","33%","0%","33%","25%","49.9%","46.5%",4.26,1.37,1.92
"SK Telecom T1",6,6,0,36.8,98,55,1.78,0.69,0.32,"5.7%",47.4,52.6,-283,"50%","50%","50%",,"17%","50%","58%","50%","50%","75%","50.7%","55.4%",4.45,1.56,1.97
