"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"8.3%","0.0%","8.3%","0%","0%",2,3,2,1.3,"44.4%","15.8%","0%",-11,-193,2,8.4,"25.4%",391,"28.2%","22.9%",0.46,0.2
"Akali","Middle",3,"25.0%","8.3%","58.3%","33%","33%",12,3,10,7.3,"61.1%","8.8%","67%",-116,-55,2,9.4,"25.0%",373,"24.0%","24.1%",0.44,0.36
"Akali","Top",3,"25.0%","8.3%","58.3%","67%","33%",9,6,18,4.5,"55.1%","20.0%","67%",-189,-26,-14.3,8,"23.3%",407,"22.5%","20.1%",0.56,0.22
"Alistar","Support",1,"8.3%","16.7%","25.0%","0%","0%",1,7,8,1.3,"90.0%","23.3%","100%",153,102,2,1.9,"7.2%",141,"7.2%","9.6%",1.26,0.31
"Ashe","ADC",3,"25.0%","16.7%","41.7%","67%","67%",15,4,12,6.8,"71.1%","18.2%","33%",286,-113,6,9.9,"30.0%",506,"26.8%","25.9%",0.4,0.54
"Azir","Middle",2,"16.7%","0.0%","16.7%","50%","100%",7,5,9,3.2,"69.6%","27.8%","50%",120,6,-0.5,10,"26.0%",438,"28.8%","25.6%",0.65,0.45
"Braum","Support",6,"50.0%","33.3%","83.3%","67%","50%",3,14,52,3.9,"76.4%","17.5%","17%",-489,-279,-22,2,"6.3%",111,"5.9%","10.4%",1.79,0.3
"Camille","Jungle",1,"8.3%","0.0%","8.3%","0%","100%",5,4,5,2.5,"71.4%","26.7%","100%",161,232,2,5,"12.1%",274,"16.5%","16.6%",0.5,0.52
"Corki","Middle",4,"33.3%","25.0%","58.3%","50%","100%",20,8,16,4.5,"85.7%","14.0%","0%",37,66,3.8,9.4,"24.7%",710,"36.5%","26.7%",0.53,0.48
"Elise","Jungle",1,"8.3%","8.3%","16.7%","0%","100%",2,4,4,1.5,"66.7%","21.1%","0%",-169,-328,-6,4.8,"17.2%",236,"17.0%","16.7%",1.13,0.5
"Ezreal","ADC",5,"41.7%","8.3%","50.0%","60%","60%",18,3,17,11.7,"57.4%","6.3%","40%",597,108,22.4,10.7,"32.2%",550,"33.2%","28.6%",0.45,0.3
"Fiora","-",0,"0%","8.3%","8.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Support",5,"41.7%","41.7%","83.3%","60%","60%",6,17,48,3.2,"70.1%","38.6%","60%",-2,-74,1.2,2.1,"6.3%",184,"10.7%","10.5%",1.71,0.42
"Gangplank","-",0,"0%","8.3%","8.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Top",2,"16.7%","8.3%","25.0%","50%","100%",2,6,5,1.2,"50.0%","27.3%","0%",-132,17,5,7.8,"22.7%",260,"17.6%","20.4%",0.54,0.15
"Irelia","-",0,"0%","41.7%","41.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",10,"83.3%","8.3%","91.7%","60%","20%",19,22,77,4.4,"73.8%","18.3%","40%",156,147,4.5,4.9,"11.7%",185,"10.4%","15.8%",1.04,0.65
